LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823631.194278,34732.667,2785,3,PI,1,100,172215
1707823631.233814,34771.000,2785,3,PI,1,100,172265
1707823631.273522,34809.500,2800,2,PI,1,100,172307
1707823631.313230,34848.000,2800,2,PI,1,100,172348
1707823631.353110,34886.667,2817,3,PI,1,100,172397
1707823631.392990,34925.333,2817,3,PI,1,100,172451
1707823631.432870,34964.000,2817,3,PI,1,100,172498
1707823631.473094,35003.000,2833,2,PI,1,100,172414
1707823631.513317,35042.000,2833,2,PI,1,100,172116
1707823631.553197,35080.667,2850,3,PI,1,100,171901
1707823631.593077,35119.333,2850,3,PI,1,100,171797
1707823631.632957,35158.000,2850,3,PI,1,100,171738
1707823631.672493,35196.333,2866,3,PI,1,100,171700
1707823631.712030,35234.667,2866,3,PI,1,100,171723
1707823631.751566,35273.000,2866,3,PI,1,100,171775
1707823631.790758,35311.000,2882,2,PI,1,100,171817
1707823631.829951,35349.000,2882,2,PI,1,100,171828
1707823631.869831,35387.667,2900,3,PI,1,100,171858
1707823631.909711,35426.333,2900,3,PI,1,100,171901
1707823631.949590,35465.000,2900,3,PI,1,100,171963
1707823631.989470,35503.667,2918,3,PI,1,100,172008
1707823632.029350,35542.333,2918,3,PI,1,100,172060
1707823632.069230,35581.000,2918,3,PI,1,100,172114
1707823632.109454,35620.000,2934,2,PI,1,100,172166
1707823632.149678,35659.000,2934,2,PI,1,100,172207
1707823632.189558,35697.667,2949,3,PI,1,100,172261
1707823632.229438,35736.333,2949,3,PI,1,100,172325
1707823632.269318,35775.000,2949,3,PI,1,100,172361
1707823632.309026,35813.500,2966,2,PI,1,100,172319
1707823632.348734,35852.000,2966,2,PI,1,100,172034
1707823632.387926,35890.000,2983,3,PI,1,100,171775
1707823632.427119,35928.000,2983,3,PI,1,100,171648
1707823632.466311,35966.000,2983,3,PI,1,100,171539
1707823632.506535,36005.000,2999,3,PI,1,100,171462
1707823632.546759,36044.000,2999,3,PI,1,100,171451
1707823632.586982,36083.000,2999,3,PI,1,100,171498
1707823632.627722,36122.500,3017,2,PI,1,100,171549
1707823632.668461,36162.000,3017,2,PI,1,100,171564
1707823632.709029,36201.333,3031,3,PI,1,100,171596
1707823632.749596,36240.667,3031,3,PI,1,100,171645
1707823632.790164,36280.000,3031,3,PI,1,100,171687
1707823632.829872,36318.500,3050,2,PI,1,100,171749
1707823632.869580,36357.000,3050,2,PI,1,100,171811
1707823632.909460,36395.667,3067,3,PI,1,100,171862
1707823632.949340,36434.333,3067,3,PI,1,100,171918
1707823632.989220,36473.000,3067,3,PI,1,100,171956
1707823633.028412,36511.000,3084,3,PI,1,100,172002
1707823633.067605,36549.000,3084,3,PI,1,100,172051
1707823633.106797,36587.000,3084,3,PI,1,100,172109
1707823633.146505,36625.500,3099,2,PI,1,100,172155
1707823633.186213,36664.000,3099,2,PI,1,100,172032
1707823633.226781,36703.333,3116,3,PI,1,100,171727
1707823633.267348,36742.667,3116,3,PI,1,100,171508
1707823633.307916,36782.000,3116,3,PI,1,100,171371
1707823633.349171,36822.000,3132,2,PI,1,100,171278
1707823633.390426,36862.000,3132,2,PI,1,100,171233
1707823633.429962,36900.333,3149,3,PI,1,100,171255
1707823633.469499,36938.667,3149,3,PI,1,100,171294
1707823633.509035,36977.000,3149,3,PI,1,100,171334
1707823633.548571,37015.333,3165,3,PI,1,100,171350
1707823633.588107,37053.667,3165,3,PI,1,100,171385
1707823633.627643,37092.000,3165,3,PI,1,100,171439
1707823633.666836,37130.000,3185,2,PI,1,100,171501
1707823633.706028,37168.000,3185,2,PI,1,100,171554
1707823633.745908,37206.667,3201,3,PI,1,100,171620
1707823633.785788,37245.333,3201,3,PI,1,100,171667
1707823633.825668,37284.000,3201,3,PI,1,100,171717
1707823633.866235,37323.333,3218,3,PI,1,100,171757
1707823633.906803,37362.667,3218,3,PI,1,100,171807
1707823633.947371,37402.000,3218,3,PI,1,100,171859
1707823633.988626,37442.000,3235,2,PI,1,100,171902
1707823634.029881,37482.000,3235,2,PI,1,100,171949
1707823634.069761,37520.667,3251,3,PI,1,100,171800
1707823634.109641,37559.333,3251,3,PI,1,100,171499
1707823634.149521,37598.000,3251,3,PI,1,100,171313
1707823634.188713,37636.000,3266,2,PI,1,100,171217
1707823634.227906,37674.000,3266,2,PI,1,100,171135
1707823634.267098,37712.000,3284,3,PI,1,100,171104
1707823634.306290,37750.000,3284,3,PI,1,100,171146
1707823634.345483,37788.000,3284,3,PI,1,100,171195
1707823634.385363,37826.667,3300,3,PI,1,100,171213
1707823634.425243,37865.333,3300,3,PI,1,100,171234
1707823634.465123,37904.000,3300,3,PI,1,100,171274
1707823634.505346,37943.000,3319,2,PI,1,100,171320
1707823634.545570,37982.000,3319,2,PI,1,100,171377
1707823634.585450,38020.667,3334,3,PI,1,100,171431
1707823634.625330,38059.333,3334,3,PI,1,100,171489
1707823634.665210,38098.000,3334,3,PI,1,100,171545
1707823634.705090,38136.667,3351,3,PI,1,100,171593
1707823634.744970,38175.333,3351,3,PI,1,100,171635
1707823634.784850,38214.000,3351,3,PI,1,100,171677
1707823634.824042,38252.000,3367,2,PI,1,100,171737
1707823634.863235,38290.000,3367,2,PI,1,100,171790
1707823634.903458,38329.000,3385,3,PI,1,100,171807
1707823634.943682,38368.000,3385,3,PI,1,100,171604
1707823634.983906,38407.000,3385,3,PI,1,100,171310
1707823635.024645,38446.500,3401,2,PI,1,100,171125
1707823635.065385,38486.000,3401,2,PI,1,100,170991
1707823635.105265,38524.667,3416,3,PI,1,100,170910
1707823635.145145,38563.333,3416,3,PI,1,100,170886
1707823635.185025,38602.000,3416,3,PI,1,100,170917
