LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707823637.502532,40849.000,3790,1,T1,1,100,22.541
1707823637.633517,40976.000,3808,1,T1,1,100,22.660
1707823637.766565,41105.000,3824,1,T1,1,100,22.569
1707823637.901676,41236.000,3841,1,T1,1,100,22.530
1707823638.035755,41366.000,3875,1,T1,1,100,22.548
1707823638.169834,41496.000,3891,1,T1,1,100,22.521
1707823638.299788,41622.000,3909,1,T1,1,100,22.615
1707823638.432835,41751.000,3940,1,T1,1,100,22.692
1707823638.568977,41883.000,3956,1,T1,1,100,22.654
1707823638.702025,42012.000,3976,1,T1,1,100,22.567
1707823638.834042,42140.000,3992,1,T1,1,100,22.671
1707823638.967090,42269.000,4026,1,T1,1,100,22.645
1707823639.101169,42399.000,4043,1,T1,1,100,22.669
1707823639.235248,42529.000,4059,1,T1,1,100,22.679
1707823639.368296,42658.000,4077,1,T1,1,100,22.613
1707823639.500312,42786.000,4108,1,T1,1,100,22.655
1707823639.636454,42918.000,4125,1,T1,1,100,22.674
1707823639.768471,43046.000,4144,1,T1,1,100,22.717
1707823639.901518,43175.000,4176,1,T1,1,100,22.736
1707823640.034566,43304.000,4192,1,T1,1,100,22.779
1707823640.165551,43431.000,4209,1,T1,1,100,22.763
1707823640.300662,43562.000,4225,1,T1,1,100,22.720
1707823640.434741,43692.000,4257,1,T1,1,100,22.808
1707823640.566758,43820.000,4276,1,T1,1,100,22.811
1707823640.699805,43949.000,4293,1,T1,1,100,22.741
1707823640.833885,44079.000,4324,1,T1,1,100,22.781
1707823640.963838,44205.000,4342,1,T1,1,100,22.764
1707823641.096886,44334.000,4365,1,T1,1,100,22.756
1707823641.229934,44463.000,4382,1,T1,1,100,22.859
1707823641.361950,44591.000,4399,1,T1,1,100,22.726
1707823641.496030,44721.000,4432,1,T1,1,100,22.704
1707823641.625983,44847.000,4450,1,T1,1,100,22.730
1707823641.759031,44976.000,4466,1,T1,1,100,22.848
1707823641.895173,45108.000,4483,1,T1,1,100,22.863
1707823642.028221,45237.000,4515,1,T1,1,100,22.728
1707823642.160237,45365.000,4531,1,T1,1,100,22.741
1707823642.293285,45494.000,4551,1,T1,1,100,22.781
1707823642.427364,45624.000,4567,1,T1,1,100,22.657
1707823642.562475,45755.000,4584,1,T1,1,100,22.710
1707823642.696554,45885.000,4601,1,T1,1,100,22.733
1707823642.826508,46011.000,4632,1,T1,1,100,22.672
1707823642.959556,46140.000,4650,1,T1,1,100,22.787
1707823643.094666,46271.000,4668,1,T1,1,100,22.801
1707823643.228745,46401.000,4685,1,T1,1,100,22.808
1707823643.361793,46530.000,4702,1,T1,1,100,22.881
1707823643.491747,46656.000,4733,1,T1,1,100,22.807
1707823643.623763,46784.000,4751,1,T1,1,100,22.775
1707823643.760937,46917.000,4769,1,T1,1,100,22.867
1707823643.893984,47046.000,4786,1,T1,1,100,22.836
1707823644.027032,47175.000,4805,1,T1,1,100,22.823
1707823644.162143,47306.000,4836,1,T1,1,100,22.817
1707823644.295191,47435.000,4854,1,T1,1,100,22.814
1707823644.428238,47564.000,4870,1,T1,1,100,22.813
1707823644.561286,47693.000,4887,1,T1,1,100,22.813
1707823644.692271,47820.000,4904,1,T1,1,100,22.813
1707823644.829445,47953.000,4921,1,T1,1,100,22.813
1707823644.962493,48082.000,4955,1,T1,1,100,22.813
1707823645.094509,48210.000,4971,1,T1,1,100,22.813
1707823645.227557,48339.000,4989,1,T1,1,100,22.848
1707823645.360605,48468.000,5005,1,T1,1,100,23.005
1707823645.495715,48599.000,5022,1,T1,1,100,22.896
1707823645.628763,48728.000,5041,1,T1,1,100,22.884
1707823645.761811,48857.000,5058,1,T1,1,100,22.950
1707823645.892796,48984.000,5074,1,T1,1,100,22.943
1707823646.026875,49114.000,5092,1,T1,1,100,22.940
1707823646.158892,49242.000,5123,1,T1,1,100,22.868
1707823646.292455,49371.500,5146,2,T1,1,100,22.872
1707823646.426019,49501.000,5146,2,T1,1,100,22.874
1707823646.560098,49631.000,5162,1,T1,1,100,22.910
1707823646.693146,49760.000,5182,1,T1,1,100,22.926
1707823646.823099,49886.000,5213,1,T1,1,100,22.897
1707823646.955116,50014.000,5230,1,T1,1,100,22.849
1707823647.090742,50145.500,5247,2,T1,1,100,22.970
1707823647.226368,50277.000,5247,2,T1,1,100,23.023
