EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707823633.45506,ACC,-0.684,0.537,0.486,0.996203292506103
1707823633.49494,ACC,-0.681,0.539,0.487,0.995716325064524
1707823633.53482,ACC,-0.683,0.542,0.487,0.998710168166921
1707823633.57504,ACC,-0.684,0.538,0.49,0.998699153899712
1707823633.61527,ACC,-0.682,0.538,0.489,0.996839505637693
1707823633.6548,ACC,-0.68,0.541,0.488,0.996606742903137
1707823633.69434,ACC,-0.681,0.537,0.486,0.994145864549061
1707823633.73388,ACC,-0.681,0.539,0.489,0.996696041930538
1707823633.77358,ACC,-0.68,0.541,0.486,0.995628946947607
1707823633.81329,ACC,-0.682,0.541,0.49,0.998951950796434
1707823633.85352,ACC,-0.684,0.539,0.487,0.997770514697643
1707823633.89374,ACC,-0.681,0.543,0.492,1.00033694323463
1707823633.93396,ACC,-0.677,0.542,0.487,0.994616509012393
1707823633.97522,ACC,-0.683,0.541,0.487,0.998167821561084
1707823634.01647,ACC,-0.684,0.537,0.49,0.998160808687658
1707823634.05635,ACC,-0.682,0.539,0.488,0.996889662901567
1707823634.09623,ACC,-0.68,0.546,0.489,0.999818483525885
1707823634.13611,ACC,-0.683,0.539,0.487,0.997085252122405
1707823634.17565,ACC,-0.684,0.537,0.489,0.997670286216844
1707823634.21519,ACC,-0.677,0.548,0.486,0.997411148925056
1707823634.25472,ACC,-0.675,0.548,0.486,0.996054717372495
1707823634.29391,ACC,-0.686,0.535,0.486,0.996502383338846
1707823634.33311,ACC,-0.68,0.542,0.487,0.996660925290041
1707823634.37333,ACC,-0.677,0.548,0.49,0.999366299211655
1707823634.41355,ACC,-0.683,0.539,0.487,0.997085252122405
1707823634.45378,ACC,-0.682,0.539,0.489,0.997379566664567
1707823634.48884,ACC,-0.673,0.546,0.487,0.99408953319105
1707823634.52391,ACC,-0.681,0.544,0.492,1.00088011270082
1707823634.55898,ACC,-0.68,0.537,0.485,0.992972305756812
1707823634.59886,ACC,-0.679,0.544,0.493,1.0000129999155
1707823634.63874,ACC,-0.676,0.544,0.483,0.993076532800972
1707823634.67862,ACC,-0.676,0.543,0.488,0.994971858898532
1707823634.71833,ACC,-0.684,0.544,0.489,1.00145544084597
1707823634.75803,ACC,-0.677,0.542,0.485,0.993638767359648
1707823634.79757,ACC,-0.678,0.544,0.49,0.997857705286681
1707823634.83711,ACC,-0.68,0.545,0.487,0.998295547420702
1707823634.87664,ACC,-0.679,0.541,0.482,0.992998489424833
1707823634.91687,ACC,-0.68,0.542,0.488,0.997149938574937
1707823634.95709,ACC,-0.678,0.546,0.489,0.998459313142003
1707823634.99731,ACC,-0.678,0.542,0.488,0.99578712584568
1707823635.03805,ACC,-0.682,0.538,0.486,0.995371287510344
1707823635.07879,ACC,-0.678,0.542,0.489,0.996277571764014
1707823635.11867,ACC,-0.679,0.539,0.482,0.991910278200604
1707823635.15855,ACC,-0.681,0.545,0.488,0.999464856810884
1707823635.19843,ACC,-0.678,0.543,0.487,0.995842357002352
1707823635.23814,ACC,-0.681,0.543,0.485,0.996912734395544
1707823635.27785,ACC,-0.679,0.546,0.49,0.999628430968227
1707823635.31773,ACC,-0.673,0.544,0.492,0.99545416770437
1707823635.35761,ACC,-0.675,0.545,0.494,0.998341624896007
1707823635.39749,ACC,-0.678,0.544,0.485,0.995411975013361
1707823635.43737,ACC,-0.678,0.547,0.483,0.996083329847458
1707823635.47725,ACC,-0.688,0.537,0.484,0.997982464775809
1707823635.51713,ACC,-0.682,0.542,0.485,0.997052155105238
1707823635.55735,ACC,-0.671,0.546,0.488,0.993227567076146
1707823635.59758,ACC,-0.674,0.546,0.493,0.997717896000668
1707823635.63711,ACC,-0.682,0.544,0.492,1.00156078197981
1707823635.67665,ACC,-0.675,0.542,0.486,0.992766337060237
1707823635.71619,ACC,-0.674,0.546,0.49,0.996238927165567
1707823635.756,ACC,-0.68,0.547,0.486,0.998901897084994
1707823635.79581,ACC,-0.679,0.541,0.489,0.996415074153337
1707823635.83562,ACC,-0.675,0.545,0.487,0.99489647702663
1707823635.87543,ACC,-0.677,0.549,0.487,0.998448296107515
1707823635.91524,ACC,-0.679,0.543,0.487,0.996523456823772
1707823635.95512,ACC,-0.678,0.546,0.489,0.998459313142003
1707823635.995,ACC,-0.674,0.549,0.487,0.996416579548935
1707823636.03488,ACC,-0.677,0.547,0.49,0.998818301794676
1707823636.07459,ACC,-0.676,0.546,0.487,0.996122984374922
1707823636.1143,ACC,-0.677,0.547,0.489,0.998328102379173
1707823636.15418,ACC,-0.675,0.543,0.489,0.99478389613021
1707823636.19406,ACC,-0.677,0.553,0.488,1.00114034980117
1707823636.23394,ACC,-0.674,0.548,0.484,0.994402333062428
1707823636.27313,ACC,-0.679,0.544,0.486,0.996580654036591
1707823636.31232,ACC,-0.675,0.545,0.483,0.992944610741203
1707823636.35151,ACC,-0.678,0.55,0.49,1.00114134866162
1707823636.39174,ACC,-0.68,0.549,0.488,1.00097202758119
1707823636.43196,ACC,-0.667,0.544,0.483,0.986972137398012
1707823636.47184,ACC,-0.679,0.55,0.484,0.998897892679727
1707823636.51172,ACC,-0.679,0.551,0.487,1.00090509040568
1707823636.5516,ACC,-0.68,0.546,0.484,0.997382574541986
1707823636.59131,ACC,-0.678,0.549,0.483,0.99718303234662
1707823636.63102,ACC,-0.68,0.546,0.487,0.998841829320338
1707823636.67055,ACC,-0.678,0.55,0.486,0.99918967168401
1707823636.71009,ACC,-0.681,0.546,0.487,0.999522886181202
1707823636.74963,ACC,-0.675,0.548,0.483,0.994594389688581
1707823636.78469,ACC,-0.685,0.552,0.482,1.00312162772019
