LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823630.676869,34231.000,2707,2,AY,1,100,0.545
1707823630.716749,34269.667,2724,3,AY,1,100,0.538
1707823630.756629,34308.333,2724,3,AY,1,100,0.543
1707823630.796509,34347.000,2724,3,AY,1,100,0.550
1707823630.836389,34385.667,2740,3,AY,1,100,0.539
1707823630.876269,34424.333,2740,3,AY,1,100,0.545
1707823630.916149,34463.000,2740,3,AY,1,100,0.546
1707823630.956029,34501.667,2758,3,AY,1,100,0.546
1707823630.995909,34540.333,2758,3,AY,1,100,0.542
1707823631.035789,34579.000,2758,3,AY,1,100,0.548
1707823631.075497,34617.500,2776,2,AY,1,100,0.545
1707823631.115205,34656.000,2776,2,AY,1,100,0.541
1707823631.154741,34694.333,2791,3,AY,1,100,0.542
1707823631.194278,34732.667,2791,3,AY,1,100,0.549
1707823631.233814,34771.000,2791,3,AY,1,100,0.546
1707823631.273522,34809.500,2808,2,AY,1,100,0.539
1707823631.313230,34848.000,2808,2,AY,1,100,0.544
1707823631.353110,34886.667,2825,3,AY,1,100,0.545
1707823631.392990,34925.333,2825,3,AY,1,100,0.541
1707823631.432870,34964.000,2825,3,AY,1,100,0.542
1707823631.472750,35002.667,2841,3,AY,1,100,0.544
1707823631.512630,35041.333,2841,3,AY,1,100,0.542
1707823631.552510,35080.000,2841,3,AY,1,100,0.542
1707823631.592734,35119.000,2857,2,AY,1,100,0.535
1707823631.632957,35158.000,2857,2,AY,1,100,0.539
1707823631.672493,35196.333,2873,3,AY,1,100,0.543
1707823631.712030,35234.667,2873,3,AY,1,100,0.539
1707823631.751566,35273.000,2873,3,AY,1,100,0.541
1707823631.790758,35311.000,2890,2,AY,1,100,0.542
1707823631.829951,35349.000,2890,2,AY,1,100,0.540
1707823631.869831,35387.667,2908,3,AY,1,100,0.544
1707823631.909711,35426.333,2908,3,AY,1,100,0.527
1707823631.949590,35465.000,2908,3,AY,1,100,0.518
1707823631.989470,35503.667,2926,3,AY,1,100,0.550
1707823632.029350,35542.333,2926,3,AY,1,100,0.547
1707823632.069230,35581.000,2926,3,AY,1,100,0.529
1707823632.104985,35615.667,2940,3,AY,1,100,0.536
