LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823629.656836,33242.000,2540,5,GZ,1,100,-0.671
1707823629.695513,33279.500,2557,2,GZ,1,100,-0.824
1707823629.734190,33317.000,2557,2,GZ,1,100,-0.153
1707823629.769944,33351.667,2573,3,GZ,1,100,0.122
1707823629.805698,33386.333,2573,3,GZ,1,100,-0.671
1707823629.841453,33421.000,2573,3,GZ,1,100,-0.610
1707823629.881333,33459.667,2590,3,GZ,1,100,0.061
1707823629.921213,33498.333,2590,3,GZ,1,100,-0.641
1707823629.961093,33537.000,2590,3,GZ,1,100,-0.153
1707823630.000629,33575.333,2607,3,GZ,1,100,0.549
1707823630.040165,33613.667,2607,3,GZ,1,100,-0.031
1707823630.079701,33652.000,2607,3,GZ,1,100,-0.275
1707823630.119925,33691.000,2622,2,GZ,1,100,-0.092
1707823630.160149,33730.000,2622,2,GZ,1,100,0.549
1707823630.200029,33768.667,2640,3,GZ,1,100,0.305
1707823630.239909,33807.333,2640,3,GZ,1,100,0.244
1707823630.279789,33846.000,2640,3,GZ,1,100,0.824
1707823630.319669,33884.667,2658,3,GZ,1,100,1.923
1707823630.359549,33923.333,2658,3,GZ,1,100,3.784
1707823630.399429,33962.000,2658,3,GZ,1,100,0.549
1707823630.439137,34000.500,2674,2,GZ,1,100,-2.197
1707823630.478845,34039.000,2674,2,GZ,1,100,-0.427
1707823630.518381,34077.333,2696,3,GZ,1,100,0.671
1707823630.557917,34115.667,2696,3,GZ,1,100,-0.580
1707823630.597453,34154.000,2696,3,GZ,1,100,-0.519
1707823630.637161,34192.500,2711,2,GZ,1,100,0.549
1707823630.676869,34231.000,2711,2,GZ,1,100,-0.092
1707823630.716749,34269.667,2728,3,GZ,1,100,-0.641
1707823630.756629,34308.333,2728,3,GZ,1,100,-0.092
1707823630.796509,34347.000,2728,3,GZ,1,100,0.061
1707823630.836389,34385.667,2744,3,GZ,1,100,-0.824
1707823630.876269,34424.333,2744,3,GZ,1,100,-0.427
1707823630.916149,34463.000,2744,3,GZ,1,100,0.153
1707823630.956029,34501.667,2762,3,GZ,1,100,-0.458
1707823630.995909,34540.333,2762,3,GZ,1,100,-0.824
1707823631.035789,34579.000,2762,3,GZ,1,100,-0.214
1707823631.075497,34617.500,2780,2,GZ,1,100,-0.336
1707823631.115205,34656.000,2780,2,GZ,1,100,-0.977
1707823631.154741,34694.333,2795,3,GZ,1,100,-0.824
1707823631.194278,34732.667,2795,3,GZ,1,100,-0.092
1707823631.233814,34771.000,2795,3,GZ,1,100,-0.793
1707823631.273522,34809.500,2812,2,GZ,1,100,-1.434
1707823631.313230,34848.000,2812,2,GZ,1,100,-0.610
1707823631.353110,34886.667,2829,3,GZ,1,100,-0.214
1707823631.392990,34925.333,2829,3,GZ,1,100,-0.610
1707823631.432870,34964.000,2829,3,GZ,1,100,-0.671
1707823631.472750,35002.667,2845,3,GZ,1,100,-0.519
1707823631.512630,35041.333,2845,3,GZ,1,100,-0.793
1707823631.552510,35080.000,2845,3,GZ,1,100,-1.648
1707823631.592734,35119.000,2861,2,GZ,1,100,-2.075
1707823631.632957,35158.000,2861,2,GZ,1,100,-0.580
1707823631.672493,35196.333,2877,3,GZ,1,100,0.427
1707823631.712030,35234.667,2877,3,GZ,1,100,0.061
1707823631.751566,35273.000,2877,3,GZ,1,100,-0.549
1707823631.790758,35311.000,2894,2,GZ,1,100,-0.519
1707823631.829951,35349.000,2894,2,GZ,1,100,-0.702
1707823631.869831,35387.667,2912,3,GZ,1,100,-1.678
1707823631.909711,35426.333,2912,3,GZ,1,100,-4.272
1707823631.949590,35465.000,2912,3,GZ,1,100,-1.892
1707823631.989470,35503.667,2930,3,GZ,1,100,2.380
1707823632.029350,35542.333,2930,3,GZ,1,100,2.106
1707823632.069230,35581.000,2930,3,GZ,1,100,-1.556
1707823632.104985,35615.667,2944,3,GZ,1,100,-1.129
1707823632.140739,35650.333,2944,3,GZ,1,100,0.214
1707823632.176494,35685.000,2944,3,GZ,1,100,-2.106
1707823632.216202,35723.500,2961,2,GZ,1,100,-2.716
1707823632.255910,35762.000,2961,2,GZ,1,100,0.793
1707823632.295790,35800.667,2978,3,GZ,1,100,1.434
1707823632.335670,35839.333,2978,3,GZ,1,100,-1.221
1707823632.375550,35878.000,2978,3,GZ,1,100,-0.732
1707823632.415258,35916.500,2995,2,GZ,1,100,0.519
1707823632.454966,35955.000,2995,2,GZ,1,100,0.153
1707823632.494846,35993.667,3011,3,GZ,1,100,-1.221
1707823632.534726,36032.333,3011,3,GZ,1,100,-0.427
1707823632.574606,36071.000,3011,3,GZ,1,100,0.702
1707823632.615173,36110.333,3027,3,GZ,1,100,-0.061
1707823632.655741,36149.667,3027,3,GZ,1,100,-0.549
1707823632.696308,36189.000,3027,3,GZ,1,100,-0.122
1707823632.736532,36228.000,3043,2,GZ,1,100,0.061
1707823632.776756,36267.000,3043,2,GZ,1,100,-0.092
1707823632.816636,36305.667,3062,3,GZ,1,100,-0.580
1707823632.856516,36344.333,3062,3,GZ,1,100,-0.122
1707823632.896396,36383.000,3062,3,GZ,1,100,0.214
1707823632.936620,36422.000,3079,2,GZ,1,100,-0.427
1707823632.976843,36461.000,3079,2,GZ,1,100,-0.244
1707823633.016036,36499.000,3095,3,GZ,1,100,0.610
1707823633.055228,36537.000,3095,3,GZ,1,100,-0.214
1707823633.094421,36575.000,3095,3,GZ,1,100,-0.671
1707823633.134301,36613.667,3110,3,GZ,1,100,0.000
1707823633.174181,36652.333,3110,3,GZ,1,100,0.153
1707823633.214060,36691.000,3110,3,GZ,1,100,-0.366
1707823633.254284,36730.000,3128,2,GZ,1,100,-0.458
1707823633.294508,36769.000,3128,2,GZ,1,100,-0.061
1707823633.334732,36808.000,3144,3,GZ,1,100,0.366
1707823633.374956,36847.000,3144,3,GZ,1,100,-0.336
1707823633.415179,36886.000,3144,3,GZ,1,100,-0.366
1707823633.455059,36924.667,3161,3,GZ,1,100,0.031
1707823633.494939,36963.333,3161,3,GZ,1,100,0.244
1707823633.534819,37002.000,3161,3,GZ,1,100,0.244
1707823633.575043,37041.000,3175,2,GZ,1,100,-0.214
1707823633.615267,37080.000,3175,2,GZ,1,100,-0.214
1707823633.654803,37118.333,3197,3,GZ,1,100,0.092
1707823633.694339,37156.667,3197,3,GZ,1,100,0.031
1707823633.733875,37195.000,3197,3,GZ,1,100,0.092
1707823633.773583,37233.500,3213,2,GZ,1,100,-0.031
1707823633.813291,37272.000,3213,2,GZ,1,100,0.061
1707823633.853515,37311.000,3230,3,GZ,1,100,-0.122
1707823633.893739,37350.000,3230,3,GZ,1,100,0.153
1707823633.933963,37389.000,3230,3,GZ,1,100,0.214
1707823633.975218,37429.000,3246,2,GZ,1,100,-0.061
1707823634.016473,37469.000,3246,2,GZ,1,100,-0.397
1707823634.056353,37507.667,3262,3,GZ,1,100,0.122
1707823634.096233,37546.333,3262,3,GZ,1,100,0.214
1707823634.136113,37585.000,3262,3,GZ,1,100,-0.214
1707823634.175649,37623.333,3278,3,GZ,1,100,-0.183
1707823634.215185,37661.667,3278,3,GZ,1,100,1.160
1707823634.254721,37700.000,3278,3,GZ,1,100,0.824
1707823634.293914,37738.000,3296,2,GZ,1,100,-0.793
1707823634.333106,37776.000,3296,2,GZ,1,100,-0.641
1707823634.373330,37815.000,3312,3,GZ,1,100,0.244
1707823634.413554,37854.000,3312,3,GZ,1,100,-0.580
1707823634.453777,37893.000,3312,3,GZ,1,100,-0.671
1707823634.488844,37927.000,3329,3,GZ,1,100,0.366
1707823634.523911,37961.000,3329,3,GZ,1,100,0.092
1707823634.558978,37995.000,3329,3,GZ,1,100,-0.549
1707823634.598858,38033.667,3346,3,GZ,1,100,-0.061
1707823634.638738,38072.333,3346,3,GZ,1,100,0.427
1707823634.678618,38111.000,3346,3,GZ,1,100,0.336
1707823634.718326,38149.500,3363,2,GZ,1,100,-0.305
1707823634.758034,38188.000,3363,2,GZ,1,100,-0.549
1707823634.797570,38226.333,3379,3,GZ,1,100,-0.275
1707823634.837106,38264.667,3379,3,GZ,1,100,-0.092
1707823634.876643,38303.000,3379,3,GZ,1,100,-0.458
1707823634.916866,38342.000,3397,3,GZ,1,100,-0.458
