LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707823635.258768,38673.500,3448,4,EM,1,100,RB
1707823635.310595,38723.750,3448,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823635.362422,38774.000,3448,4,EM,1,100,PS
1707823635.416053,38826.000,3484,4,EM,1,100,RS
1707823635.469685,38878.000,3484,4,EM,1,100,RB
1707823635.523317,38930.000,3484,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823635.576949,38982.000,3484,4,EM,1,100,PS
1707823635.628775,39032.250,3516,4,EM,1,100,RS
1707823635.680602,39082.500,3516,4,EM,1,100,RB
1707823635.732429,39132.750,3516,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823635.784256,39183.000,3516,4,EM,1,100,PS
1707823635.838661,39235.750,3536,4,EM,1,100,RS
1707823635.893066,39288.500,3536,4,EM,1,100,RB
1707823635.947471,39341.250,3536,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823636.001876,39394.000,3536,4,EM,1,100,PS
1707823636.053703,39444.250,3568,4,EM,1,100,RS
1707823636.105530,39494.500,3568,4,EM,1,100,RB
1707823636.157357,39544.750,3568,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823636.209184,39595.000,3568,4,EM,1,100,PS
1707823636.261010,39645.250,3602,4,EM,1,100,RS
1707823636.312837,39695.500,3602,4,EM,1,100,RB
1707823636.364664,39745.750,3602,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823636.416491,39796.000,3602,4,EM,1,100,PS
1707823636.468317,39846.250,3635,4,EM,1,100,RS
1707823636.520144,39896.500,3635,4,EM,1,100,RB
1707823636.571971,39946.750,3635,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823636.623798,39997.000,3635,4,EM,1,100,PS
1707823636.675624,40047.250,3669,4,EM,1,100,RS
1707823636.727451,40097.500,3669,4,EM,1,100,RB
1707823636.779278,40147.750,3669,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823636.831105,40198.000,3669,4,EM,1,100,PS
1707823636.882932,40248.250,3701,4,EM,1,100,RS
1707823636.934758,40298.500,3701,4,EM,1,100,RB
1707823636.986585,40348.750,3701,4,EM,1,100,2024-02-13_11-27-08-293605.csv
