LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707823658.162074,60880.000,6946,1,TH,1,100,24.482
1707823658.295122,61009.000,6964,1,TH,1,100,24.406
1707823658.426107,61136.000,6997,1,TH,1,100,24.413
1707823658.562249,61268.000,7013,1,TH,1,100,24.474
1707823658.695297,61397.000,7033,1,TH,1,100,24.474
1707823658.828345,61526.000,7049,1,TH,1,100,24.534
1707823658.961392,61655.000,7081,1,TH,1,100,24.541
1707823659.095472,61785.000,7098,1,TH,1,100,24.534
1707823659.230582,61916.000,7116,1,TH,1,100,24.534
1707823659.362599,62044.000,7148,1,TH,1,100,24.507
1707823659.495646,62173.000,7165,1,TH,1,100,24.507
1707823659.627663,62301.000,7182,1,TH,1,100,24.572
1707823659.761742,62431.000,7199,1,TH,1,100,24.579
1707823659.895821,62561.000,7231,1,TH,1,100,24.536
1707823660.028869,62690.000,7247,1,TH,1,100,24.536
1707823660.160886,62818.000,7266,1,TH,1,100,24.565
1707823660.293933,62947.000,7298,1,TH,1,100,24.565
1707823660.425950,63075.000,7314,1,TH,1,100,24.450
1707823660.558998,63204.000,7331,1,TH,1,100,24.457
1707823660.692045,63333.000,7348,1,TH,1,100,24.541
1707823660.824062,63461.000,7379,1,TH,1,100,24.541
1707823660.956078,63589.000,7399,1,TH,1,100,24.619
1707823661.089126,63718.000,7415,1,TH,1,100,24.626
1707823661.222174,63847.000,7432,1,TH,1,100,24.537
1707823661.356253,63977.000,7464,1,TH,1,100,24.537
1707823661.492395,64109.000,7480,1,TH,1,100,24.501
1707823661.624412,64237.000,7498,1,TH,1,100,24.501
1707823661.755397,64364.000,7531,1,TH,1,100,24.573
1707823661.888444,64493.000,7548,1,TH,1,100,24.580
1707823662.023555,64624.000,7565,1,TH,1,100,24.553
1707823662.158666,64755.000,7581,1,TH,1,100,24.553
1707823662.292745,64885.000,7602,1,TH,1,100,24.478
1707823662.423730,65012.000,7618,1,TH,1,100,24.485
1707823662.556778,65141.000,7635,1,TH,1,100,24.605
1707823662.692920,65273.000,7669,1,TH,1,100,24.605
1707823662.825967,65402.000,7685,1,TH,1,100,24.594
1707823662.957984,65530.000,7703,1,TH,1,100,24.594
1707823663.092063,65660.000,7719,1,TH,1,100,24.547
1707823663.226142,65790.000,7751,1,TH,1,100,24.554
1707823663.359190,65919.000,7768,1,TH,1,100,24.565
1707823663.491207,66047.000,7784,1,TH,1,100,24.565
1707823663.623223,66175.000,7820,1,TH,1,100,24.594
1707823663.759365,66307.000,7837,1,TH,1,100,24.601
1707823663.892413,66436.000,7853,1,TH,1,100,24.706
1707823664.025461,66565.000,7871,1,TH,1,100,24.706
1707823664.158508,66694.000,7902,1,TH,1,100,24.590
1707823664.290525,66822.000,7919,1,TH,1,100,24.590
1707823664.425635,66953.000,7936,1,TH,1,100,24.654
1707823664.559715,67083.000,7970,1,TH,1,100,24.661
1707823664.691731,67211.000,7986,1,TH,1,100,24.666
1707823664.824779,67340.000,8003,1,TH,1,100,24.666
1707823664.957827,67469.000,8020,1,TH,1,100,24.579
1707823665.091906,67599.000,8051,1,TH,1,100,24.579
1707823665.224954,67728.000,8068,1,TH,1,100,24.590
1707823665.356970,67856.000,8085,1,TH,1,100,24.597
1707823665.488987,67984.000,8104,1,TH,1,100,24.655
1707823665.623066,68114.000,8136,1,TH,1,100,24.655
1707823665.755082,68242.000,8152,1,TH,1,100,24.691
1707823665.888130,68371.000,8169,1,TH,1,100,24.691
1707823666.021178,68500.000,8201,1,TH,1,100,24.590
1707823666.152163,68627.000,8217,1,TH,1,100,24.597
1707823666.285211,68756.000,8235,1,TH,1,100,24.609
1707823666.417227,68884.000,8253,1,TH,1,100,24.609
1707823666.550275,69013.000,8285,1,TH,1,100,24.731
1707823666.686417,69145.000,8302,1,TH,1,100,24.731
1707823666.819465,69274.000,8318,1,TH,1,100,24.653
1707823666.950450,69401.000,8350,1,TH,1,100,24.660
1707823667.083498,69530.000,8367,1,TH,1,100,24.645
