LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1707823632.335670,35839.333,2981,3,MZ,1,100,-2
1707823632.375550,35878.000,2981,3,MZ,1,100,-3
1707823632.415258,35916.500,2998,2,MZ,1,100,-3
1707823632.454966,35955.000,2998,2,MZ,1,100,-3
1707823632.494846,35993.667,3014,3,MZ,1,100,-3
1707823632.534726,36032.333,3014,3,MZ,1,100,-3
1707823632.574606,36071.000,3014,3,MZ,1,100,-3
1707823632.615173,36110.333,3030,3,MZ,1,100,-4
1707823632.655741,36149.667,3030,3,MZ,1,100,-3
1707823632.696308,36189.000,3030,3,MZ,1,100,-3
1707823632.736532,36228.000,3046,2,MZ,1,100,-3
1707823632.776756,36267.000,3046,2,MZ,1,100,-3
1707823632.816636,36305.667,3065,3,MZ,1,100,-3
1707823632.856516,36344.333,3065,3,MZ,1,100,-2
1707823632.896396,36383.000,3065,3,MZ,1,100,-3
1707823632.936620,36422.000,3082,2,MZ,1,100,-3
1707823632.976843,36461.000,3082,2,MZ,1,100,-3
1707823633.016036,36499.000,3098,3,MZ,1,100,-2
1707823633.055228,36537.000,3098,3,MZ,1,100,-2
1707823633.094421,36575.000,3098,3,MZ,1,100,-3
1707823633.134301,36613.667,3113,3,MZ,1,100,-3
1707823633.174181,36652.333,3113,3,MZ,1,100,-3
1707823633.214060,36691.000,3113,3,MZ,1,100,-4
1707823633.254284,36730.000,3131,2,MZ,1,100,-3
1707823633.294508,36769.000,3131,2,MZ,1,100,-2
1707823633.334732,36808.000,3147,3,MZ,1,100,-3
1707823633.374956,36847.000,3147,3,MZ,1,100,-3
1707823633.415179,36886.000,3147,3,MZ,1,100,-3
1707823633.455059,36924.667,3164,3,MZ,1,100,-2
1707823633.494939,36963.333,3164,3,MZ,1,100,-3
1707823633.534819,37002.000,3164,3,MZ,1,100,-3
1707823633.575043,37041.000,3178,2,MZ,1,100,-3
1707823633.615267,37080.000,3178,2,MZ,1,100,-4
1707823633.654803,37118.333,3200,3,MZ,1,100,-3
1707823633.694339,37156.667,3200,3,MZ,1,100,-2
1707823633.733875,37195.000,3200,3,MZ,1,100,-4
1707823633.773583,37233.500,3216,2,MZ,1,100,-3
1707823633.813291,37272.000,3216,2,MZ,1,100,-3
1707823633.853515,37311.000,3233,3,MZ,1,100,-3
1707823633.893739,37350.000,3233,3,MZ,1,100,-3
1707823633.933963,37389.000,3233,3,MZ,1,100,-3
1707823633.975218,37429.000,3249,2,MZ,1,100,-3
1707823634.016473,37469.000,3249,2,MZ,1,100,-3
1707823634.056353,37507.667,3265,3,MZ,1,100,-2
1707823634.096233,37546.333,3265,3,MZ,1,100,-2
1707823634.136113,37585.000,3265,3,MZ,1,100,-4
1707823634.175649,37623.333,3281,3,MZ,1,100,-3
1707823634.215185,37661.667,3281,3,MZ,1,100,-2
