LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707823633.588107,37053.667,3166,3,PR,1,100,160391
1707823633.627643,37092.000,3166,3,PR,1,100,160421
1707823633.666836,37130.000,3186,2,PR,1,100,160442
1707823633.706028,37168.000,3186,2,PR,1,100,160458
1707823633.745908,37206.667,3202,3,PR,1,100,160481
1707823633.785788,37245.333,3202,3,PR,1,100,160495
1707823633.825668,37284.000,3202,3,PR,1,100,160520
1707823633.866235,37323.333,3219,3,PR,1,100,160531
1707823633.906803,37362.667,3219,3,PR,1,100,160545
1707823633.947371,37402.000,3219,3,PR,1,100,160567
1707823633.988626,37442.000,3236,2,PR,1,100,160594
1707823634.029881,37482.000,3236,2,PR,1,100,160609
1707823634.069761,37520.667,3252,3,PR,1,100,160546
1707823634.109641,37559.333,3252,3,PR,1,100,160429
1707823634.149521,37598.000,3252,3,PR,1,100,160352
1707823634.188713,37636.000,3267,2,PR,1,100,160309
1707823634.227906,37674.000,3267,2,PR,1,100,160273
1707823634.267098,37712.000,3285,3,PR,1,100,160247
1707823634.306290,37750.000,3285,3,PR,1,100,160254
1707823634.345483,37788.000,3285,3,PR,1,100,160274
1707823634.385363,37826.667,3301,3,PR,1,100,160269
1707823634.425243,37865.333,3301,3,PR,1,100,160289
1707823634.465123,37904.000,3301,3,PR,1,100,160313
1707823634.505346,37943.000,3320,2,PR,1,100,160322
1707823634.545570,37982.000,3320,2,PR,1,100,160342
1707823634.585450,38020.667,3335,3,PR,1,100,160360
1707823634.625330,38059.333,3335,3,PR,1,100,160391
1707823634.665210,38098.000,3335,3,PR,1,100,160410
1707823634.705090,38136.667,3352,3,PR,1,100,160422
1707823634.744970,38175.333,3352,3,PR,1,100,160440
1707823634.784850,38214.000,3352,3,PR,1,100,160458
1707823634.824042,38252.000,3368,2,PR,1,100,160483
1707823634.863235,38290.000,3368,2,PR,1,100,160494
1707823634.903458,38329.000,3386,3,PR,1,100,160499
1707823634.943682,38368.000,3386,3,PR,1,100,160429
1707823634.983906,38407.000,3386,3,PR,1,100,160324
