Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Qitem,leftopt,rightopt,stim,ANSWER,introtext,prestext,intro_text,Home,Status,Away,Checker,intro_stim,category,item,condition,duration,list,order,post_text,snippet,type
18,1707824186453,13/02/2024 11:36:26,1707824186441,0,13/02/2024 11:36:26,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,3,stimuli,Zone1,content_video,94222.79999999702,,,,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
19,1707824189666,13/02/2024 11:36:29,1707824189554,0,13/02/2024 11:36:29,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,4,familiarity,slider1,response_slider_firstInteraction,3119.415000000008,,,75,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
20,1707824190836,13/02/2024 11:36:30,1707824190690,0,13/02/2024 11:36:30,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,4,familiarity,slider2,response_slider_firstInteraction,4253.654999999999,,,63,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
21,1707824192596,13/02/2024 11:36:32,1707824191573,0,13/02/2024 11:36:31,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,4,familiarity,slider1,response_slider_endValue,5127.20000000298,,,75,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
22,1707824193697,13/02/2024 11:36:33,1707824191574,0,13/02/2024 11:36:31,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,4,familiarity,slider2,response_slider_endValue,5127.20000000298,,,63,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
23,1707824193697,13/02/2024 11:36:33,1707824191574,0,13/02/2024 11:36:31,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,4,familiarity,continuebutton,continue_button,5127.20000000298,,,,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
24,1707824194235,13/02/2024 11:36:34,1707824192943,0,13/02/2024 11:36:32,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,rightslider,response_slider_firstInteraction,1367.7599999999802,,,25,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
25,1707824195076,13/02/2024 11:36:35,1707824194959,0,13/02/2024 11:36:34,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,empathyslider1,response_slider_firstInteraction,3369.359999999986,,,78,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
26,1707824197326,13/02/2024 11:36:37,1707824196009,0,13/02/2024 11:36:36,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,empathyslider2,response_slider_firstInteraction,4436.879999999976,,,26,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
27,1707824197752,13/02/2024 11:36:37,1707824197109,0,13/02/2024 11:36:37,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,rightslider,response_slider_endValue,5530.80000000447,,,25,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
28,1707824197752,13/02/2024 11:36:37,1707824197109,0,13/02/2024 11:36:37,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,empathyslider1,response_slider_endValue,5530.80000000447,,,78,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
