LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707824240.384336,625491.000,32098,3,GY,1,100,-0.336
1707824240.424531,625530.000,32116,2,GY,1,100,-0.305
1707824240.464725,625569.000,32116,2,GY,1,100,-0.427
1707824240.503889,625607.000,32132,3,GY,1,100,-0.244
1707824240.543053,625645.000,32132,3,GY,1,100,-0.061
1707824240.582217,625683.000,32132,3,GY,1,100,-0.153
1707824240.622068,625721.667,32149,3,GY,1,100,-0.244
1707824240.661919,625760.333,32149,3,GY,1,100,-0.275
1707824240.701770,625799.000,32149,3,GY,1,100,-0.275
1707824240.741449,625837.500,32166,2,GY,1,100,-0.092
1707824240.781129,625876.000,32166,2,GY,1,100,-0.702
1707824240.820980,625914.667,32183,3,GY,1,100,-0.641
1707824240.860831,625953.333,32183,3,GY,1,100,-0.183
1707824240.900682,625992.000,32183,3,GY,1,100,-0.092
1707824240.940877,626031.000,32199,2,GY,1,100,-0.641
1707824240.981071,626070.000,32199,2,GY,1,100,-0.732
1707824241.021609,626109.333,32215,3,GY,1,100,-0.214
1707824241.062147,626148.667,32215,3,GY,1,100,-0.244
1707824241.102686,626188.000,32215,3,GY,1,100,-0.427
1707824241.142880,626227.000,32231,3,GY,1,100,-0.488
1707824241.183075,626266.000,32231,3,GY,1,100,-0.275
1707824241.223269,626305.000,32231,3,GY,1,100,-0.549
1707824241.262949,626343.500,32248,2,GY,1,100,-0.793
1707824241.302628,626382.000,32248,2,GY,1,100,-0.397
1707824241.342135,626420.333,32267,3,GY,1,100,-0.397
1707824241.381643,626458.667,32267,3,GY,1,100,-0.488
1707824241.421150,626497.000,32267,3,GY,1,100,-0.427
1707824241.461345,626536.000,32282,2,GY,1,100,-0.702
1707824241.501540,626575.000,32282,2,GY,1,100,-0.427
1707824241.541391,626613.667,32298,3,GY,1,100,-0.366
1707824241.581242,626652.333,32298,3,GY,1,100,0.061
1707824241.621093,626691.000,32298,3,GY,1,100,0.458
1707824241.661974,626730.667,32315,3,GY,1,100,-0.671
1707824241.702856,626770.333,32315,3,GY,1,100,-1.038
1707824241.743738,626810.000,32315,3,GY,1,100,0.153
1707824241.783417,626848.500,32332,2,GY,1,100,-0.549
1707824241.823096,626887.000,32332,2,GY,1,100,-0.916
1707824241.863291,626926.000,32349,3,GY,1,100,-0.092
1707824241.903485,626965.000,32349,3,GY,1,100,-0.244
1707824241.943680,627004.000,32349,3,GY,1,100,-0.610
1707824241.982844,627042.000,32363,2,GY,1,100,-0.427
1707824242.022008,627080.000,32363,2,GY,1,100,-0.519
1707824242.057049,627114.000,32383,3,GY,1,100,-0.702
1707824242.092091,627148.000,32383,3,GY,1,100,0.153
1707824242.127132,627182.000,32383,3,GY,1,100,0.336
1707824242.167327,627221.000,32399,3,GY,1,100,0.427
1707824242.207521,627260.000,32399,3,GY,1,100,1.770
1707824242.247716,627299.000,32399,3,GY,1,100,1.068
1707824242.287567,627337.667,32416,3,GY,1,100,-1.312
1707824242.327418,627376.333,32416,3,GY,1,100,-0.641
1707824242.367269,627415.000,32416,3,GY,1,100,0.122
1707824242.407206,627453.750,32433,4,GY,1,100,-1.434
1707824242.447143,627492.500,32433,4,GY,1,100,-0.610
1707824242.487080,627531.250,32433,4,GY,1,100,0.519
1707824242.527017,627570.000,32433,4,GY,1,100,0.000
1707824242.567212,627609.000,32450,2,GY,1,100,-0.732
1707824242.607406,627648.000,32450,2,GY,1,100,-1.434
1707824242.646570,627686.000,32465,3,GY,1,100,-1.129
1707824242.685734,627724.000,32465,3,GY,1,100,-0.793
1707824242.724898,627762.000,32465,3,GY,1,100,-1.129
1707824242.765608,627801.500,32484,2,GY,1,100,-1.648
1707824242.806318,627841.000,32484,2,GY,1,100,-0.641
1707824242.846169,627879.667,32500,3,GY,1,100,-0.031
1707824242.886020,627918.333,32500,3,GY,1,100,-0.610
1707824242.925871,627957.000,32500,3,GY,1,100,-0.397
1707824242.965722,627995.667,32519,3,GY,1,100,-0.153
1707824243.005573,628034.333,32519,3,GY,1,100,-0.122
1707824243.045424,628073.000,32519,3,GY,1,100,-0.275
1707824243.085361,628111.750,32536,4,GY,1,100,-0.549
1707824243.125298,628150.500,32536,4,GY,1,100,-0.275
1707824243.165235,628189.250,32536,4,GY,1,100,-0.275
1707824243.205172,628228.000,32536,4,GY,1,100,-0.671
1707824243.244336,628266.000,32553,2,GY,1,100,-0.336
1707824243.283500,628304.000,32553,2,GY,1,100,-0.732
1707824243.324725,628344.000,32570,3,GY,1,100,-0.336
1707824243.365950,628384.000,32570,3,GY,1,100,0.183
1707824243.407175,628424.000,32570,3,GY,1,100,-0.122
1707824243.446855,628462.500,32585,2,GY,1,100,-0.397
1707824243.486534,628501.000,32585,2,GY,1,100,-0.519
1707824243.526385,628539.667,32601,3,GY,1,100,-0.122
1707824243.566236,628578.333,32601,3,GY,1,100,-0.488
1707824243.606087,628617.000,32601,3,GY,1,100,-0.549
1707824243.645938,628655.667,32623,3,GY,1,100,-0.183
1707824243.685789,628694.333,32623,3,GY,1,100,-0.458
1707824243.725640,628733.000,32623,3,GY,1,100,-0.275
1707824243.765491,628771.667,32642,3,GY,1,100,-0.671
1707824243.805342,628810.333,32642,3,GY,1,100,-0.366
1707824243.845193,628849.000,32642,3,GY,1,100,0.031
1707824243.884701,628887.333,32659,3,GY,1,100,-0.336
1707824243.924208,628925.667,32659,3,GY,1,100,-0.153
1707824243.963716,628964.000,32659,3,GY,1,100,-0.244
1707824244.004254,629003.333,32676,3,GY,1,100,-0.153
1707824244.044792,629042.667,32676,3,GY,1,100,-0.031
1707824244.085330,629082.000,32676,3,GY,1,100,-0.061
1707824244.125525,629121.000,32691,2,GY,1,100,0.214
1707824244.165719,629160.000,32691,2,GY,1,100,-0.366
1707824244.205571,629198.667,32707,3,GY,1,100,0.031
1707824244.245422,629237.333,32707,3,GY,1,100,0.458
1707824244.285273,629276.000,32707,3,GY,1,100,-0.458
1707824244.324952,629314.500,32724,2,GY,1,100,-0.793
