LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707824254.241164,638936.000,34229,4,MX,1,100,-19
1707824254.280843,638974.500,34229,4,MX,1,100,-18
1707824254.320522,639013.000,34229,4,MX,1,100,-18
1707824254.361232,639052.500,34245,2,MX,1,100,-19
1707824254.401942,639092.000,34245,2,MX,1,100,-19
1707824254.442137,639131.000,34261,3,MX,1,100,-18
1707824254.482331,639170.000,34261,3,MX,1,100,-18
1707824254.522526,639209.000,34261,3,MX,1,100,-18
1707824254.562377,639247.667,34278,3,MX,1,100,-19
1707824254.602228,639286.333,34278,3,MX,1,100,-18
1707824254.642079,639325.000,34278,3,MX,1,100,-19
1707824254.681243,639363.000,34295,2,MX,1,100,-18
1707824254.720407,639401.000,34295,2,MX,1,100,-18
1707824254.760601,639440.000,34312,3,MX,1,100,-19
1707824254.800796,639479.000,34312,3,MX,1,100,-18
1707824254.840991,639518.000,34312,3,MX,1,100,-18
1707824254.880670,639556.500,34326,2,MX,1,100,-18
1707824254.920349,639595.000,34326,2,MX,1,100,-18
1707824254.961231,639634.667,34344,3,MX,1,100,-19
1707824255.002113,639674.333,34344,3,MX,1,100,-18
1707824255.042994,639714.000,34344,3,MX,1,100,-18
1707824255.082845,639752.667,34362,3,MX,1,100,-18
1707824255.122696,639791.333,34362,3,MX,1,100,-19
1707824255.162547,639830.000,34362,3,MX,1,100,-19
1707824255.202742,639869.000,34379,2,MX,1,100,-19
1707824255.242937,639908.000,34379,2,MX,1,100,-18
1707824255.282101,639946.000,34394,3,MX,1,100,-19
1707824255.321264,639984.000,34394,3,MX,1,100,-19
1707824255.360428,640022.000,34394,3,MX,1,100,-19
1707824255.400108,640060.500,34411,2,MX,1,100,-17
1707824255.439787,640099.000,34411,2,MX,1,100,-19
1707824255.479638,640137.667,34427,3,MX,1,100,-19
1707824255.519489,640176.333,34427,3,MX,1,100,-19
1707824255.559340,640215.000,34427,3,MX,1,100,-19
1707824255.600222,640254.667,34444,3,MX,1,100,-18
1707824255.641104,640294.333,34444,3,MX,1,100,-18
1707824255.681985,640334.000,34444,3,MX,1,100,-19
1707824255.722180,640373.000,34461,2,MX,1,100,-19
1707824255.762374,640412.000,34461,2,MX,1,100,-18
1707824255.802225,640450.667,34476,3,MX,1,100,-19
1707824255.842076,640489.333,34476,3,MX,1,100,-20
1707824255.881928,640528.000,34476,3,MX,1,100,-18
1707824255.920576,640565.500,34494,2,MX,1,100,-19
1707824255.959225,640603.000,34494,2,MX,1,100,-19
1707824255.998732,640641.333,34512,3,MX,1,100,-19
1707824256.038240,640679.667,34512,3,MX,1,100,-19
1707824256.077747,640718.000,34512,3,MX,1,100,-18
1707824256.117598,640756.667,34528,3,MX,1,100,-19
1707824256.157449,640795.333,34528,3,MX,1,100,-19
1707824256.197300,640834.000,34528,3,MX,1,100,-18
1707824256.238526,640874.000,34544,2,MX,1,100,-19
1707824256.279751,640914.000,34544,2,MX,1,100,-18
1707824256.319945,640953.000,34560,3,MX,1,100,-19
1707824256.360140,640992.000,34560,3,MX,1,100,-19
1707824256.400335,641031.000,34560,3,MX,1,100,-18
1707824256.440014,641069.500,34577,2,MX,1,100,-19
1707824256.479693,641108.000,34577,2,MX,1,100,-19
1707824256.519201,641146.333,34593,3,MX,1,100,-18
1707824256.558708,641184.667,34593,3,MX,1,100,-18
1707824256.598216,641223.000,34593,3,MX,1,100,-19
1707824256.638067,641261.667,34611,3,MX,1,100,-19
1707824256.677918,641300.333,34611,3,MX,1,100,-19
1707824256.717769,641339.000,34611,3,MX,1,100,-19
