LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707824238.914657,624065.000,31856,3,PI,1,100,161116
1707824238.954508,624103.667,31873,3,PI,1,100,161177
1707824238.994359,624142.333,31873,3,PI,1,100,161216
1707824239.034210,624181.000,31873,3,PI,1,100,161268
1707824239.074405,624220.000,31890,2,PI,1,100,161319
1707824239.114599,624259.000,31890,2,PI,1,100,161372
1707824239.154450,624297.667,31905,3,PI,1,100,161451
1707824239.194301,624336.333,31905,3,PI,1,100,161540
1707824239.234152,624375.000,31905,3,PI,1,100,161609
1707824239.272801,624412.500,31921,2,PI,1,100,161433
1707824239.311450,624450.000,31921,2,PI,1,100,160824
1707824239.350614,624488.000,31939,3,PI,1,100,160534
1707824239.389778,624526.000,31939,3,PI,1,100,160462
1707824239.428941,624564.000,31939,3,PI,1,100,160446
1707824239.469136,624603.000,31955,3,PI,1,100,160482
1707824239.509331,624642.000,31955,3,PI,1,100,160580
1707824239.549525,624681.000,31955,3,PI,1,100,160685
1707824239.589205,624719.500,31972,2,PI,1,100,160709
1707824239.628884,624758.000,31972,2,PI,1,100,160738
1707824239.668735,624796.667,31989,3,PI,1,100,160804
1707824239.708586,624835.333,31989,3,PI,1,100,160882
1707824239.748437,624874.000,31989,3,PI,1,100,160975
1707824239.788116,624912.500,32006,2,PI,1,100,161080
1707824239.827796,624951.000,32006,2,PI,1,100,161156
1707824239.867647,624989.667,32022,3,PI,1,100,161224
1707824239.907498,625028.333,32022,3,PI,1,100,161277
1707824239.947349,625067.000,32022,3,PI,1,100,161353
1707824239.986856,625105.333,32039,3,PI,1,100,161441
1707824240.026364,625143.667,32039,3,PI,1,100,161516
1707824240.065871,625182.000,32039,3,PI,1,100,161546
1707824240.105550,625220.500,32055,2,PI,1,100,161098
1707824240.145230,625259.000,32055,2,PI,1,100,160567
1707824240.185081,625297.667,32071,3,PI,1,100,160411
1707824240.224932,625336.333,32071,3,PI,1,100,160363
1707824240.264783,625375.000,32071,3,PI,1,100,160349
1707824240.304634,625413.667,32087,3,PI,1,100,160413
1707824240.344485,625452.333,32087,3,PI,1,100,160531
1707824240.384336,625491.000,32087,3,PI,1,100,160582
1707824240.424531,625530.000,32105,2,PI,1,100,160589
1707824240.464725,625569.000,32105,2,PI,1,100,160643
1707824240.503889,625607.000,32123,3,PI,1,100,160707
1707824240.543053,625645.000,32123,3,PI,1,100,160793
1707824240.582217,625683.000,32123,3,PI,1,100,160885
1707824240.621896,625721.500,32138,2,PI,1,100,160972
1707824240.661576,625760.000,32138,2,PI,1,100,161034
1707824240.701427,625798.667,32155,3,PI,1,100,161108
1707824240.741278,625837.333,32155,3,PI,1,100,161142
1707824240.781129,625876.000,32155,3,PI,1,100,161214
1707824240.820980,625914.667,32172,3,PI,1,100,161307
1707824240.860831,625953.333,32172,3,PI,1,100,161387
1707824240.900682,625992.000,32172,3,PI,1,100,161361
1707824240.947060,626037.000,32188,2,PI,1,100,160857
1707824240.993439,626082.000,32188,2,PI,1,100,160412
1707824241.034320,626121.667,32206,3,PI,1,100,160306
1707824241.075202,626161.333,32206,3,PI,1,100,160279
1707824241.116084,626201.000,32206,3,PI,1,100,160314
1707824241.156278,626240.000,32220,2,PI,1,100,160437
1707824241.196473,626279.000,32220,2,PI,1,100,160522
1707824241.236324,626317.667,32237,3,PI,1,100,160540
1707824241.276175,626356.333,32237,3,PI,1,100,160550
1707824241.316026,626395.000,32237,3,PI,1,100,160611
1707824241.355705,626433.500,32256,2,PI,1,100,160689
1707824241.395385,626472.000,32256,2,PI,1,100,160790
1707824241.434892,626510.333,32273,3,PI,1,100,160879
1707824241.474400,626548.667,32273,3,PI,1,100,160952
1707824241.513907,626587.000,32273,3,PI,1,100,161030
1707824241.554102,626626.000,32287,3,PI,1,100,161065
1707824241.594296,626665.000,32287,3,PI,1,100,161067
1707824241.634491,626704.000,32287,3,PI,1,100,161114
1707824241.675201,626743.500,32304,2,PI,1,100,161162
1707824241.715911,626783.000,32304,2,PI,1,100,161189
