LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707824247.004076,631914.000,33121,1,TH,1,100,30.195
1707824247.138058,632044.000,33139,1,TH,1,100,30.194
1707824247.267917,632170.000,33157,1,TH,1,100,30.145
1707824247.401899,632300.000,33175,2,TH,1,100,30.145
1707824247.535881,632430.000,33175,2,TH,1,100,30.104
1707824247.669348,632559.500,33193,2,TH,1,100,30.104
1707824247.802815,632689.000,33193,2,TH,1,100,30.099
1707824247.935766,632818.000,33226,1,TH,1,100,30.099
1707824248.066656,632945.000,33245,1,TH,1,100,30.091
1707824248.200638,633075.000,33262,1,TH,1,100,30.091
1707824248.332559,633203.000,33278,1,TH,1,100,30.096
1707824248.465510,633332.000,33310,1,TH,1,100,30.096
1707824248.598461,633461.000,33327,1,TH,1,100,30.220
1707824248.729352,633588.000,33344,1,TH,1,100,30.227
1707824248.862303,633717.000,33361,1,TH,1,100,30.188
1707824248.995254,633846.000,33385,1,TH,1,100,30.188
1707824249.127175,633974.000,33402,1,TH,1,100,30.168
1707824249.260126,634103.000,33418,1,TH,1,100,30.168
1707824249.391016,634230.000,33450,1,TH,1,100,30.162
1707824249.522937,634358.000,33467,1,TH,1,100,30.162
1707824249.655888,634487.000,33483,1,TH,1,100,30.106
1707824249.788840,634616.000,33501,1,TH,1,100,30.106
1707824249.919730,634743.000,33534,1,TH,1,100,30.164
1707824250.052681,634872.000,33551,1,TH,1,100,30.164
1707824250.185632,635001.000,33568,1,TH,1,100,30.090
1707824250.317553,635129.000,33600,1,TH,1,100,30.090
1707824250.451535,635259.000,33616,1,TH,1,100,30.082
1707824250.583456,635387.000,33633,1,TH,1,100,30.082
1707824250.715377,635515.000,33652,1,TH,1,100,30.133
1707824250.848328,635644.000,33683,1,TH,1,100,30.141
1707824250.981279,635773.000,33700,1,TH,1,100,30.182
1707824251.117323,635905.000,33717,1,TH,1,100,30.182
1707824251.250274,636034.000,33734,1,TH,1,100,30.094
1707824251.381164,636161.000,33766,1,TH,1,100,30.094
1707824251.518238,636294.000,33782,1,TH,1,100,30.135
1707824251.652220,636424.000,33801,1,TH,1,100,30.135
1707824251.784140,636552.000,33833,1,TH,1,100,30.163
1707824251.917092,636681.000,33849,1,TH,1,100,30.163
1707824252.049013,636809.000,33867,1,TH,1,100,30.148
1707824252.184025,636940.000,33883,1,TH,1,100,30.148
1707824252.316976,637069.000,33915,1,TH,1,100,30.070
1707824252.449928,637198.000,33934,1,TH,1,100,30.070
1707824252.581849,637326.000,33950,1,TH,1,100,30.168
1707824252.714800,637455.000,33984,1,TH,1,100,30.176
1707824252.849812,637586.000,34001,1,TH,1,100,30.139
1707824252.981733,637714.000,34017,1,TH,1,100,30.139
1707824253.114684,637843.000,34035,1,TH,1,100,30.198
1707824253.246605,637971.000,34068,1,TH,1,100,30.198
1707824253.382648,638103.000,34085,1,TH,1,100,30.191
1707824253.515600,638232.000,34102,1,TH,1,100,30.191
1707824253.648551,638361.000,34118,1,TH,1,100,30.207
1707824253.781502,638490.000,34150,1,TH,1,100,30.206
