LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707824239.428941,624564.000,31941,3,PG,1,100,10118
1707824239.469136,624603.000,31957,3,PG,1,100,10106
1707824239.509331,624642.000,31957,3,PG,1,100,10115
1707824239.549525,624681.000,31957,3,PG,1,100,10136
1707824239.589205,624719.500,31974,2,PG,1,100,10156
1707824239.628884,624758.000,31974,2,PG,1,100,10158
1707824239.668735,624796.667,31991,3,PG,1,100,10171
1707824239.708586,624835.333,31991,3,PG,1,100,10191
1707824239.748437,624874.000,31991,3,PG,1,100,10217
1707824239.788116,624912.500,32008,2,PG,1,100,10240
1707824239.827796,624951.000,32008,2,PG,1,100,10259
1707824239.867647,624989.667,32024,3,PG,1,100,10278
1707824239.907498,625028.333,32024,3,PG,1,100,10306
1707824239.947349,625067.000,32024,3,PG,1,100,10316
1707824239.986856,625105.333,32041,3,PG,1,100,10328
1707824240.026364,625143.667,32041,3,PG,1,100,10351
1707824240.065871,625182.000,32041,3,PG,1,100,10356
1707824240.105550,625220.500,32057,2,PG,1,100,10320
1707824240.145230,625259.000,32057,2,PG,1,100,10204
1707824240.185081,625297.667,32073,3,PG,1,100,10130
1707824240.224932,625336.333,32073,3,PG,1,100,10093
1707824240.264783,625375.000,32073,3,PG,1,100,10057
1707824240.304634,625413.667,32089,3,PG,1,100,10062
1707824240.344485,625452.333,32089,3,PG,1,100,10086
1707824240.384336,625491.000,32089,3,PG,1,100,10095
1707824240.424531,625530.000,32107,2,PG,1,100,10102
1707824240.464725,625569.000,32107,2,PG,1,100,10114
1707824240.503889,625607.000,32125,3,PG,1,100,10143
1707824240.543053,625645.000,32125,3,PG,1,100,10156
1707824240.582217,625683.000,32125,3,PG,1,100,10180
1707824240.621896,625721.500,32140,2,PG,1,100,10208
1707824240.661576,625760.000,32140,2,PG,1,100,10227
1707824240.701427,625798.667,32157,3,PG,1,100,10242
1707824240.741278,625837.333,32157,3,PG,1,100,10263
1707824240.781129,625876.000,32157,3,PG,1,100,10272
1707824240.820980,625914.667,32174,3,PG,1,100,10295
1707824240.860831,625953.333,32174,3,PG,1,100,10316
1707824240.900682,625992.000,32174,3,PG,1,100,10321
1707824240.947060,626037.000,32190,2,PG,1,100,10260
1707824240.993439,626082.000,32190,2,PG,1,100,10148
1707824241.034320,626121.667,32208,3,PG,1,100,10096
1707824241.075202,626161.333,32208,3,PG,1,100,10060
1707824241.116084,626201.000,32208,3,PG,1,100,10045
1707824241.156278,626240.000,32222,2,PG,1,100,10064
1707824241.196473,626279.000,32222,2,PG,1,100,10087
1707824241.236324,626317.667,32239,3,PG,1,100,10086
1707824241.276175,626356.333,32239,3,PG,1,100,10094
1707824241.316026,626395.000,32239,3,PG,1,100,10113
1707824241.355705,626433.500,32258,2,PG,1,100,10143
1707824241.395385,626472.000,32258,2,PG,1,100,10156
1707824241.434892,626510.333,32275,3,PG,1,100,10181
1707824241.474400,626548.667,32275,3,PG,1,100,10204
1707824241.513907,626587.000,32275,3,PG,1,100,10223
1707824241.554102,626626.000,32289,3,PG,1,100,10235
1707824241.594296,626665.000,32289,3,PG,1,100,10251
1707824241.634491,626704.000,32289,3,PG,1,100,10264
1707824241.675201,626743.500,32306,2,PG,1,100,10284
1707824241.715911,626783.000,32306,2,PG,1,100,10294
1707824241.756105,626822.000,32323,3,PG,1,100,10264
1707824241.796300,626861.000,32323,3,PG,1,100,10158
1707824241.836494,626900.000,32323,3,PG,1,100,10076
1707824241.876689,626939.000,32340,2,PG,1,100,10037
1707824241.916884,626978.000,32340,2,PG,1,100,10007
1707824241.956048,627016.000,32356,3,PG,1,100,10016
1707824241.995212,627054.000,32356,3,PG,1,100,10041
1707824242.034376,627092.000,32356,3,PG,1,100,10048
1707824242.074227,627130.667,32374,3,PG,1,100,10060
1707824242.114078,627169.333,32374,3,PG,1,100,10073
1707824242.153929,627208.000,32374,3,PG,1,100,10090
1707824242.194123,627247.000,32390,2,PG,1,100,10109
1707824242.234318,627286.000,32390,2,PG,1,100,10123
1707824242.274169,627324.667,32407,3,PG,1,100,10154
1707824242.314020,627363.333,32407,3,PG,1,100,10172
