LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707824241.982844,627042.000,32364,2,GZ,1,100,-0.275
1707824242.022008,627080.000,32364,2,GZ,1,100,-0.061
1707824242.057049,627114.000,32384,3,GZ,1,100,0.061
1707824242.092091,627148.000,32384,3,GZ,1,100,0.000
1707824242.127132,627182.000,32384,3,GZ,1,100,-0.488
1707824242.167327,627221.000,32400,3,GZ,1,100,-1.434
1707824242.207521,627260.000,32400,3,GZ,1,100,-1.434
1707824242.247716,627299.000,32400,3,GZ,1,100,-1.007
1707824242.287567,627337.667,32417,3,GZ,1,100,0.092
1707824242.327418,627376.333,32417,3,GZ,1,100,-0.275
1707824242.367269,627415.000,32417,3,GZ,1,100,0.031
1707824242.407206,627453.750,32434,4,GZ,1,100,-0.031
1707824242.447143,627492.500,32434,4,GZ,1,100,-0.366
1707824242.487080,627531.250,32434,4,GZ,1,100,-0.366
1707824242.527017,627570.000,32434,4,GZ,1,100,-0.061
1707824242.567212,627609.000,32451,2,GZ,1,100,0.153
1707824242.607406,627648.000,32451,2,GZ,1,100,-0.031
1707824242.646570,627686.000,32466,3,GZ,1,100,0.305
1707824242.685734,627724.000,32466,3,GZ,1,100,0.061
1707824242.724898,627762.000,32466,3,GZ,1,100,0.854
1707824242.765608,627801.500,32485,2,GZ,1,100,0.824
1707824242.806318,627841.000,32485,2,GZ,1,100,-0.427
1707824242.846169,627879.667,32501,3,GZ,1,100,0.061
1707824242.886020,627918.333,32501,3,GZ,1,100,-0.092
1707824242.925871,627957.000,32501,3,GZ,1,100,-0.092
1707824242.965722,627995.667,32520,3,GZ,1,100,-0.122
1707824243.005573,628034.333,32520,3,GZ,1,100,-0.214
1707824243.045424,628073.000,32520,3,GZ,1,100,-0.122
1707824243.085361,628111.750,32537,4,GZ,1,100,-0.122
1707824243.125298,628150.500,32537,4,GZ,1,100,-0.183
1707824243.165235,628189.250,32537,4,GZ,1,100,0.000
1707824243.205172,628228.000,32537,4,GZ,1,100,-0.244
1707824243.244336,628266.000,32554,2,GZ,1,100,-0.061
1707824243.283500,628304.000,32554,2,GZ,1,100,-0.244
1707824243.324725,628344.000,32571,3,GZ,1,100,-0.275
1707824243.365950,628384.000,32571,3,GZ,1,100,-0.153
1707824243.407175,628424.000,32571,3,GZ,1,100,-0.397
