EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707824238.48901,ACC,-0.7,-0.526,0.552,1.0350748765186
1707824238.52886,ACC,-0.709,-0.511,0.561,1.03851961945839
1707824238.56871,ACC,-0.703,-0.534,0.549,1.03959896113838
1707824238.60856,ACC,-0.692,-0.533,0.528,1.02065518173377
1707824238.64772,ACC,-0.681,-0.547,0.519,1.01603690877842
1707824238.68689,ACC,-0.688,-0.536,0.538,1.0247360635793
1707824238.72605,ACC,-0.695,-0.534,0.541,1.02998155323287
1707824238.76676,ACC,-0.695,-0.54,0.537,1.03101600375552
1707824238.80747,ACC,-0.704,-0.524,0.561,1.04159157062641
1707824238.84767,ACC,-0.704,-0.529,0.56,1.043578938078
1707824238.88786,ACC,-0.705,-0.527,0.551,1.0384387319433
1707824238.92806,ACC,-0.692,-0.53,0.544,1.02747262737262
1707824238.96344,ACC,-0.688,-0.53,0.546,1.02584599233998
1707824238.99883,ACC,-0.698,-0.529,0.554,1.03632089624788
1707824239.03421,ACC,-0.694,-0.531,0.545,1.0298650397018
1707824239.07441,ACC,-0.692,-0.532,0.553,1.03329424657258
1707824239.1146,ACC,-0.699,-0.531,0.556,1.03908517456463
1707824239.15445,ACC,-0.697,-0.531,0.546,1.0324175511875
1707824239.1943,ACC,-0.697,-0.531,0.55,1.03453854447285
1707824239.23415,ACC,-0.694,-0.53,0.55,1.03200581393711
1707824239.27297,ACC,-0.694,-0.528,0.549,1.03044699038815
1707824239.31179,ACC,-0.694,-0.531,0.554,1.03465598147404
1707824239.35061,ACC,-0.698,-0.53,0.55,1.03469995650913
1707824239.38978,ACC,-0.698,-0.527,0.549,1.03263449487222
1707824239.42894,ACC,-0.698,-0.529,0.556,1.03739144010349
1707824239.46914,ACC,-0.694,-0.532,0.549,1.03250230023957
1707824239.50933,ACC,-0.696,-0.529,0.555,1.03551050211961
1707824239.54953,ACC,-0.701,-0.529,0.552,1.03727816905592
1707824239.58921,ACC,-0.698,-0.529,0.552,1.03525310914771
1707824239.62888,ACC,-0.696,-0.528,0.551,1.03286059078658
1707824239.66874,ACC,-0.695,-0.528,0.549,1.03112074947603
1707824239.70859,ACC,-0.698,-0.531,0.554,1.03734324116948
