LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707824325.450005,708028.500,45660,2,AK,1,100,44837
1707824328.069352,710570.000,45660,2,AK,1,100,RD
1707824328.116761,710616.000,45663,2,AK,1,100,45661
1707824328.164170,710662.000,45663,2,AK,1,100,RD
1707824330.760844,713181.500,46486,2,AK,1,100,45661
1707824333.357517,715701.000,46486,2,AK,1,100,RD
1707824333.372977,715716.000,46489,2,AK,1,100,46487
1707824333.388436,715731.000,46489,2,AK,1,100,RD
1707824336.024789,718289.000,47324,2,AK,1,100,46487
1707824338.661142,720847.000,47324,2,AK,1,100,RD
1707824338.688454,720873.500,47327,2,AK,1,100,47325
1707824338.715766,720900.000,47327,2,AK,1,100,RD
1707824341.330991,723437.500,48162,2,AK,1,100,47325
1707824343.946216,725975.000,48162,2,AK,1,100,RD
1707824343.959098,725987.500,48165,2,AK,1,100,48163
1707824343.971981,726000.000,48165,2,AK,1,100,RD
1707824346.611426,728561.000,48968,2,AK,1,100,48163
1707824349.250871,731122.000,48968,2,AK,1,100,RD
1707824349.271999,731142.500,48971,2,AK,1,100,48969
1707824349.293127,731163.000,48971,2,AK,1,100,RD
1707824351.915566,733707.500,49750,2,AK,1,100,49748
1707824354.538006,736252.000,49750,2,AK,1,100,RD
1707824357.162506,738798.500,50584,2,AK,1,100,49748
1707824359.787007,741345.000,50584,2,AK,1,100,RD
1707824359.799375,741357.000,50587,2,AK,1,100,50585
1707824359.811742,741369.000,50587,2,AK,1,100,RD
1707824362.427998,743907.500,51408,2,AK,1,100,50585
1707824365.044253,746446.000,51408,2,AK,1,100,RD
1707824367.679060,749002.500,52230,2,AK,1,100,51409
1707824370.313867,751559.000,52230,2,AK,1,100,RD
1707824370.319536,751564.500,52232,2,AK,1,100,51409
1707824370.325204,751570.000,52232,2,AK,1,100,RD
1707824370.339118,751583.500,52235,2,AK,1,100,52233
1707824370.353031,751597.000,52235,2,AK,1,100,RD
1707824372.981139,754147.000,53074,2,AK,1,100,52233
1707824375.609247,756697.000,53074,2,AK,1,100,RD
1707824378.292494,759300.500,53881,2,AK,1,100,53075
1707824380.975740,761904.000,53881,2,AK,1,100,RD
1707824380.981409,761909.500,53883,2,AK,1,100,53075
1707824380.987077,761915.000,53883,2,AK,1,100,RD
1707824381.002537,761930.000,53886,2,AK,1,100,53884
1707824381.017996,761945.000,53886,2,AK,1,100,RD
1707824383.625492,764475.000,54630,2,AK,1,100,53884
1707824386.232987,767005.000,54630,2,AK,1,100,RD
1707824386.253084,767024.500,54633,2,AK,1,100,54631
1707824386.273181,767044.000,54633,2,AK,1,100,RD
1707824388.895106,769588.000,55454,2,AK,1,100,54631
1707824391.517030,772132.000,55454,2,AK,1,100,RD
1707824394.146683,774683.500,56276,2,AK,1,100,55455
1707824396.776337,777235.000,56276,2,AK,1,100,RD
1707824396.782006,777240.500,56278,2,AK,1,100,55455
1707824396.787674,777246.000,56278,2,AK,1,100,RD
1707824399.418874,779799.000,57100,2,AK,1,100,56279
1707824402.050074,782352.000,57100,2,AK,1,100,RD
1707824402.055742,782357.500,57102,2,AK,1,100,56279
1707824402.061411,782363.000,57102,2,AK,1,100,RD
1707824404.683335,784907.000,57923,2,AK,1,100,57103
1707824407.305259,787451.000,57923,2,AK,1,100,RD
1707824407.311958,787457.500,57925,2,AK,1,100,57103
1707824407.318657,787464.000,57925,2,AK,1,100,RD
