LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707824241.236324,626317.667,32238,3,PR,1,100,151224
1707824241.276175,626356.333,32238,3,PR,1,100,151219
1707824241.316026,626395.000,32238,3,PR,1,100,151234
1707824241.355705,626433.500,32257,2,PR,1,100,151258
1707824241.395385,626472.000,32257,2,PR,1,100,151310
1707824241.434892,626510.333,32274,3,PR,1,100,151341
1707824241.474400,626548.667,32274,3,PR,1,100,151364
1707824241.513907,626587.000,32274,3,PR,1,100,151398
1707824241.554102,626626.000,32288,3,PR,1,100,151405
1707824241.594296,626665.000,32288,3,PR,1,100,151416
1707824241.634491,626704.000,32288,3,PR,1,100,151414
1707824241.675201,626743.500,32305,2,PR,1,100,151426
1707824241.715911,626783.000,32305,2,PR,1,100,151446
1707824241.756105,626822.000,32322,3,PR,1,100,151287
1707824241.796300,626861.000,32322,3,PR,1,100,151068
1707824241.836494,626900.000,32322,3,PR,1,100,151015
1707824241.876689,626939.000,32339,2,PR,1,100,150980
1707824241.916884,626978.000,32339,2,PR,1,100,150994
1707824241.956048,627016.000,32355,3,PR,1,100,151021
1707824241.995212,627054.000,32355,3,PR,1,100,151059
1707824242.034376,627092.000,32355,3,PR,1,100,151084
1707824242.074227,627130.667,32373,3,PR,1,100,151101
1707824242.114078,627169.333,32373,3,PR,1,100,151124
1707824242.153929,627208.000,32373,3,PR,1,100,151150
1707824242.194123,627247.000,32389,2,PR,1,100,151172
1707824242.234318,627286.000,32389,2,PR,1,100,151173
1707824242.274169,627324.667,32406,3,PR,1,100,151177
1707824242.314020,627363.333,32406,3,PR,1,100,151224
1707824242.353871,627402.000,32406,3,PR,1,100,151245
1707824242.393808,627440.750,32423,4,PR,1,100,151253
1707824242.433745,627479.500,32423,4,PR,1,100,151291
1707824242.473682,627518.250,32423,4,PR,1,100,151325
1707824242.513619,627557.000,32423,4,PR,1,100,151337
1707824242.552783,627595.000,32440,3,PR,1,100,151298
1707824242.591947,627633.000,32440,3,PR,1,100,151096
1707824242.631111,627671.000,32440,3,PR,1,100,150959
1707824242.670790,627709.500,32456,2,PR,1,100,150922
1707824242.710469,627748.000,32456,2,PR,1,100,150912
1707824242.751351,627787.667,32475,3,PR,1,100,150917
1707824242.792233,627827.333,32475,3,PR,1,100,150962
1707824242.833114,627867.000,32475,3,PR,1,100,151000
1707824242.872793,627905.500,32490,2,PR,1,100,151015
1707824242.912473,627944.000,32490,2,PR,1,100,151033
1707824242.952324,627982.667,32509,3,PR,1,100,151061
1707824242.992175,628021.333,32509,3,PR,1,100,151078
1707824243.032026,628060.000,32509,3,PR,1,100,151113
1707824243.071963,628098.750,32526,4,PR,1,100,151149
1707824243.111900,628137.500,32526,4,PR,1,100,151176
1707824243.151837,628176.250,32526,4,PR,1,100,151207
1707824243.191774,628215.000,32526,4,PR,1,100,151226
1707824243.231453,628253.500,32543,2,PR,1,100,151251
1707824243.271132,628292.000,32543,2,PR,1,100,151290
1707824243.311670,628331.333,32560,3,PR,1,100,151319
1707824243.352208,628370.667,32560,3,PR,1,100,151337
1707824243.392747,628410.000,32560,3,PR,1,100,151313
1707824243.432941,628449.000,32577,2,PR,1,100,151079
1707824243.473136,628488.000,32577,2,PR,1,100,150919
1707824243.512987,628526.667,32591,3,PR,1,100,150866
1707824243.552838,628565.333,32591,3,PR,1,100,150856
1707824243.592689,628604.000,32591,3,PR,1,100,150853
1707824243.632540,628642.667,32613,3,PR,1,100,150866
1707824243.672391,628681.333,32613,3,PR,1,100,150895
1707824243.712242,628720.000,32613,3,PR,1,100,150909
1707824243.751921,628758.500,32632,4,PR,1,100,150904
1707824243.791601,628797.000,32632,4,PR,1,100,150924
1707824243.831280,628835.500,32632,4,PR,1,100,150955
1707824243.870959,628874.000,32632,4,PR,1,100,150989
1707824243.910123,628912.000,32649,2,PR,1,100,151037
1707824243.949287,628950.000,32649,2,PR,1,100,151070
1707824243.990512,628990.000,32666,3,PR,1,100,151090
1707824244.031738,629030.000,32666,3,PR,1,100,151124
1707824244.072963,629070.000,32666,3,PR,1,100,151136
1707824244.112642,629108.500,32683,2,PR,1,100,151162
1707824244.152321,629147.000,32683,2,PR,1,100,151174
1707824244.196638,629190.000,32697,3,PR,1,100,151224
1707824244.240956,629233.000,32697,3,PR,1,100,151240
1707824244.285273,629276.000,32697,3,PR,1,100,151137
1707824244.324952,629314.500,32714,2,PR,1,100,150900
1707824244.364631,629353.000,32714,2,PR,1,100,150794
1707824244.404568,629391.750,32731,4,PR,1,100,150784
1707824244.444505,629430.500,32731,4,PR,1,100,150766
1707824244.484442,629469.250,32731,4,PR,1,100,150782
1707824244.524379,629508.000,32731,4,PR,1,100,150826
1707824244.564574,629547.000,32748,2,PR,1,100,150854
1707824244.604768,629586.000,32748,2,PR,1,100,150853
1707824244.644276,629624.333,32766,3,PR,1,100,150869
1707824244.683783,629662.667,32766,3,PR,1,100,150897
1707824244.723291,629701.000,32766,3,PR,1,100,150937
1707824244.762455,629739.000,32783,2,PR,1,100,150990
1707824244.801619,629777.000,32783,2,PR,1,100,151015
1707824244.841470,629815.667,32798,3,PR,1,100,151046
