LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707824243.655300,628664.750,32611,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824243.719456,628727.000,32611,4,EM,1,100,PS
1707824243.772019,628778.000,32647,4,EM,1,100,RS
1707824243.824581,628829.000,32647,4,EM,1,100,RB
1707824243.877143,628880.000,32647,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824243.929705,628931.000,32647,4,EM,1,100,PS
1707824243.982783,628982.500,32681,4,EM,1,100,RS
1707824244.035860,629034.000,32681,4,EM,1,100,RB
1707824244.088938,629085.500,32681,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824244.142015,629137.000,32681,4,EM,1,100,PS
1707824244.193804,629187.250,32712,4,EM,1,100,RS
1707824244.245593,629237.500,32712,4,EM,1,100,RB
1707824244.297383,629287.750,32712,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824244.349172,629338.000,32712,4,EM,1,100,PS
1707824244.408948,629396.000,32746,4,EM,1,100,RS
1707824244.468725,629454.000,32746,4,EM,1,100,RB
1707824244.528501,629512.000,32746,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824244.588278,629570.000,32746,4,EM,1,100,PS
1707824244.640067,629620.250,32780,4,EM,1,100,RS
1707824244.691856,629670.500,32780,4,EM,1,100,RB
1707824244.743646,629720.750,32780,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824244.795435,629771.000,32780,4,EM,1,100,PS
1707824244.847224,629821.250,32813,4,EM,1,100,RS
1707824244.899013,629871.500,32813,4,EM,1,100,RB
1707824244.950802,629921.750,32813,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824245.002591,629972.000,32813,4,EM,1,100,PS
1707824245.061595,630029.250,32847,4,EM,1,100,RS
1707824245.120599,630086.500,32847,4,EM,1,100,RB
1707824245.179602,630143.750,32847,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824245.238606,630201.000,32847,4,EM,1,100,PS
1707824245.290137,630251.000,32878,4,EM,1,100,RS
1707824245.341669,630301.000,32878,4,EM,1,100,RB
1707824245.393200,630351.000,32878,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824245.444732,630401.000,32878,4,EM,1,100,PS
1707824245.496521,630451.250,32914,4,EM,1,100,RS
1707824245.548310,630501.500,32914,4,EM,1,100,RB
1707824245.600100,630551.750,32914,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824245.651889,630602.000,32914,4,EM,1,100,PS
1707824245.709862,630658.250,32948,4,EM,1,100,RS
1707824245.767835,630714.500,32948,4,EM,1,100,RB
1707824245.825808,630770.750,32948,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824245.883781,630827.000,32948,4,EM,1,100,PS
1707824245.936600,630878.250,32979,4,EM,1,100,RS
1707824245.989420,630929.500,32979,4,EM,1,100,RB
1707824246.042240,630980.750,32979,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824246.095060,631032.000,32979,4,EM,1,100,PS
1707824246.146849,631082.250,33013,4,EM,1,100,RS
1707824246.198638,631132.500,33013,4,EM,1,100,RB
1707824246.250427,631182.750,33013,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824246.302217,631233.000,33013,4,EM,1,100,PS
1707824246.365343,631294.250,33049,4,EM,1,100,RS
1707824246.428469,631355.500,33049,4,EM,1,100,RB
1707824246.491595,631416.750,33049,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824246.554721,631478.000,33049,4,EM,1,100,PS
1707824246.606510,631528.250,33080,4,EM,1,100,RS
1707824246.658299,631578.500,33080,4,EM,1,100,RB
1707824246.710089,631628.750,33080,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824246.761878,631679.000,33080,4,EM,1,100,PS
1707824246.813667,631729.250,33114,4,EM,1,100,RS
1707824246.865456,631779.500,33114,4,EM,1,100,RB
1707824246.917245,631829.750,33114,4,EM,1,100,2024-02-13_11-37-17-064291.csv
