LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707824242.670275,627709.000,32458,1,EA,1,100,4.137121
1707824242.738296,627775.000,32477,2,EA,1,100,4.157036
1707824242.806318,627841.000,32477,2,EA,1,100,4.132180
1707824242.872793,627905.500,32492,2,EA,1,100,4.149550
1707824242.939269,627970.000,32492,2,EA,1,100,4.149550
1707824243.006260,628035.000,32511,1,EA,1,100,4.119855
1707824243.072220,628099.000,32528,2,EA,1,100,4.134657
1707824243.138181,628163.000,32528,2,EA,1,100,4.129706
1707824243.204656,628227.500,32545,2,EA,1,100,4.107620
1707824243.271132,628292.000,32545,2,EA,1,100,4.127252
1707824243.339154,628358.000,32562,2,EA,1,100,4.137121
1707824243.407175,628424.000,32562,2,EA,1,100,4.119855
1707824243.473136,628488.000,32579,1,EA,1,100,4.127252
1707824243.539611,628552.500,32593,2,EA,1,100,4.144562
1707824243.606087,628617.000,32593,2,EA,1,100,4.119855
1707824243.673078,628682.000,32615,1,EA,1,100,4.112502
1707824243.739038,628746.000,32634,3,EA,1,100,4.157036
1707824243.804999,628810.000,32634,3,EA,1,100,4.139621
1707824243.870959,628874.000,32634,3,EA,1,100,4.127252
1707824243.936919,628938.000,32651,1,EA,1,100,4.144562
1707824244.004941,629004.000,32668,2,EA,1,100,4.127252
1707824244.072963,629070.000,32668,2,EA,1,100,4.102749
1707824244.138923,629134.000,32685,1,EA,1,100,4.119855
1707824244.205399,629198.500,32699,2,EA,1,100,4.124783
1707824244.271874,629263.000,32699,2,EA,1,100,4.119855
1707824244.337835,629327.000,32716,1,EA,1,100,4.142090
1707824244.404826,629392.000,32733,2,EA,1,100,4.122334
1707824244.471817,629457.000,32733,2,EA,1,100,4.097890
1707824244.538292,629521.500,32750,2,EA,1,100,4.134657
1707824244.604768,629586.000,32750,2,EA,1,100,4.129706
1707824244.669698,629649.000,32768,1,EA,1,100,4.114972
1707824244.735658,629713.000,32785,2,EA,1,100,4.129706
1707824244.801619,629777.000,32785,2,EA,1,100,4.117412
1707824244.867579,629841.000,32800,2,EA,1,100,4.107620
1707824244.933539,629905.000,32800,2,EA,1,100,4.129706
1707824245.001561,629971.000,32817,1,EA,1,100,4.124783
1707824245.067521,630035.000,32834,2,EA,1,100,4.100310
1707824245.133482,630099.000,32834,2,EA,1,100,4.122334
1707824245.199957,630163.500,32851,2,EA,1,100,4.122334
1707824245.266433,630228.000,32851,2,EA,1,100,4.107620
1707824245.331363,630291.000,32867,1,EA,1,100,4.117412
1707824245.397323,630355.000,32883,2,EA,1,100,4.119855
1707824245.463283,630419.000,32883,2,EA,1,100,4.100310
1707824245.529759,630483.500,32901,2,EA,1,100,4.122334
1707824245.596235,630548.000,32901,2,EA,1,100,4.142090
1707824245.665287,630615.000,32918,1,EA,1,100,4.102749
1707824245.732278,630680.000,32935,2,EA,1,100,4.107620
1707824245.799269,630745.000,32935,2,EA,1,100,4.114972
1707824245.865745,630809.500,32952,2,EA,1,100,4.085768
1707824245.932220,630874.000,32952,2,EA,1,100,4.093026
1707824245.995089,630935.000,32968,1,EA,1,100,4.127252
1707824246.061564,630999.500,32984,2,EA,1,100,4.105175
1707824246.128040,631064.000,32984,2,EA,1,100,4.097890
1707824246.194000,631128.000,33000,1,EA,1,100,4.110068
1707824246.262022,631194.000,33017,2,EA,1,100,4.076126
1707824246.330044,631260.000,33017,2,EA,1,100,4.102749
1707824246.397035,631325.000,33036,2,EA,1,100,4.112502
1707824246.464026,631390.000,33036,2,EA,1,100,4.093026
1707824246.529986,631454.000,33053,2,EA,1,100,4.100310
1707824246.595946,631518.000,33053,2,EA,1,100,4.122334
1707824246.661907,631582.000,33068,1,EA,1,100,4.093026
1707824246.727867,631646.000,33085,2,EA,1,100,4.097890
1707824246.793827,631710.000,33085,2,EA,1,100,4.112502
1707824246.862880,631777.000,33101,1,EA,1,100,4.102749
1707824246.930386,631842.500,33118,2,EA,1,100,4.083349
1707824246.997892,631908.000,33118,2,EA,1,100,4.102749
1707824247.063853,631972.000,33136,3,EA,1,100,4.102749
1707824247.129813,632036.000,33136,3,EA,1,100,4.093026
1707824247.195773,632100.000,33136,3,EA,1,100,4.114972
