"","category","item","stim","condition","edv","gid","dyad","pid1","pid2","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","catH","win","TREND","t","use"
"58","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",11.8343195266272,NA,0,0,0,NA,NA,0,0,NA,58,NA,38.6666666666667,1
"59","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",13.7573964497041,43.010752688172,8,5,5,0,NA,70.9677419354839,3.3,NA,59,NA,39.3333333333333,1
"60","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.6508875739645,13.8888888888889,2,5,5,0,NA,55.5555555555556,2.22222222222222,NA,60,NA,40,1
"61","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.207100591716,14.4927536231884,2,5,5,0,NA,49.2753623188406,2.42857142857143,NA,61,NA,40.6666666666667,1
"62","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",13.3136094674556,18.8888888888889,4,4.25,4.25,0.562335144618808,0.811278124459133,54.4444444444444,2.88235294117647,NA,62,NA,41.3333333333333,1
"63","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",14.0532544378698,25.2631578947368,5,4.8,4.8,1.05492016798614,0.960229717860761,61.0526315789474,3.05263157894737,NA,63,NA,42,1
"64","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.2781065088757,4.81927710843374,1,4,4,0,NA,48.1927710843374,2.35294117647059,NA,64,NA,42.6666666666667,1
"65","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",6.80473372781065,10.8695652173913,1,5,5,0,NA,36.9565217391304,2.42857142857143,NA,65,NA,43.3333333333333,1
"66","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.9467455621302,5.40540540540541,1,4,4,0,NA,36.4864864864865,2.07692307692308,NA,66,NA,44,1
"67","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",11.3905325443787,25.974025974026,4,5,5,1.03972077083992,0.946394630357186,62.3376623376623,3.69230769230769,NA,67,NA,44.6666666666667,1
"68","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",18.0473372781065,53.2786885245902,9,7.22222222222222,7.22222222222222,1.46481638489081,0.91014159264798,73.7704918032787,4.28571428571429,NA,68,NA,45.3333333333333,1
"69","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.4260355029586,34.5238095238095,3,9.66666666666667,9.66666666666667,1.09861228866811,1,58.3333333333333,3.0625,NA,69,NA,46,1
"70","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.207100591716,13.0434782608696,2,4.5,4.5,0.693147180559945,1,62.3188405797101,2.52941176470588,NA,70,NA,46.6666666666667,1
"71","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",16.5680473372781,48.2142857142857,9,6,6,1.21488965394912,0.876357639489852,88.3928571428571,3.41379310344828,NA,71,NA,47.3333333333333,1
"72","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.1301775147929,8.53658536585366,1,7,7,0,NA,50,2.73333333333333,NA,72,NA,48,1
"73","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",9.17159763313609,NA,0,0,0,NA,NA,0,0,NA,73,NA,48.6666666666667,1
"74","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.54437869822485,NA,0,0,0,NA,NA,0,0,NA,74,NA,49.3333333333333,1
"75","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",13.905325443787,52.1276595744681,11,4.45454545454545,4.45454545454545,0.689009238476659,0.994030211476957,89.3617021276596,4.2,NA,75,NA,50,1
