LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707151674.773100,565547.500,23747,2,EL,1,100,-19153.000000
1707151674.839662,565612.000,23747,2,EL,1,100,-19153.000000
1707151674.906739,565677.000,23765,1,EL,1,100,-19153.000000
1707151674.973301,565741.500,23781,2,EL,1,100,-19153.000000
1707151675.039862,565806.000,23781,2,EL,1,100,-19153.000000
1707151675.104875,565869.000,23798,1,EL,1,100,-19153.000000
1707151675.171437,565933.500,23813,2,EL,1,100,-19152.800781
1707151675.237998,565998.000,23813,2,EL,1,100,-19152.800781
1707151675.307139,566065.000,23832,1,EL,1,100,-19152.800781
1707151675.373701,566129.500,23853,2,EL,1,100,-19152.599609
1707151675.440262,566194.000,23853,2,EL,1,100,-19152.599609
1707151675.506824,566258.500,23871,2,EL,1,100,-19152.800781
1707151675.573385,566323.000,23871,2,EL,1,100,-19153.000000
1707151675.639430,566387.000,23889,1,EL,1,100,-19153.000000
1707151675.705476,566451.000,23904,2,EL,1,100,-19153.000000
1707151675.771521,566515.000,23904,2,EL,1,100,-19153.000000
1707151675.838599,566580.000,23921,2,EL,1,100,-19153.800781
1707151675.905676,566645.000,23921,2,EL,1,100,-19154.000000
1707151675.973785,566711.000,23938,1,EL,1,100,-19154.000000
1707151676.040347,566775.500,23954,2,EL,1,100,-19154.000000
1707151676.106908,566840.000,23954,2,EL,1,100,-19154.000000
1707151676.173469,566904.500,23972,2,EL,1,100,-19154.000000
1707151676.240031,566969.000,23972,2,EL,1,100,-19154.000000
1707151676.305044,567032.000,23988,1,EL,1,100,-19154.000000
1707151676.370574,567095.500,24003,2,EL,1,100,-19153.800781
1707151676.436103,567159.000,24003,2,EL,1,100,-19153.800781
1707151676.504212,567225.000,24021,1,EL,1,100,-19154.000000
1707151676.571806,567290.500,24039,2,EL,1,100,-19154.000000
1707151676.639399,567356.000,24039,2,EL,1,100,-19154.400391
1707151676.705445,567420.000,24055,1,EL,1,100,-19155.000000
1707151676.772006,567484.500,24071,2,EL,1,100,-19155.000000
1707151676.838567,567549.000,24071,2,EL,1,100,-19155.000000
1707151676.904613,567613.000,24088,2,EL,1,100,-19155.000000
1707151676.970658,567677.000,24088,2,EL,1,100,-19155.199219
1707151677.036188,567740.500,24104,2,EL,1,100,-19155.400391
1707151677.101717,567804.000,24104,2,EL,1,100,-19155.000000
1707151677.168794,567869.000,24120,1,EL,1,100,-19155.000000
1707151677.235356,567933.500,24138,2,EL,1,100,-19155.000000
1707151677.301917,567998.000,24138,2,EL,1,100,-19155.000000
1707151677.366931,568061.000,24156,1,EL,1,100,-19155.199219
1707151677.433492,568125.500,24171,2,EL,1,100,-19155.199219
1707151677.500053,568190.000,24171,2,EL,1,100,-19155.199219
1707151677.566615,568254.500,24188,2,EL,1,100,-19155.199219
1707151677.633176,568319.000,24188,2,EL,1,100,-19155.000000
1707151677.699221,568383.000,24205,1,EL,1,100,-19155.199219
1707151677.765783,568447.500,24221,2,EL,1,100,-19155.400391
1707151677.832344,568512.000,24221,2,EL,1,100,-19155.000000
1707151677.898390,568576.000,24239,2,EL,1,100,-19155.000000
1707151677.964435,568640.000,24239,2,EL,1,100,-19155.199219
1707151678.031512,568705.000,24255,1,EL,1,100,-19155.599609
1707151678.098590,568770.000,24270,2,EL,1,100,-19155.199219
1707151678.165667,568835.000,24270,2,EL,1,100,-19155.000000
1707151678.234808,568902.000,24289,1,EL,1,100,-19155.000000
1707151678.301370,568966.500,24306,2,EL,1,100,-19155.000000
1707151678.367931,569031.000,24306,2,EL,1,100,-19154.800781
1707151678.433977,569095.000,24322,1,EL,1,100,-19155.000000
1707151678.499506,569158.500,24339,2,EL,1,100,-19155.000000
1707151678.565035,569222.000,24339,2,EL,1,100,-19155.000000
1707151678.631597,569286.500,24354,2,EL,1,100,-19155.000000
1707151678.698158,569351.000,24354,2,EL,1,100,-19155.000000
1707151678.766784,569417.500,24371,2,EL,1,100,-19155.000000
1707151678.835409,569484.000,24371,2,EL,1,100,-19155.000000
1707151678.902486,569549.000,24388,1,EL,1,100,-19155.000000
1707151678.969048,569613.500,24405,2,EL,1,100,-19155.000000
1707151679.035609,569678.000,24405,2,EL,1,100,-19155.000000
1707151679.100622,569741.000,24423,1,EL,1,100,-19155.000000
1707151679.167184,569805.500,24440,2,EL,1,100,-19155.000000
1707151679.233745,569870.000,24440,2,EL,1,100,-19154.400391
1707151679.300823,569935.000,24455,2,EL,1,100,-19154.199219
1707151679.367900,570000.000,24455,2,EL,1,100,-19154.199219
1707151679.434977,570065.000,24472,1,EL,1,100,-19154.400391
1707151679.501539,570129.500,24489,2,EL,1,100,-19155.000000
1707151679.568100,570194.000,24489,2,EL,1,100,-19154.199219
1707151679.633114,570257.000,24506,1,EL,1,100,-19154.000000
1707151679.698643,570320.500,24520,2,EL,1,100,-19154.000000
1707151679.764172,570384.000,24520,2,EL,1,100,-19153.800781
1707151679.832282,570450.000,24538,2,EL,1,100,-19153.599609
1707151679.900391,570516.000,24538,2,EL,1,100,-19153.000000
1707151679.966952,570580.500,24556,2,EL,1,100,-19152.000000
1707151680.033514,570645.000,24556,2,EL,1,100,-19152.000000
1707151680.100591,570710.000,24573,1,EL,1,100,-19152.000000
1707151680.166637,570774.000,24590,2,EL,1,100,-19152.000000
1707151680.232682,570838.000,24590,2,EL,1,100,-19152.000000
1707151680.299759,570903.000,24609,1,EL,1,100,-19151.400391
1707151680.365805,570967.000,24623,2,EL,1,100,-19151.199219
1707151680.431850,571031.000,24623,2,EL,1,100,-19151.000000
1707151680.500991,571098.000,24640,1,EL,1,100,-19150.800781
1707151680.567553,571162.500,24657,2,EL,1,100,-19151.000000
1707151680.634114,571227.000,24657,2,EL,1,100,-19150.800781
1707151680.700676,571291.500,24679,2,EL,1,100,-19150.400391
1707151680.767237,571356.000,24679,2,EL,1,100,-19150.000000
1707151680.833282,571420.000,24698,3,EL,1,100,-19150.000000
1707151680.899328,571484.000,24698,3,EL,1,100,-19150.000000
1707151680.965373,571548.000,24698,3,EL,1,100,-19150.000000
1707151681.032795,571613.333,24715,3,EL,1,100,-19150.000000
1707151681.100216,571678.667,24715,3,EL,1,100,-19149.800781
1707151681.167637,571744.000,24715,3,EL,1,100,-19149.199219
1707151681.233941,571808.250,24733,4,EL,1,100,-19149.599609
1707151681.300244,571872.500,24733,4,EL,1,100,-19150.000000
1707151681.366547,571936.750,24733,4,EL,1,100,-19149.199219
1707151681.432851,572001.000,24733,4,EL,1,100,-19149.599609
1707151681.499928,572066.000,24750,2,EL,1,100,-19149.599609
1707151681.567006,572131.000,24750,2,EL,1,100,-19149.000000
1707151681.632535,572194.500,24767,2,EL,1,100,-19149.000000
1707151681.698064,572258.000,24767,2,EL,1,100,-19149.000000
1707151681.764110,572322.000,24785,1,EL,1,100,-19149.000000
1707151681.830155,572386.000,24801,2,EL,1,100,-19149.000000
1707151681.896201,572450.000,24801,2,EL,1,100,-19148.599609
1707151681.964310,572516.000,24817,1,EL,1,100,-19148.800781
1707151682.030355,572580.000,24834,2,EL,1,100,-19149.000000
1707151682.096401,572644.000,24834,2,EL,1,100,-19148.400391
1707151682.162446,572708.000,24851,2,EL,1,100,-19148.599609
1707151682.228492,572772.000,24851,2,EL,1,100,-19148.400391
1707151682.294537,572836.000,24868,1,EL,1,100,-19148.599609
1707151682.360582,572900.000,24882,2,EL,1,100,-19148.199219
1707151682.426628,572964.000,24882,2,EL,1,100,-19148.000000
1707151682.491641,573027.000,24899,1,EL,1,100,-19148.000000
1707151682.558203,573091.500,24916,2,EL,1,100,-19147.800781
1707151682.624764,573156.000,24916,2,EL,1,100,-19147.800781
1707151682.692873,573222.000,24935,2,EL,1,100,-19147.800781
1707151682.760983,573288.000,24935,2,EL,1,100,-19147.599609
1707151682.828060,573353.000,24951,1,EL,1,100,-19147.199219
1707151682.894621,573417.500,24967,2,EL,1,100,-19147.000000
1707151682.961183,573482.000,24967,2,EL,1,100,-19147.199219
1707151683.028260,573547.000,24983,1,EL,1,100,-19147.000000
1707151683.093274,573610.000,25000,2,EL,1,100,-19147.000000
1707151683.158287,573673.000,25000,2,EL,1,100,-19147.000000
1707151683.224332,573737.000,25017,1,EL,1,100,-19147.000000
1707151683.291926,573802.500,25033,2,EL,1,100,-19147.000000
1707151683.359519,573868.000,25033,2,EL,1,100,-19147.000000
1707151683.427113,573933.500,25048,2,EL,1,100,-19147.000000
1707151683.494706,573999.000,25048,2,EL,1,100,-19147.199219
1707151683.561783,574064.000,25068,1,EL,1,100,-19147.400391
1707151683.627313,574127.500,25084,2,EL,1,100,-19147.800781
1707151683.692842,574191.000,25084,2,EL,1,100,-19147.800781
1707151683.758887,574255.000,25101,1,EL,1,100,-19148.000000
1707151683.824933,574319.000,25117,2,EL,1,100,-19148.400391
