LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707151606.970783,499845.000,13147,2,MX,1,100,36
1707151607.009998,499883.000,13147,2,MX,1,100,35
1707151607.049900,499921.667,13165,3,MX,1,100,35
1707151607.089803,499960.333,13165,3,MX,1,100,36
1707151607.129705,499999.000,13165,3,MX,1,100,35
1707151607.166340,500034.500,13181,4,MX,1,100,34
1707151607.202974,500070.000,13181,4,MX,1,100,35
1707151607.239609,500105.500,13181,4,MX,1,100,35
1707151607.276243,500141.000,13181,4,MX,1,100,36
1707151607.316490,500180.000,13198,2,MX,1,100,34
1707151607.356736,500219.000,13198,2,MX,1,100,35
1707151607.396639,500257.667,13215,3,MX,1,100,35
1707151607.436541,500296.333,13215,3,MX,1,100,36
1707151607.476443,500335.000,13215,3,MX,1,100,35
1707151607.516690,500374.000,13233,2,MX,1,100,35
1707151607.556936,500413.000,13233,2,MX,1,100,35
1707151607.596151,500451.000,13248,3,MX,1,100,35
1707151607.635365,500489.000,13248,3,MX,1,100,36
1707151607.674580,500527.000,13248,3,MX,1,100,36
1707151607.714482,500565.667,13266,3,MX,1,100,36
1707151607.754385,500604.333,13266,3,MX,1,100,36
1707151607.794287,500643.000,13266,3,MX,1,100,35
1707151607.834533,500682.000,13282,2,MX,1,100,36
1707151607.874780,500721.000,13282,2,MX,1,100,35
1707151607.915370,500760.333,13299,3,MX,1,100,36
1707151607.955961,500799.667,13299,3,MX,1,100,35
1707151607.996551,500839.000,13299,3,MX,1,100,35
1707151608.036797,500878.000,13314,2,MX,1,100,37
1707151608.077044,500917.000,13314,2,MX,1,100,35
1707151608.116774,500955.500,13331,4,MX,1,100,36
1707151608.156505,500994.000,13331,4,MX,1,100,36
1707151608.196235,501032.500,13331,4,MX,1,100,35
1707151608.235966,501071.000,13331,4,MX,1,100,35
1707151608.275180,501109.000,13347,2,MX,1,100,34
1707151608.314395,501147.000,13347,2,MX,1,100,35
