LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707151610.316396,503087.000,13658,2,EA,1,100,3.434031
1707151610.383473,503152.000,13658,2,EA,1,100,3.442590
1707151610.449519,503216.000,13676,1,EA,1,100,3.446018
1707151610.516080,503280.500,13691,2,EA,1,100,3.451180
1707151610.582641,503345.000,13691,2,EA,1,100,3.451180
1707151610.648171,503408.500,13708,2,EA,1,100,3.452919
1707151610.713700,503472.000,13708,2,EA,1,100,3.456380
1707151610.781810,503538.000,13725,1,EA,1,100,3.452919
1707151610.847855,503602.000,13741,2,EA,1,100,3.456380
1707151610.913900,503666.000,13741,2,EA,1,100,3.456380
1707151610.979946,503730.000,13760,1,EA,1,100,3.451180
1707151611.045991,503794.000,13775,2,EA,1,100,3.454637
1707151611.112037,503858.000,13775,2,EA,1,100,3.452919
1707151611.179114,503923.000,13792,2,EA,1,100,3.451180
1707151611.246191,503988.000,13792,2,EA,1,100,3.449465
1707151611.312753,504052.500,13809,2,EA,1,100,3.449465
1707151611.379314,504117.000,13809,2,EA,1,100,3.449465
1707151611.445360,504181.000,13826,1,EA,1,100,3.449465
1707151611.511405,504245.000,13842,2,EA,1,100,3.449465
1707151611.577450,504309.000,13842,2,EA,1,100,3.447753
1707151611.643496,504373.000,13859,1,EA,1,100,3.446018
1707151611.710057,504437.500,13876,2,EA,1,100,3.442590
1707151611.776619,504502.000,13876,2,EA,1,100,3.440884
1707151611.843696,504567.000,13893,1,EA,1,100,3.440884
1707151611.910257,504631.500,13909,2,EA,1,100,3.440884
1707151611.976819,504696.000,13909,2,EA,1,100,3.440884
1707151612.042864,504760.000,13933,2,EA,1,100,3.440884
1707151612.108910,504824.000,13933,2,EA,1,100,3.440884
1707151612.174611,504887.667,13949,3,EA,1,100,3.440884
1707151612.240312,504951.333,13949,3,EA,1,100,3.440884
1707151612.306014,505015.000,13949,3,EA,1,100,3.446018
1707151612.373349,505080.250,13967,4,EA,1,100,3.447753
1707151612.440685,505145.500,13967,4,EA,1,100,3.449465
1707151612.508020,505210.750,13967,4,EA,1,100,3.444309
1707151612.575355,505276.000,13967,4,EA,1,100,3.440884
1707151612.641745,505340.333,13987,3,EA,1,100,3.440884
1707151612.708134,505404.667,13987,3,EA,1,100,3.439180
1707151612.774523,505469.000,13987,3,EA,1,100,3.439180
1707151612.840225,505532.667,14003,3,EA,1,100,3.439180
1707151612.905926,505596.333,14003,3,EA,1,100,3.444309
1707151612.971628,505660.000,14003,3,EA,1,100,3.440884
1707151613.039221,505725.500,14021,2,EA,1,100,3.444309
1707151613.106814,505791.000,14021,2,EA,1,100,3.444309
1707151613.175956,505858.000,14037,1,EA,1,100,3.440884
1707151613.242001,505922.000,14054,2,EA,1,100,3.440884
1707151613.308046,505986.000,14054,2,EA,1,100,3.439180
1707151613.374092,506050.000,14071,2,EA,1,100,3.435753
1707151613.440137,506114.000,14071,2,EA,1,100,3.432333
1707151613.506183,506178.000,14090,1,EA,1,100,3.432333
1707151613.572744,506242.500,14104,2,EA,1,100,3.432333
1707151613.639305,506307.000,14104,2,EA,1,100,3.432333
1707151613.706899,506372.500,14122,2,EA,1,100,3.432333
1707151613.774492,506438.000,14122,2,EA,1,100,3.432333
1707151613.841569,506503.000,14138,1,EA,1,100,3.432333
1707151613.908131,506567.500,14155,2,EA,1,100,3.432333
1707151613.974692,506632.000,14155,2,EA,1,100,3.432333
1707151614.039706,506695.000,14172,1,EA,1,100,3.432333
1707151614.105235,506758.500,14188,2,EA,1,100,3.432333
1707151614.170765,506822.000,14188,2,EA,1,100,3.427228
1707151614.237842,506887.000,14203,2,EA,1,100,3.425526
1707151614.304919,506952.000,14203,2,EA,1,100,3.423837
1707151614.374061,507019.000,14223,1,EA,1,100,3.423837
1707151614.441138,507084.000,14239,2,EA,1,100,3.423837
1707151614.508215,507149.000,14239,2,EA,1,100,3.422138
1707151614.574261,507213.000,14256,1,EA,1,100,3.422138
1707151614.639790,507276.500,14271,2,EA,1,100,3.423837
1707151614.705320,507340.000,14271,2,EA,1,100,3.422138
1707151614.773429,507406.000,14288,1,EA,1,100,3.422138
1707151614.841022,507471.500,14304,2,EA,1,100,3.418757
1707151614.908616,507537.000,14304,2,EA,1,100,3.422138
1707151614.975177,507601.500,14322,2,EA,1,100,3.420440
1707151615.041738,507666.000,14322,2,EA,1,100,3.420440
1707151615.107784,507730.000,14338,1,EA,1,100,3.422138
1707151615.173829,507794.000,14353,2,EA,1,100,3.417051
1707151615.239875,507858.000,14353,2,EA,1,100,3.422138
1707151615.307984,507924.000,14371,1,EA,1,100,3.417051
1707151615.374029,507988.000,14391,2,EA,1,100,3.417051
1707151615.440075,508052.000,14391,2,EA,1,100,3.415370
1707151615.505088,508115.000,14407,1,EA,1,100,3.415370
1707151615.571134,508179.000,14423,2,EA,1,100,3.417051
1707151615.637179,508243.000,14423,2,EA,1,100,3.415370
1707151615.703740,508307.500,14439,2,EA,1,100,3.415370
1707151615.770302,508372.000,14439,2,EA,1,100,3.415370
1707151615.836347,508436.000,14456,1,EA,1,100,3.415370
1707151615.902909,508500.500,14472,2,EA,1,100,3.415370
1707151615.969470,508565.000,14472,2,EA,1,100,3.411991
1707151616.036031,508629.500,14490,2,EA,1,100,3.413692
1707151616.102593,508694.000,14490,2,EA,1,100,3.415370
1707151616.167606,508757.000,14507,1,EA,1,100,3.415370
1707151616.234168,508821.500,14523,2,EA,1,100,3.415370
1707151616.300729,508886.000,14523,2,EA,1,100,3.415370
1707151616.367806,508951.000,14540,1,EA,1,100,3.415370
1707151616.434368,509015.500,14557,2,EA,1,100,3.415370
1707151616.500929,509080.000,14557,2,EA,1,100,3.413692
1707151616.566458,509143.500,14573,2,EA,1,100,3.411991
1707151616.631988,509207.000,14573,2,EA,1,100,3.408630
