LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707151605.654003,498569.000,12941,3,GY,1,100,-0.244
1707151605.693734,498607.500,12960,2,GY,1,100,-0.580
1707151605.733464,498646.000,12960,2,GY,1,100,-0.275
1707151605.773710,498685.000,12977,3,GY,1,100,-0.275
1707151605.813957,498724.000,12977,3,GY,1,100,-0.427
1707151605.854203,498763.000,12977,3,GY,1,100,-0.488
1707151605.893934,498801.500,12991,2,GY,1,100,-0.458
1707151605.933664,498840.000,12991,2,GY,1,100,-0.366
1707151605.973567,498878.667,13009,3,GY,1,100,-0.366
1707151606.013469,498917.333,13009,3,GY,1,100,-0.214
1707151606.053371,498956.000,13009,3,GY,1,100,-0.305
1707151606.093102,498994.500,13025,4,GY,1,100,-0.580
1707151606.132832,499033.000,13025,4,GY,1,100,-0.458
1707151606.172563,499071.500,13025,4,GY,1,100,-0.366
1707151606.212293,499110.000,13025,4,GY,1,100,-0.488
1707151606.253056,499149.500,13042,2,GY,1,100,-0.305
1707151606.293818,499189.000,13042,2,GY,1,100,-0.336
1707151606.333720,499227.667,13059,3,GY,1,100,-0.580
1707151606.373623,499266.333,13059,3,GY,1,100,-0.427
1707151606.413525,499305.000,13059,3,GY,1,100,-0.427
1707151606.453084,499343.333,13076,3,GY,1,100,-0.641
1707151606.492642,499381.667,13076,3,GY,1,100,-0.458
1707151606.532201,499420.000,13076,3,GY,1,100,-0.061
1707151606.572447,499459.000,13092,2,GY,1,100,-0.580
1707151606.612693,499498.000,13092,2,GY,1,100,-0.702
1707151606.652596,499536.667,13110,3,GY,1,100,-0.427
1707151606.692498,499575.333,13110,3,GY,1,100,-0.671
1707151606.732401,499614.000,13110,3,GY,1,100,-0.580
1707151606.772234,499652.600,13131,5,GY,1,100,-0.275
1707151606.812068,499691.200,13131,5,GY,1,100,-0.549
1707151606.851902,499729.800,13131,5,GY,1,100,-0.427
1707151606.891735,499768.400,13131,5,GY,1,100,-0.214
1707151606.931569,499807.000,13131,5,GY,1,100,-0.671
1707151606.970783,499845.000,13145,2,GY,1,100,-0.458
1707151607.009998,499883.000,13145,2,GY,1,100,-0.153
1707151607.049900,499921.667,13163,3,GY,1,100,-0.641
1707151607.089803,499960.333,13163,3,GY,1,100,-0.458
1707151607.129705,499999.000,13163,3,GY,1,100,-0.183
1707151607.166340,500034.500,13179,4,GY,1,100,-0.397
1707151607.202974,500070.000,13179,4,GY,1,100,-0.366
1707151607.239609,500105.500,13179,4,GY,1,100,-0.336
1707151607.276243,500141.000,13179,4,GY,1,100,-0.427
1707151607.316490,500180.000,13196,2,GY,1,100,-0.336
1707151607.356736,500219.000,13196,2,GY,1,100,-0.244
1707151607.396639,500257.667,13213,3,GY,1,100,-0.336
1707151607.436541,500296.333,13213,3,GY,1,100,-0.366
1707151607.476443,500335.000,13213,3,GY,1,100,-0.336
1707151607.516690,500374.000,13231,2,GY,1,100,-0.580
1707151607.556936,500413.000,13231,2,GY,1,100,-0.580
1707151607.596151,500451.000,13246,3,GY,1,100,-0.397
1707151607.635365,500489.000,13246,3,GY,1,100,-0.458
1707151607.674580,500527.000,13246,3,GY,1,100,-0.427
1707151607.714482,500565.667,13264,3,GY,1,100,-0.610
1707151607.754385,500604.333,13264,3,GY,1,100,-0.458
1707151607.794287,500643.000,13264,3,GY,1,100,-0.336
1707151607.834533,500682.000,13280,2,GY,1,100,-0.366
1707151607.874780,500721.000,13280,2,GY,1,100,-0.458
1707151607.915370,500760.333,13297,3,GY,1,100,-0.549
1707151607.955961,500799.667,13297,3,GY,1,100,-0.305
1707151607.996551,500839.000,13297,3,GY,1,100,-0.549
1707151608.036797,500878.000,13312,2,GY,1,100,-0.610
1707151608.077044,500917.000,13312,2,GY,1,100,-0.305
1707151608.116774,500955.500,13329,4,GY,1,100,-0.519
1707151608.156505,500994.000,13329,4,GY,1,100,-0.458
1707151608.196235,501032.500,13329,4,GY,1,100,-0.305
1707151608.235966,501071.000,13329,4,GY,1,100,-0.305
1707151608.275180,501109.000,13345,2,GY,1,100,-0.366
1707151608.314395,501147.000,13345,2,GY,1,100,-0.275
1707151608.354297,501185.667,13365,3,GY,1,100,-0.244
1707151608.394199,501224.333,13365,3,GY,1,100,-0.397
1707151608.434102,501263.000,13365,3,GY,1,100,-0.153
1707151608.475380,501303.000,13381,2,GY,1,100,-0.214
1707151608.516659,501343.000,13381,2,GY,1,100,-0.458
1707151608.557249,501382.333,13398,3,GY,1,100,-0.275
1707151608.597839,501421.667,13398,3,GY,1,100,-0.122
1707151608.638430,501461.000,13398,3,GY,1,100,-0.275
1707151608.678332,501499.667,13413,3,GY,1,100,-0.549
1707151608.718235,501538.333,13413,3,GY,1,100,-0.153
1707151608.758137,501577.000,13413,3,GY,1,100,0.092
1707151608.797352,501615.000,13430,2,GY,1,100,-0.275
1707151608.836566,501653.000,13430,2,GY,1,100,-0.702
1707151608.876125,501691.333,13446,3,GY,1,100,-0.519
1707151608.915683,501729.667,13446,3,GY,1,100,-0.153
1707151608.955241,501768.000,13446,3,GY,1,100,-0.336
1707151608.995144,501806.667,13464,3,GY,1,100,-0.427
1707151609.035046,501845.333,13464,3,GY,1,100,-0.458
1707151609.074949,501884.000,13464,3,GY,1,100,-0.397
1707151609.115883,501923.667,13482,3,GY,1,100,-0.610
1707151609.156817,501963.333,13482,3,GY,1,100,-0.458
1707151609.197752,502003.000,13482,3,GY,1,100,-0.519
1707151609.237998,502042.000,13499,3,GY,1,100,-0.305
1707151609.278245,502081.000,13499,3,GY,1,100,-0.397
1707151609.318491,502120.000,13499,3,GY,1,100,-0.427
1707151609.358222,502158.500,13514,2,GY,1,100,-0.397
1707151609.397952,502197.000,13514,2,GY,1,100,-0.488
1707151609.437166,502235.000,13531,3,GY,1,100,-0.458
1707151609.476381,502273.000,13531,3,GY,1,100,-0.336
1707151609.515595,502311.000,13531,3,GY,1,100,-0.427
1707151609.555498,502349.667,13547,3,GY,1,100,-0.549
1707151609.595400,502388.333,13547,3,GY,1,100,-0.275
1707151609.635303,502427.000,13547,3,GY,1,100,-0.153
1707151609.670733,502461.333,13565,3,GY,1,100,-0.610
1707151609.706164,502495.667,13565,3,GY,1,100,-0.793
1707151609.741595,502530.000,13565,3,GY,1,100,-0.275
1707151609.781841,502569.000,13580,2,GY,1,100,-0.488
1707151609.822087,502608.000,13580,2,GY,1,100,-0.366
1707151609.861646,502646.333,13596,3,GY,1,100,-0.366
1707151609.901204,502684.667,13596,3,GY,1,100,-0.427
1707151609.940763,502723.000,13596,3,GY,1,100,-0.153
1707151609.980665,502761.667,13613,3,GY,1,100,-0.549
1707151610.020568,502800.333,13613,3,GY,1,100,-0.519
1707151610.060470,502839.000,13613,3,GY,1,100,-0.305
1707151610.100200,502877.500,13632,2,GY,1,100,-0.580
1707151610.139931,502916.000,13632,2,GY,1,100,-0.427
1707151610.180865,502955.667,13648,3,GY,1,100,-0.549
1707151610.221800,502995.333,13648,3,GY,1,100,-0.610
1707151610.262734,503035.000,13648,3,GY,1,100,-0.244
1707151610.302980,503074.000,13666,3,GY,1,100,-0.305
1707151610.343227,503113.000,13666,3,GY,1,100,-0.763
1707151610.383473,503152.000,13666,3,GY,1,100,-0.641
1707151610.423376,503190.667,13682,3,GY,1,100,-0.427
1707151610.463278,503229.333,13682,3,GY,1,100,-0.183
1707151610.503181,503268.000,13682,3,GY,1,100,-0.397
1707151610.542911,503306.500,13699,2,GY,1,100,-0.824
1707151610.582641,503345.000,13699,2,GY,1,100,-0.641
1707151610.622200,503383.333,13716,3,GY,1,100,-0.366
1707151610.661758,503421.667,13716,3,GY,1,100,-0.519
1707151610.701317,503460.000,13716,3,GY,1,100,-0.488
1707151610.741563,503499.000,13733,3,GY,1,100,-0.305
1707151610.781810,503538.000,13733,3,GY,1,100,-0.366
1707151610.822056,503577.000,13733,3,GY,1,100,-0.427
1707151610.861787,503615.500,13749,2,GY,1,100,-0.336
