LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707151848.309985,733710,50613,1,HR,1,100,74
1707151849.143808,734518,50746,1,HR,1,100,73
1707151849.979695,735328,50869,1,HR,1,100,73
1707151850.777400,736101,50989,1,HR,1,100,73
1707151851.618447,736916,51123,1,HR,1,100,73
1707151852.469813,737741,51256,1,HR,1,100,73
1707151853.343883,738588,51361,1,HR,1,100,72
1707151854.225176,739442,51478,1,HR,1,100,71
1707151855.098214,740288,51613,1,HR,1,100,70
1707151855.987763,741150,51735,1,HR,1,100,70
1707151856.865961,742001,51885,1,HR,1,100,69
1707151857.745190,742853,52019,1,HR,1,100,69
1707151858.628547,743709,52151,1,HR,1,100,69
1707151859.464435,744519,52284,1,HR,1,100,70
1707151860.356048,745383,52436,1,HR,1,100,69
1707151861.233213,746233,52576,1,HR,1,100,69
1707151862.115539,747088,52710,1,HR,1,100,69
1707151862.953490,747900,52843,1,HR,1,100,69
1707151863.714044,748637,52959,1,HR,1,100,72
1707151864.526196,749424,53092,1,HR,1,100,72
1707151865.370339,750242,53228,1,HR,1,100,72
1707151866.249568,751094,53365,1,HR,1,100,71
1707151867.092679,751911,53500,1,HR,1,100,71
1707151867.969845,752761,53650,1,HR,1,100,71
1707151868.860426,753624,53782,1,HR,1,100,70
1707151869.734495,754471,53931,1,HR,1,100,70
1707151870.618885,755328,54065,1,HR,1,100,69
1707151871.495018,756177,54203,1,HR,1,100,69
1707151872.426878,757080,54353,1,HR,1,100,68
1707151873.345321,757970,54488,1,HR,1,100,68
1707151874.261701,758858,54636,1,HR,1,100,67
1707151875.144027,759713,54788,1,HR,1,100,67
1707151876.022224,760564,54921,1,HR,1,100,67
1707151876.912805,761427,55060,1,HR,1,100,68
1707151877.789971,762277,55193,1,HR,1,100,68
1707151878.703255,763162,55342,1,HR,1,100,67
1707151879.581453,764013,55474,1,HR,1,100,67
1707151880.437979,764843,55612,1,HR,1,100,68
1707151881.357455,765734,55747,1,HR,1,100,68
1707151882.154127,766506,55855,1,HR,1,100,69
1707151882.947704,767275,55988,1,HR,1,100,71
1707151883.743345,768046,56106,1,HR,1,100,72
1707151884.595744,768872,56243,1,HR,1,100,72
1707151885.435759,769686,56362,1,HR,1,100,71
1707151886.314988,770538,56495,1,HR,1,100,71
