LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707151839.345353,725023.000,49215,2,AK,1,100,RD
1707151839.357220,725034.500,49218,2,AK,1,100,49216
1707151839.369088,725046.000,49218,2,AK,1,100,RD
1707151842.009872,727605.000,50055,2,AK,1,100,49216
1707151844.650656,730164.000,50055,2,AK,1,100,RD
1707151844.689871,730202.000,50058,2,AK,1,100,50056
1707151844.729085,730240.000,50058,2,AK,1,100,RD
1707151847.337363,732767.500,50863,2,AK,1,100,50056
1707151849.945640,735295.000,50863,2,AK,1,100,RD
1707151849.959572,735308.500,50866,2,AK,1,100,50864
1707151849.973503,735322.000,50866,2,AK,1,100,RD
1707151852.615320,737882.000,51631,2,AK,1,100,50864
1707151855.257136,740442.000,51631,2,AK,1,100,RD
1707151857.910820,743013.500,52469,2,AK,1,100,51632
1707151860.564503,745585.000,52469,2,AK,1,100,RD
1707151860.573791,745594.000,52471,2,AK,1,100,51632
1707151860.583079,745603.000,52471,2,AK,1,100,RD
1707151860.611458,745630.500,52474,2,AK,1,100,52472
1707151860.639836,745658.000,52474,2,AK,1,100,RD
1707151863.247082,748184.500,53311,2,AK,1,100,52472
1707151865.854328,750711.000,53311,2,AK,1,100,RD
1707151865.866195,750722.500,53314,2,AK,1,100,53312
1707151865.878063,750734.000,53314,2,AK,1,100,RD
1707151868.515235,753289.500,54149,2,AK,1,100,53312
1707151871.152408,755845.000,54149,2,AK,1,100,RD
1707151871.164791,755857.000,54152,2,AK,1,100,54150
1707151871.177175,755869.000,54152,2,AK,1,100,RD
1707151873.814347,758424.500,54987,2,AK,1,100,54150
1707151876.451519,760980.000,54987,2,AK,1,100,RD
1707151876.468031,760996.000,54990,2,AK,1,100,54988
1707151876.484542,761012.000,54990,2,AK,1,100,RD
1707151879.103139,763549.500,55799,2,AK,1,100,54988
1707151881.721736,766087.000,55799,2,AK,1,100,RD
1707151881.734120,766099.000,55802,2,AK,1,100,55800
1707151881.746504,766111.000,55802,2,AK,1,100,RD
