LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1707151607.166340,500034.500,13178,4,GX,1,100,-0.458
1707151607.202974,500070.000,13178,4,GX,1,100,-0.427
1707151607.239609,500105.500,13178,4,GX,1,100,-0.519
1707151607.276243,500141.000,13178,4,GX,1,100,-0.793
1707151607.316490,500180.000,13195,2,GX,1,100,-0.366
1707151607.356736,500219.000,13195,2,GX,1,100,-0.458
1707151607.396639,500257.667,13212,3,GX,1,100,-0.458
1707151607.436541,500296.333,13212,3,GX,1,100,-0.031
1707151607.476443,500335.000,13212,3,GX,1,100,-0.092
1707151607.516690,500374.000,13230,2,GX,1,100,-0.732
1707151607.556936,500413.000,13230,2,GX,1,100,-0.702
1707151607.596151,500451.000,13245,3,GX,1,100,-0.244
1707151607.635365,500489.000,13245,3,GX,1,100,-0.458
1707151607.674580,500527.000,13245,3,GX,1,100,-0.641
1707151607.714482,500565.667,13263,3,GX,1,100,-0.946
1707151607.754385,500604.333,13263,3,GX,1,100,-0.488
1707151607.794287,500643.000,13263,3,GX,1,100,-0.275
1707151607.834533,500682.000,13279,2,GX,1,100,-0.488
1707151607.874780,500721.000,13279,2,GX,1,100,-0.580
1707151607.915370,500760.333,13296,3,GX,1,100,-1.129
1707151607.955961,500799.667,13296,3,GX,1,100,-0.336
1707151607.996551,500839.000,13296,3,GX,1,100,0.549
1707151608.036797,500878.000,13311,2,GX,1,100,-0.214
1707151608.077044,500917.000,13311,2,GX,1,100,-0.946
1707151608.116774,500955.500,13328,4,GX,1,100,-0.732
1707151608.156505,500994.000,13328,4,GX,1,100,-0.397
1707151608.196235,501032.500,13328,4,GX,1,100,-0.488
1707151608.235966,501071.000,13328,4,GX,1,100,-0.397
1707151608.275180,501109.000,13344,2,GX,1,100,-0.519
1707151608.314395,501147.000,13344,2,GX,1,100,-0.824
1707151608.354297,501185.667,13364,3,GX,1,100,-0.519
1707151608.394199,501224.333,13364,3,GX,1,100,-0.366
1707151608.434102,501263.000,13364,3,GX,1,100,-0.641
1707151608.475380,501303.000,13380,2,GX,1,100,-0.732
1707151608.516659,501343.000,13380,2,GX,1,100,-0.488
1707151608.557249,501382.333,13397,3,GX,1,100,-0.549
1707151608.597839,501421.667,13397,3,GX,1,100,-0.702
1707151608.638430,501461.000,13397,3,GX,1,100,-0.427
1707151608.678332,501499.667,13412,3,GX,1,100,-0.244
1707151608.718235,501538.333,13412,3,GX,1,100,-0.702
1707151608.758137,501577.000,13412,3,GX,1,100,-1.099
1707151608.797352,501615.000,13429,2,GX,1,100,-0.610
1707151608.836566,501653.000,13429,2,GX,1,100,0.244
1707151608.876125,501691.333,13445,3,GX,1,100,-0.153
1707151608.915683,501729.667,13445,3,GX,1,100,-0.763
1707151608.955241,501768.000,13445,3,GX,1,100,-0.610
1707151608.995144,501806.667,13463,3,GX,1,100,-0.549
1707151609.035046,501845.333,13463,3,GX,1,100,-0.458
1707151609.074949,501884.000,13463,3,GX,1,100,-0.427
1707151609.115883,501923.667,13481,3,GX,1,100,-0.336
1707151609.156817,501963.333,13481,3,GX,1,100,-0.427
1707151609.197752,502003.000,13481,3,GX,1,100,-0.427
1707151609.237998,502042.000,13498,3,GX,1,100,-0.549
