LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707151605.854203,498763.000,12975,3,AZ,1,100,-0.280
1707151605.893934,498801.500,12989,2,AZ,1,100,-0.282
1707151605.933664,498840.000,12989,2,AZ,1,100,-0.279
1707151605.973567,498878.667,13007,3,AZ,1,100,-0.279
1707151606.013469,498917.333,13007,3,AZ,1,100,-0.282
1707151606.053371,498956.000,13007,3,AZ,1,100,-0.279
1707151606.093102,498994.500,13023,4,AZ,1,100,-0.278
1707151606.132832,499033.000,13023,4,AZ,1,100,-0.283
1707151606.172563,499071.500,13023,4,AZ,1,100,-0.278
1707151606.212293,499110.000,13023,4,AZ,1,100,-0.277
1707151606.253056,499149.500,13040,2,AZ,1,100,-0.283
1707151606.293818,499189.000,13040,2,AZ,1,100,-0.281
1707151606.333720,499227.667,13057,3,AZ,1,100,-0.281
1707151606.373623,499266.333,13057,3,AZ,1,100,-0.283
1707151606.413525,499305.000,13057,3,AZ,1,100,-0.282
1707151606.453084,499343.333,13074,3,AZ,1,100,-0.275
1707151606.492642,499381.667,13074,3,AZ,1,100,-0.280
1707151606.532201,499420.000,13074,3,AZ,1,100,-0.283
1707151606.572447,499459.000,13090,2,AZ,1,100,-0.276
1707151606.612693,499498.000,13090,2,AZ,1,100,-0.282
1707151606.652596,499536.667,13108,3,AZ,1,100,-0.283
1707151606.692498,499575.333,13108,3,AZ,1,100,-0.281
1707151606.732401,499614.000,13108,3,AZ,1,100,-0.282
1707151606.772234,499652.600,13129,5,AZ,1,100,-0.281
1707151606.812068,499691.200,13129,5,AZ,1,100,-0.278
1707151606.851902,499729.800,13129,5,AZ,1,100,-0.284
1707151606.891735,499768.400,13129,5,AZ,1,100,-0.285
1707151606.931569,499807.000,13129,5,AZ,1,100,-0.276
1707151606.970783,499845.000,13143,2,AZ,1,100,-0.282
1707151607.009998,499883.000,13143,2,AZ,1,100,-0.282
1707151607.049900,499921.667,13161,3,AZ,1,100,-0.281
1707151607.089803,499960.333,13161,3,AZ,1,100,-0.283
1707151607.129705,499999.000,13161,3,AZ,1,100,-0.283
1707151607.166340,500034.500,13177,4,AZ,1,100,-0.283
1707151607.202974,500070.000,13177,4,AZ,1,100,-0.283
1707151607.239609,500105.500,13177,4,AZ,1,100,-0.278
1707151607.276243,500141.000,13177,4,AZ,1,100,-0.278
1707151607.316490,500180.000,13194,2,AZ,1,100,-0.282
1707151607.356736,500219.000,13194,2,AZ,1,100,-0.283
1707151607.396639,500257.667,13211,3,AZ,1,100,-0.280
1707151607.436541,500296.333,13211,3,AZ,1,100,-0.281
1707151607.476443,500335.000,13211,3,AZ,1,100,-0.286
1707151607.516690,500374.000,13229,2,AZ,1,100,-0.280
1707151607.556936,500413.000,13229,2,AZ,1,100,-0.281
1707151607.596151,500451.000,13244,3,AZ,1,100,-0.282
1707151607.635365,500489.000,13244,3,AZ,1,100,-0.283
1707151607.674580,500527.000,13244,3,AZ,1,100,-0.280
1707151607.714482,500565.667,13262,3,AZ,1,100,-0.279
1707151607.754385,500604.333,13262,3,AZ,1,100,-0.282
1707151607.794287,500643.000,13262,3,AZ,1,100,-0.282
1707151607.834533,500682.000,13278,2,AZ,1,100,-0.282
1707151607.874780,500721.000,13278,2,AZ,1,100,-0.282
1707151607.915370,500760.333,13295,3,AZ,1,100,-0.279
1707151607.955961,500799.667,13295,3,AZ,1,100,-0.281
1707151607.996551,500839.000,13295,3,AZ,1,100,-0.286
1707151608.036797,500878.000,13310,2,AZ,1,100,-0.281
1707151608.077044,500917.000,13310,2,AZ,1,100,-0.279
1707151608.116774,500955.500,13327,4,AZ,1,100,-0.281
1707151608.156505,500994.000,13327,4,AZ,1,100,-0.283
1707151608.196235,501032.500,13327,4,AZ,1,100,-0.282
1707151608.235966,501071.000,13327,4,AZ,1,100,-0.284
1707151608.275180,501109.000,13343,2,AZ,1,100,-0.280
1707151608.314395,501147.000,13343,2,AZ,1,100,-0.280
1707151608.354297,501185.667,13363,3,AZ,1,100,-0.281
1707151608.394199,501224.333,13363,3,AZ,1,100,-0.282
1707151608.434102,501263.000,13363,3,AZ,1,100,-0.281
1707151608.475380,501303.000,13379,2,AZ,1,100,-0.281
1707151608.516659,501343.000,13379,2,AZ,1,100,-0.282
1707151608.557249,501382.333,13396,3,AZ,1,100,-0.281
1707151608.597839,501421.667,13396,3,AZ,1,100,-0.281
1707151608.638430,501461.000,13396,3,AZ,1,100,-0.280
1707151608.678332,501499.667,13411,3,AZ,1,100,-0.283
1707151608.718235,501538.333,13411,3,AZ,1,100,-0.276
1707151608.758137,501577.000,13411,3,AZ,1,100,-0.281
1707151608.797352,501615.000,13428,2,AZ,1,100,-0.277
1707151608.836566,501653.000,13428,2,AZ,1,100,-0.284
1707151608.876125,501691.333,13444,3,AZ,1,100,-0.281
1707151608.915683,501729.667,13444,3,AZ,1,100,-0.278
1707151608.955241,501768.000,13444,3,AZ,1,100,-0.280
1707151608.995144,501806.667,13462,3,AZ,1,100,-0.278
1707151609.035046,501845.333,13462,3,AZ,1,100,-0.278
1707151609.074949,501884.000,13462,3,AZ,1,100,-0.283
1707151609.115883,501923.667,13480,3,AZ,1,100,-0.280
1707151609.156817,501963.333,13480,3,AZ,1,100,-0.280
1707151609.197752,502003.000,13480,3,AZ,1,100,-0.279
1707151609.237998,502042.000,13497,3,AZ,1,100,-0.280
1707151609.278245,502081.000,13497,3,AZ,1,100,-0.280
1707151609.318491,502120.000,13497,3,AZ,1,100,-0.281
1707151609.358222,502158.500,13512,2,AZ,1,100,-0.282
1707151609.397952,502197.000,13512,2,AZ,1,100,-0.281
1707151609.437166,502235.000,13529,3,AZ,1,100,-0.280
1707151609.476381,502273.000,13529,3,AZ,1,100,-0.280
1707151609.515595,502311.000,13529,3,AZ,1,100,-0.279
1707151609.555498,502349.667,13545,3,AZ,1,100,-0.279
1707151609.595400,502388.333,13545,3,AZ,1,100,-0.281
1707151609.635303,502427.000,13545,3,AZ,1,100,-0.278
1707151609.670733,502461.333,13563,3,AZ,1,100,-0.280
1707151609.706164,502495.667,13563,3,AZ,1,100,-0.281
1707151609.741595,502530.000,13563,3,AZ,1,100,-0.282
1707151609.781841,502569.000,13578,2,AZ,1,100,-0.280
