LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707151611.498334,504232.333,13841,3,PG,1,100,11681
1707151611.537892,504270.667,13841,3,PG,1,100,11674
1707151611.577450,504309.000,13841,3,PG,1,100,11682
1707151611.617181,504347.500,13858,2,PG,1,100,11694
1707151611.656911,504386.000,13858,2,PG,1,100,11723
1707151611.696814,504424.667,13875,3,PG,1,100,11733
1707151611.736716,504463.333,13875,3,PG,1,100,11745
1707151611.776619,504502.000,13875,3,PG,1,100,11748
1707151611.816521,504540.667,13892,3,PG,1,100,11755
1707151611.856423,504579.333,13892,3,PG,1,100,11768
1707151611.896326,504618.000,13892,3,PG,1,100,11780
1707151611.936572,504657.000,13908,2,PG,1,100,11787
1707151611.976819,504696.000,13908,2,PG,1,100,11793
1707151612.016291,504734.250,13932,4,PG,1,100,11804
1707151612.055764,504772.500,13932,4,PG,1,100,11802
1707151612.095236,504810.750,13932,4,PG,1,100,11823
1707151612.134709,504849.000,13932,4,PG,1,100,11836
1707151612.174129,504887.200,13948,5,PG,1,100,11827
1707151612.213550,504925.400,13948,5,PG,1,100,11822
1707151612.252971,504963.600,13948,5,PG,1,100,11751
1707151612.292392,505001.800,13948,5,PG,1,100,11664
1707151612.331813,505040.000,13948,5,PG,1,100,11620
1707151612.372403,505079.333,13966,6,PG,1,100,11605
1707151612.412994,505118.667,13966,6,PG,1,100,11594
1707151612.453584,505158.000,13966,6,PG,1,100,11599
1707151612.494174,505197.333,13966,6,PG,1,100,11631
1707151612.534765,505236.667,13966,6,PG,1,100,11659
1707151612.575355,505276.000,13966,6,PG,1,100,11668
1707151612.614914,505314.333,13986,6,PG,1,100,11668
1707151612.654472,505352.667,13986,6,PG,1,100,11673
1707151612.694031,505391.000,13986,6,PG,1,100,11693
1707151612.733589,505429.333,13986,6,PG,1,100,11705
1707151612.773147,505467.667,13986,6,PG,1,100,11712
1707151612.812706,505506.000,13986,6,PG,1,100,11728
1707151612.852540,505544.600,14002,5,PG,1,100,11737
1707151612.892373,505583.200,14002,5,PG,1,100,11747
1707151612.932207,505621.800,14002,5,PG,1,100,11765
1707151612.972040,505660.400,14002,5,PG,1,100,11761
1707151613.011874,505699.000,14002,5,PG,1,100,11766
1707151613.052636,505738.500,14020,2,PG,1,100,11771
1707151613.093399,505778.000,14020,2,PG,1,100,11758
1707151613.133645,505817.000,14036,3,PG,1,100,11649
1707151613.173892,505856.000,14036,3,PG,1,100,11577
1707151613.214138,505895.000,14036,3,PG,1,100,11550
1707151613.254041,505933.667,14053,3,PG,1,100,11537
1707151613.293943,505972.333,14053,3,PG,1,100,11537
1707151613.333845,506011.000,14053,3,PG,1,100,11557
1707151613.373576,506049.500,14070,2,PG,1,100,11587
1707151613.413306,506088.000,14070,2,PG,1,100,11602
1707151613.452865,506126.333,14089,3,PG,1,100,11606
1707151613.492423,506164.667,14089,3,PG,1,100,11618
1707151613.531982,506203.000,14089,3,PG,1,100,11626
1707151613.571884,506241.667,14103,3,PG,1,100,11639
1707151613.611787,506280.333,14103,3,PG,1,100,11657
1707151613.651689,506319.000,14103,3,PG,1,100,11665
1707151613.692623,506358.667,14121,3,PG,1,100,11687
1707151613.733558,506398.333,14121,3,PG,1,100,11698
1707151613.774492,506438.000,14121,3,PG,1,100,11702
1707151613.814395,506476.667,14137,3,PG,1,100,11707
1707151613.854297,506515.333,14137,3,PG,1,100,11707
1707151613.894199,506554.000,14137,3,PG,1,100,11721
1707151613.934446,506593.000,14154,2,PG,1,100,11723
1707151613.974692,506632.000,14154,2,PG,1,100,11727
1707151614.013563,506669.667,14171,3,PG,1,100,11658
1707151614.052433,506707.333,14171,3,PG,1,100,11559
1707151614.091304,506745.000,14171,3,PG,1,100,11526
1707151614.131034,506783.500,14187,2,PG,1,100,11514
1707151614.170765,506822.000,14187,2,PG,1,100,11503
1707151614.211011,506861.000,14202,3,PG,1,100,11512
1707151614.251257,506900.000,14202,3,PG,1,100,11545
1707151614.291504,506939.000,14202,3,PG,1,100,11565
1707151614.332438,506978.667,14222,3,PG,1,100,11573
1707151614.373373,507018.333,14222,3,PG,1,100,11581
1707151614.414307,507058.000,14222,3,PG,1,100,11586
1707151614.454553,507097.000,14238,2,PG,1,100,11596
1707151614.494800,507136.000,14238,2,PG,1,100,11623
1707151614.534702,507174.667,14255,3,PG,1,100,11644
1707151614.574605,507213.333,14255,3,PG,1,100,11642
1707151614.614507,507252.000,14255,3,PG,1,100,11652
1707151614.653206,507289.500,14270,2,PG,1,100,11662
1707151614.691904,507327.000,14270,2,PG,1,100,11676
1707151614.732495,507366.333,14287,3,PG,1,100,11675
1707151614.773085,507405.667,14287,3,PG,1,100,11682
1707151614.813675,507445.000,14287,3,PG,1,100,11689
1707151614.853922,507484.000,14303,3,PG,1,100,11691
1707151614.894168,507523.000,14303,3,PG,1,100,11689
1707151614.934415,507562.000,14303,3,PG,1,100,11612
1707151614.974661,507601.000,14321,2,PG,1,100,11537
1707151615.014907,507640.000,14321,2,PG,1,100,11515
