eid,utc,trecon,dv,V1,sid,t,filter
blue8,1707824278.74475,0,ACC,1.03378189189016,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.744750Z,1
blue8,1707824278.7846,0,ACC,1.0329419151143,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.784600Z,1
blue8,1707824278.82531,0,ACC,1.0358938169523,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.825310Z,1
blue8,1707824278.86602,0,ACC,1.03652206922959,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.866020Z,1
blue8,1707824278.90656,0,ACC,1.03414264006471,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.906560Z,1
blue8,1707824278.9471,0,ACC,1.03413635464575,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.947100Z,1
blue8,1707824278.98763,0,ACC,1.03056731948961,blue8_2024-02-13_11-37-17,2024-02-13T11:37:58.987630Z,1
blue8,1707824279.02757,0,ACC,1.03239963192554,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.027570Z,1
blue8,1707824279.06751,0,ACC,1.03147418775266,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.067510Z,1
blue8,1707824279.10744,0,ACC,1.03347472150992,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.107440Z,1
blue8,1707824279.14738,0,ACC,1.03469125829882,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.147380Z,1
blue8,1707824279.18603,0,ACC,1.03496183504514,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.186030Z,1
blue8,1707824279.22468,0,ACC,1.03446072907578,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.224680Z,1
blue8,1707824279.26419,0,ACC,1.03507729179999,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.264190Z,1
blue8,1707824279.30369,0,ACC,1.03312196763015,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.303690Z,1
blue8,1707824279.3432,0,ACC,1.03591215843816,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.343200Z,1
blue8,1707824279.3834,0,ACC,1.03018347880365,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.383400Z,1
blue8,1707824279.42359,0,ACC,1.03285671803983,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.423590Z,1
blue8,1707824279.46413,0,ACC,1.03550277643278,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.464130Z,1
blue8,1707824279.50467,0,ACC,1.03175433122425,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.504670Z,1
blue8,1707824279.54521,0,ACC,1.03267468255981,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.545210Z,1
blue8,1707824279.5854,0,ACC,1.03389216072084,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.585400Z,1
blue8,1707824279.62559,0,ACC,1.03174173124867,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.625590Z,1
blue8,1707824279.66579,0,ACC,1.03580210465127,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.665790Z,1
blue8,1707824279.70598,0,ACC,1.03339343911213,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.705980Z,1
blue8,1707824279.74566,0,ACC,1.03392746360661,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.745660Z,1
blue8,1707824279.78534,0,ACC,1.03506183390172,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.785340Z,1
blue8,1707824279.82485,0,ACC,1.03347472150992,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.824850Z,1
