tid,nid,eid,utc,trecon,dv,raw,sid,t,filter,pid,category,condition,item,stim,tt,norm
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.2807,0,ACC,0.995627440361102,red4_2024-02-13_11-27-08,1707823684.2807,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.864809989929199,-0.177242689179973
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.307,0,EA,3.982176,red4_2024-02-13_11-27-08,1707823684.307,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.891112089157105,-2.2898623210065
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.32041,0,ACC,0.994819079028946,red4_2024-02-13_11-27-08,1707823684.32041,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.904520034790039,-0.440574661389481
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.36012,0,ACC,0.994718050504765,red4_2024-02-13_11-27-08,1707823684.36012,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.944230079650879,-0.473485736503654
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.3725,0,EA,3.984477,red4_2024-02-13_11-27-08,1707823684.3725,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.956604957580566,-2.26452984995673
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.39966,0,ACC,0.995320049029457,red4_2024-02-13_11-27-08,1707823684.39966,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.983770132064819,-0.277378559591131
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.4385,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.4385,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.02261304855347,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.43919,0,ACC,0.996598213925752,red4_2024-02-13_11-27-08,1707823684.43919,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.02329993247986,0.138996728985086
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.47873,0,ACC,0.993972333619,red4_2024-02-13_11-27-08,1707823684.47873,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.0628399848938,-0.716410639547573
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.50451,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.50451,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.08862113952637,-2.34043918845659
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.51861,0,ACC,0.996267534350086,red4_2024-02-13_11-27-08,1707823684.51861,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.10272002220154,0.0312744748821026
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.55849,0,ACC,0.994204204376546,red4_2024-02-13_11-27-08,1707823684.55849,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.14260005950928,-0.640876368605318
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.57052,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.57052,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.15462994575501,-2.34043918845659
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.59837,0,ACC,0.993260288142036,red4_2024-02-13_11-27-08,1707823684.59837,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.18248009681702,-0.94836673676918
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.63808,0,ACC,0.993994466785404,red4_2024-02-13_11-27-08,1707823684.63808,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.22218990325928,-0.709200534204105
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.63859,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.63859,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.22270107269287,-2.34043918845659
