category,condition,item,stim,edv,t,metric,y
cluster,man,pizza,pizza.mp4,EA,8,raw,4.11667062222222
cluster,man,pizza,pizza.mp4,HR,8,raw,69.5574835716571
cluster,man,pizza,pizza.mp4,ACC,9,raw,1.02300413922315
cluster,man,pizza,pizza.mp4,EA,9,raw,4.11384828888889
cluster,man,pizza,pizza.mp4,HR,9,raw,70.2754438014712
cluster,man,pizza,pizza.mp4,ACC,10,raw,1.02297819987071
cluster,man,pizza,pizza.mp4,EA,10,raw,4.11056773333333
cluster,man,pizza,pizza.mp4,HR,10,raw,69.5172876767156
cluster,man,pizza,pizza.mp4,ACC,11,raw,1.02286748975736
cluster,man,pizza,pizza.mp4,EA,11,raw,4.11098048888889
cluster,man,pizza,pizza.mp4,HR,11,raw,69.4962916697972
cluster,man,pizza,pizza.mp4,ACC,12,raw,1.0228068291989
cluster,man,pizza,pizza.mp4,EA,12,raw,4.10580942222222
cluster,man,pizza,pizza.mp4,HR,12,raw,69.7067139320288
cluster,man,pizza,pizza.mp4,EA,13,raw,4.09738124444444
cluster,man,pizza,pizza.mp4,ACC,13,raw,1.02314350901869
cluster,man,pizza,pizza.mp4,HR,13,raw,69.9284644795565
cluster,man,pizza,pizza.mp4,EA,14,raw,4.09923611111111
cluster,man,pizza,pizza.mp4,ACC,14,raw,1.02327075858852
cluster,man,pizza,pizza.mp4,HR,14,raw,72.2148035105485
cluster,man,pizza,pizza.mp4,EA,15,raw,4.08459202222222
cluster,man,pizza,pizza.mp4,ACC,15,raw,1.02308037419791
cluster,man,pizza,pizza.mp4,HR,15,raw,71.1086765809591
cluster,man,pizza,pizza.mp4,ACC,16,raw,1.02335074326677
cluster,man,pizza,pizza.mp4,EA,16,raw,4.07855033333333
cluster,man,pizza,pizza.mp4,HR,16,raw,70.8581214145185
cluster,man,pizza,pizza.mp4,ACC,17,raw,1.02274773811386
cluster,man,pizza,pizza.mp4,EA,17,raw,4.07757682222222
cluster,man,pizza,pizza.mp4,HR,17,raw,71.1048040754545
cluster,man,pizza,pizza.mp4,EA,18,raw,4.07825717777778
cluster,man,pizza,pizza.mp4,ACC,18,raw,1.02361618004313
cluster,man,pizza,pizza.mp4,HR,18,raw,70.8259099222457
cluster,man,pizza,pizza.mp4,ACC,19,raw,1.02368343758226
cluster,man,pizza,pizza.mp4,EA,19,raw,4.07340531111111
cluster,man,pizza,pizza.mp4,HR,19,raw,70.3778608940282
cluster,man,pizza,pizza.mp4,EA,20,raw,4.07072364444444
cluster,man,pizza,pizza.mp4,ACC,20,raw,1.02306404565018
cluster,man,pizza,pizza.mp4,HR,20,raw,69.5647563509162
cluster,man,pizza,pizza.mp4,EA,21,raw,4.06863797777778
cluster,man,pizza,pizza.mp4,ACC,21,raw,1.02244506062519
cluster,man,pizza,pizza.mp4,HR,21,raw,69.7658022729304
cluster,man,pizza,pizza.mp4,EA,22,raw,4.07449591111111
cluster,man,pizza,pizza.mp4,ACC,22,raw,1.02316939229178
cluster,man,pizza,pizza.mp4,HR,22,raw,68.8327419493513
cluster,man,pizza,pizza.mp4,EA,23,raw,4.11086604444444
cluster,man,pizza,pizza.mp4,ACC,23,raw,1.02349383065128
cluster,man,pizza,pizza.mp4,HR,23,raw,67.5643327970923
cluster,man,pizza,pizza.mp4,EA,24,raw,4.13806345652174
cluster,man,pizza,pizza.mp4,ACC,24,raw,1.02245493473508
cluster,man,pizza,pizza.mp4,HR,24,raw,67.5336146520465
cluster,man,pizza,pizza.mp4,EA,25,raw,4.15074497826087
cluster,man,pizza,pizza.mp4,ACC,25,raw,1.02373578703886
cluster,man,pizza,pizza.mp4,HR,25,raw,67.63168239201
cluster,man,pizza,pizza.mp4,EA,26,raw,4.15268273333333
cluster,man,pizza,pizza.mp4,ACC,26,raw,1.02294471213176
cluster,man,pizza,pizza.mp4,HR,26,raw,67.8308761925014
cluster,man,pizza,pizza.mp4,EA,27,raw,4.14620526666667
cluster,man,pizza,pizza.mp4,ACC,27,raw,1.02266645268605
cluster,man,pizza,pizza.mp4,HR,27,raw,69.0258998306735
cluster,man,pizza,pizza.mp4,EA,28,raw,4.13676024444445
