LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707823981.760793,374605.000,57466,2,PR,1,100,151041
1707823981.799967,374643.000,57466,2,PR,1,100,151078
1707823981.839828,374681.667,57484,3,PR,1,100,151104
1707823981.879690,374720.333,57484,3,PR,1,100,151160
1707823981.919551,374759.000,57484,3,PR,1,100,151210
1707823981.960788,374799.000,57502,2,PR,1,100,151264
1707823982.002024,374839.000,57502,2,PR,1,100,151315
1707823982.046352,374882.000,57519,3,PR,1,100,151363
1707823982.090681,374925.000,57519,3,PR,1,100,151418
1707823982.135010,374968.000,57519,3,PR,1,100,151466
1707823982.174700,375006.500,57534,2,PR,1,100,151495
1707823982.214390,375045.000,57534,2,PR,1,100,151362
1707823982.254251,375083.667,57551,3,PR,1,100,151093
1707823982.294113,375122.333,57551,3,PR,1,100,150906
1707823982.333974,375161.000,57551,3,PR,1,100,150751
1707823982.373836,375199.667,57567,3,PR,1,100,150612
1707823982.413697,375238.333,57567,3,PR,1,100,150544
1707823982.453559,375277.000,57567,3,PR,1,100,150569
1707823982.493249,375315.500,57585,2,PR,1,100,150590
1707823982.532938,375354.000,57585,2,PR,1,100,150605
1707823982.572456,375392.333,57601,3,PR,1,100,150625
1707823982.611974,375430.667,57601,3,PR,1,100,150674
1707823982.651492,375469.000,57601,3,PR,1,100,150733
1707823982.690666,375507.000,57618,3,PR,1,100,150788
1707823982.729841,375545.000,57618,3,PR,1,100,150841
1707823982.769015,375583.000,57618,3,PR,1,100,150908
1707823982.808705,375621.500,57634,2,PR,1,100,150980
1707823982.848394,375660.000,57634,2,PR,1,100,151032
1707823982.889287,375699.667,57652,3,PR,1,100,151082
1707823982.930179,375739.333,57652,3,PR,1,100,151146
1707823982.971072,375779.000,57652,3,PR,1,100,151193
1707823983.012308,375819.000,57668,2,PR,1,100,151261
1707823983.053544,375859.000,57668,2,PR,1,100,151308
1707823983.093405,375897.667,57684,3,PR,1,100,151206
1707823983.133267,375936.333,57684,3,PR,1,100,150972
1707823983.173129,375975.000,57684,3,PR,1,100,150794
1707823983.212646,376013.333,57702,3,PR,1,100,150670
1707823983.252164,376051.667,57702,3,PR,1,100,150559
1707823983.291682,376090.000,57702,3,PR,1,100,150505
1707823983.330857,376128.000,57719,2,PR,1,100,150545
1707823983.370031,376166.000,57719,2,PR,1,100,150569
1707823983.410236,376205.000,57735,3,PR,1,100,150577
1707823983.450441,376244.000,57735,3,PR,1,100,150618
1707823983.490646,376283.000,57735,3,PR,1,100,150674
1707823983.531367,376322.500,57753,2,PR,1,100,150731
1707823983.572088,376362.000,57753,2,PR,1,100,150788
1707823983.612636,376401.333,57769,3,PR,1,100,150857
1707823983.653185,376440.667,57769,3,PR,1,100,150931
1707823983.693734,376480.000,57769,3,PR,1,100,150997
1707823983.733596,376518.667,57786,3,PR,1,100,151046
1707823983.773457,376557.333,57786,3,PR,1,100,151107
1707823983.813319,376596.000,57786,3,PR,1,100,151172
1707823983.853008,376634.500,57803,2,PR,1,100,151224
1707823983.892698,376673.000,57803,2,PR,1,100,151301
1707823983.931873,376711.000,57820,3,PR,1,100,151365
1707823983.971047,376749.000,57820,3,PR,1,100,151413
1707823984.010221,376787.000,57820,3,PR,1,100,151450
1707823984.049911,376825.500,57835,2,PR,1,100,151363
1707823984.089601,376864.000,57835,2,PR,1,100,151144
1707823984.129978,376903.167,57852,6,PR,1,100,150990
