LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707824041.410853,432467.000,1094,1,SF,1,100,4.1084
1707824041.746927,432793.000,1144,1,SF,1,100,4.0608
1707824042.143825,433178.000,1209,1,SF,1,100,4.0139
1707824042.478868,433503.000,1260,1,SF,1,100,3.9674
1707824042.745871,433762.000,1310,1,SF,1,100,3.9215
1707824043.078853,434085.000,1366,1,SF,1,100,3.8762
1707824043.412865,434409.000,1418,1,SF,1,100,3.8313
1707824043.744816,434731.000,1467,1,SF,1,100,3.7870
1707824044.074704,435051.000,1517,1,SF,1,100,3.7432
1707824044.472633,435437.000,1582,1,SF,1,100,3.6999
1707824044.802521,435757.000,1635,1,SF,1,100,3.6571
1707824045.069525,436016.000,1683,1,SF,1,100,3.6148
1707824045.398383,436335.000,1733,1,SF,1,100,3.5730
1707824045.735488,436662.000,1784,1,SF,1,100,3.5316
1707824046.134447,437049.000,1849,1,SF,1,100,3.4908
1707824046.467428,437372.000,1900,1,SF,1,100,3.4504
1707824046.734432,437631.000,1950,1,SF,1,100,3.4105
1707824047.068444,437955.000,1999,1,SF,1,100,3.3710
1707824047.400395,438277.000,2049,1,SF,1,100,3.3320
1707824047.734407,438601.000,2100,1,SF,1,100,3.2935
1707824048.199344,439052.000,2174,1,SF,1,100,3.2554
1707824048.399339,439246.000,2208,1,SF,1,100,3.2177
1707824048.728197,439565.000,2259,1,SF,1,100,3.1805
1707824049.127156,439952.000,2324,1,SF,1,100,3.1437
1707824049.459106,440274.000,2376,1,SF,1,100,3.1074
1707824049.724048,440531.000,2425,1,SF,1,100,3.0714
1707824050.054968,440852.000,2474,1,SF,1,100,3.0359
1707824050.386918,441174.000,2526,1,SF,1,100,3.0008
1707824050.716807,441494.000,2574,1,SF,1,100,2.9660
1707824051.113704,441879.000,2641,1,SF,1,100,2.9317
1707824051.380708,442138.000,2692,1,SF,1,100,2.8978
1707824051.714720,442462.000,2740,1,SF,1,100,2.8643
1707824052.047702,442785.000,2791,1,SF,1,100,2.8312
1707824052.379652,443107.000,2841,1,SF,1,100,2.7984
1707824052.780673,443496.000,2906,1,SF,1,100,2.7660
1707824053.111593,443817.000,2944,1,SF,1,100,2.7340
1707824053.513645,444207.000,2998,1,SF,1,100,2.7024
1707824053.777555,444463.000,3034,1,SF,1,100,2.6712
1707824054.110537,444786.000,3084,1,SF,1,100,2.6403
1707824054.439395,445105.000,3133,1,SF,1,100,2.6097
1707824054.771345,445427.000,3185,1,SF,1,100,2.5795
1707824055.106388,445752.000,3234,1,SF,1,100,2.5497
1707824055.437308,446073.000,3286,1,SF,1,100,2.5202
1707824055.772351,446398.000,3335,1,SF,1,100,2.4910
1707824056.036262,446654.000,3385,1,SF,1,100,2.4622
1707824056.438314,447044.000,3436,1,SF,1,100,2.4337
1707824056.707379,447305.000,3486,1,SF,1,100,2.4056
1707824057.104277,447690.000,3537,1,SF,1,100,2.3777
1707824057.373342,447951.000,3587,1,SF,1,100,2.3502
1707824057.840341,448404.000,3638,1,SF,1,100,2.3231
1707824058.106314,448662.000,3656,1,SF,1,100,2.2962
1707824058.439295,448985.000,3676,1,SF,1,100,2.2696
1707824058.773307,449309.000,3719,1,SF,1,100,2.2434
1707824059.038249,449566.000,3767,1,SF,1,100,2.2174
1707824059.369169,449887.000,3817,1,SF,1,100,2.1918
1707824059.706274,450214.000,3868,1,SF,1,100,2.1664
1707824060.106264,450602.000,3933,1,SF,1,100,2.1413
1707824060.437183,450923.000,3982,1,SF,1,100,2.1166
1707824060.704187,451182.000,4034,1,SF,1,100,2.0921
1707824061.037168,451505.000,4083,1,SF,1,100,2.0679
1707824061.371181,451829.000,4133,1,SF,1,100,2.0440
1707824061.768078,452214.000,4199,1,SF,1,100,2.0203
1707824062.105183,452541.000,4249,1,SF,1,100,1.9970
