LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823977.038917,370024.667,56716,3,AY,1,100,-0.911
1707823977.074311,370059.000,56716,3,AY,1,100,-0.910
1707823977.114001,370097.500,56732,2,AY,1,100,-0.914
1707823977.153691,370136.000,56732,2,AY,1,100,-0.924
1707823977.192865,370174.000,56752,3,AY,1,100,-0.896
1707823977.232039,370212.000,56752,3,AY,1,100,-0.886
1707823977.271214,370250.000,56752,3,AY,1,100,-0.879
1707823977.311075,370288.667,56768,3,AY,1,100,-0.889
1707823977.350937,370327.333,56768,3,AY,1,100,-0.911
1707823977.390798,370366.000,56768,3,AY,1,100,-0.926
1707823977.431004,370405.000,56784,2,AY,1,100,-0.922
1707823977.471209,370444.000,56784,2,AY,1,100,-0.917
1707823977.511070,370482.667,56800,3,AY,1,100,-0.898
1707823977.550932,370521.333,56800,3,AY,1,100,-0.895
1707823977.590793,370560.000,56800,3,AY,1,100,-0.900
1707823977.629968,370598.000,56817,2,AY,1,100,-0.911
1707823977.669142,370636.000,56817,2,AY,1,100,-0.915
1707823977.709003,370674.667,56833,3,AY,1,100,-0.917
1707823977.748865,370713.333,56833,3,AY,1,100,-0.898
1707823977.788727,370752.000,56833,3,AY,1,100,-0.887
1707823977.827901,370790.000,56851,3,AY,1,100,-0.898
1707823977.867075,370828.000,56851,3,AY,1,100,-0.913
1707823977.906249,370866.000,56851,3,AY,1,100,-0.915
1707823977.946455,370905.000,56865,2,AY,1,100,-0.898
1707823977.986660,370944.000,56865,2,AY,1,100,-0.892
1707823978.026521,370982.667,56884,3,AY,1,100,-0.901
1707823978.066383,371021.333,56884,3,AY,1,100,-0.913
1707823978.106244,371060.000,56884,3,AY,1,100,-0.906
1707823978.145934,371098.500,56900,2,AY,1,100,-0.903
1707823978.185624,371137.000,56900,2,AY,1,100,-0.907
1707823978.225485,371175.667,56920,3,AY,1,100,-0.916
1707823978.265347,371214.333,56920,3,AY,1,100,-0.911
1707823978.305209,371253.000,56920,3,AY,1,100,-0.896
1707823978.346445,371293.000,56936,3,AY,1,100,-0.897
1707823978.387681,371333.000,56936,3,AY,1,100,-0.897
1707823978.428917,371373.000,56936,3,AY,1,100,-0.902
1707823978.468607,371411.500,56951,2,AY,1,100,-0.903
1707823978.508296,371450.000,56951,2,AY,1,100,-0.903
1707823978.548158,371488.667,56968,3,AY,1,100,-0.912
1707823978.588019,371527.333,56968,3,AY,1,100,-0.903
1707823978.627881,371566.000,56968,3,AY,1,100,-0.890
1707823978.667055,371604.000,56985,2,AY,1,100,-0.895
1707823978.706229,371642.000,56985,2,AY,1,100,-0.902
1707823978.746091,371680.667,57003,3,AY,1,100,-0.903
1707823978.785953,371719.333,57003,3,AY,1,100,-0.891
1707823978.825814,371758.000,57003,3,AY,1,100,-0.891
1707823978.865676,371796.667,57019,3,AY,1,100,-0.903
1707823978.905537,371835.333,57019,3,AY,1,100,-0.906
1707823978.945399,371874.000,57019,3,AY,1,100,-0.906
1707823978.986119,371913.500,57035,2,AY,1,100,-0.911
1707823979.026840,371953.000,57035,2,AY,1,100,-0.901
1707823979.067045,371992.000,57052,3,AY,1,100,-0.886
1707823979.107250,372031.000,57052,3,AY,1,100,-0.894
1707823979.147456,372070.000,57052,3,AY,1,100,-0.898
1707823979.187661,372109.000,57069,2,AY,1,100,-0.905
1707823979.227866,372148.000,57069,2,AY,1,100,-0.931
1707823979.267384,372186.333,57086,3,AY,1,100,-0.820
1707823979.306902,372224.667,57086,3,AY,1,100,-0.821
1707823979.346420,372263.000,57086,3,AY,1,100,-0.835
1707823979.385938,372301.333,57100,3,AY,1,100,-0.848
1707823979.425456,372339.667,57100,3,AY,1,100,-0.851
1707823979.464973,372378.000,57100,3,AY,1,100,-0.850
1707823979.505436,372417.250,57125,4,AY,1,100,-0.877
1707823979.545899,372456.500,57125,4,AY,1,100,-0.912
1707823979.586362,372495.750,57125,4,AY,1,100,-0.862
1707823979.626825,372535.000,57125,4,AY,1,100,-0.859
1707823979.667374,372574.333,57139,3,AY,1,100,-0.884
1707823979.707923,372613.667,57139,3,AY,1,100,-0.885
1707823979.748472,372653.000,57139,3,AY,1,100,-0.892
1707823979.783866,372687.333,57158,3,AY,1,100,-0.890
1707823979.819260,372721.667,57158,3,AY,1,100,-0.894
1707823979.854654,372756.000,57158,3,AY,1,100,-0.897
1707823979.894344,372794.500,57175,2,AY,1,100,-0.891
1707823979.934034,372833.000,57175,2,AY,1,100,-0.870
1707823979.974239,372872.000,57192,3,AY,1,100,-0.845
1707823980.014444,372911.000,57192,3,AY,1,100,-0.845
1707823980.054649,372950.000,57192,3,AY,1,100,-0.874
1707823980.095370,372989.500,57208,2,AY,1,100,-0.897
1707823980.136091,373029.000,57208,2,AY,1,100,-0.907
1707823980.175952,373067.667,57224,3,AY,1,100,-0.908
1707823980.215814,373106.333,57224,3,AY,1,100,-0.892
1707823980.255675,373145.000,57224,3,AY,1,100,-0.869
1707823980.295537,373183.667,57240,3,AY,1,100,-0.855
1707823980.335399,373222.333,57240,3,AY,1,100,-0.876
1707823980.375260,373261.000,57240,3,AY,1,100,-0.889
1707823980.414950,373299.500,57259,2,AY,1,100,-0.938
1707823980.454640,373338.000,57259,2,AY,1,100,-0.955
1707823980.494157,373376.333,57276,3,AY,1,100,-0.863
1707823980.533675,373414.667,57276,3,AY,1,100,-0.830
1707823980.573193,373453.000,57276,3,AY,1,100,-0.858
1707823980.613398,373492.000,57291,2,AY,1,100,-0.879
1707823980.653604,373531.000,57291,2,AY,1,100,-0.844
1707823980.694152,373570.333,57307,3,AY,1,100,-0.805
1707823980.734701,373609.667,57307,3,AY,1,100,-0.867
1707823980.775250,373649.000,57307,3,AY,1,100,-0.907
1707823980.815112,373687.667,57325,3,AY,1,100,-0.956
1707823980.854973,373726.333,57325,3,AY,1,100,-0.966
1707823980.894835,373765.000,57325,3,AY,1,100,-0.918
1707823980.934009,373803.000,57341,2,AY,1,100,-0.847
1707823980.973183,373841.000,57341,2,AY,1,100,-0.800
1707823981.013389,373880.000,57358,3,AY,1,100,-0.813
1707823981.053594,373919.000,57358,3,AY,1,100,-0.859
1707823981.093799,373958.000,57358,3,AY,1,100,-0.888
1707823981.133489,373996.500,57372,2,AY,1,100,-0.911
1707823981.173178,374035.000,57372,2,AY,1,100,-0.917
1707823981.213384,374074.000,57392,3,AY,1,100,-0.899
1707823981.253589,374113.000,57392,3,AY,1,100,-0.878
1707823981.293794,374152.000,57392,3,AY,1,100,-0.858
1707823981.334343,374191.333,57408,3,AY,1,100,-0.859
1707823981.374892,374230.667,57408,3,AY,1,100,-0.861
1707823981.415440,374270.000,57408,3,AY,1,100,-0.872
1707823981.455646,374309.000,57425,2,AY,1,100,-0.886
1707823981.495851,374348.000,57425,2,AY,1,100,-0.892
1707823981.535712,374386.667,57441,3,AY,1,100,-0.879
1707823981.575574,374425.333,57441,3,AY,1,100,-0.867
1707823981.615435,374464.000,57441,3,AY,1,100,-0.876
1707823981.655125,374502.500,57457,2,AY,1,100,-0.880
1707823981.694815,374541.000,57457,2,AY,1,100,-0.877
