LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707823980.035062,372931.000,57190,1,TH,1,100,28.731
1707823980.170111,373062.000,57206,1,TH,1,100,28.731
1707823980.302066,373190.000,57238,1,TH,1,100,28.731
1707823980.435052,373319.000,57257,1,TH,1,100,28.738
1707823980.567008,373447.000,57274,1,TH,1,100,28.630
1707823980.701025,373577.000,57305,1,TH,1,100,28.631
1707823980.835042,373707.000,57323,1,TH,1,100,28.733
1707823980.968029,373836.000,57339,1,TH,1,100,28.733
1707823981.099984,373964.000,57356,1,TH,1,100,28.733
1707823981.232971,374093.000,57390,1,TH,1,100,28.733
1707823981.369050,374225.000,57406,1,TH,1,100,28.798
1707823981.502036,374354.000,57423,1,TH,1,100,28.798
1707823981.635023,374483.000,57455,1,TH,1,100,28.746
1707823981.768009,374612.000,57471,1,TH,1,100,28.746
1707823981.899964,374740.000,57489,1,TH,1,100,28.795
1707823982.035013,374871.000,57507,1,TH,1,100,28.795
1707823982.169030,375001.000,57539,1,TH,1,100,28.803
1707823982.300985,375129.000,57556,1,TH,1,100,28.803
1707823982.433972,375258.000,57572,1,TH,1,100,28.693
1707823982.565927,375386.000,57590,1,TH,1,100,28.693
1707823982.696852,375513.000,57623,1,TH,1,100,28.753
1707823982.829838,375642.000,57639,1,TH,1,100,28.760
1707823982.964886,375773.000,57657,1,TH,1,100,28.768
1707823983.099934,375904.000,57688,1,TH,1,100,28.768
1707823983.233952,376034.000,57707,1,TH,1,100,28.739
1707823983.364876,376161.000,57724,1,TH,1,100,28.739
1707823983.497863,376290.000,57740,1,TH,1,100,28.657
1707823983.633942,376422.000,57774,1,TH,1,100,28.657
1707823983.766928,376551.000,57791,1,TH,1,100,28.739
1707823983.898884,376679.000,57808,1,TH,1,100,28.739
1707823984.030839,376807.000,57839,1,TH,1,100,28.720
1707823984.165372,376937.500,57857,2,TH,1,100,28.720
1707823984.299905,377068.000,57857,2,TH,1,100,28.752
1707823984.432891,377197.000,57873,1,TH,1,100,28.752
1707823984.563816,377324.000,57893,1,TH,1,100,28.687
1707823984.696802,377453.000,57924,1,TH,1,100,28.687
1707823984.830819,377583.000,57946,1,TH,1,100,28.710
1707823984.964836,377713.000,57963,2,TH,1,100,28.717
1707823985.098854,377843.000,57963,2,TH,1,100,28.732
1707823985.230809,377971.000,57995,1,TH,1,100,28.732
1707823985.365857,378102.000,58011,1,TH,1,100,28.787
1707823985.499875,378232.000,58028,1,TH,1,100,28.787
1707823985.632346,378360.500,58063,2,TH,1,100,28.823
1707823985.764817,378489.000,58063,2,TH,1,100,28.823
1707823985.897803,378618.000,58080,1,TH,1,100,28.711
1707823986.031820,378748.000,58111,1,TH,1,100,28.712
1707823986.164807,378877.000,58128,1,TH,1,100,28.771
1707823986.297793,379006.000,58145,1,TH,1,100,28.771
1707823986.429748,379134.000,58162,1,TH,1,100,28.771
1707823986.563766,379264.000,58181,1,TH,1,100,28.771
1707823986.695721,379392.000,58212,1,TH,1,100,28.766
1707823986.827677,379520.000,58229,1,TH,1,100,28.766
1707823986.960663,379649.000,58246,1,TH,1,100,28.802
1707823987.093649,379778.000,58263,1,TH,1,100,28.809
1707823987.224574,379905.000,58280,1,TH,1,100,28.848
1707823987.357560,380034.000,58311,1,TH,1,100,28.848
1707823987.490547,380163.000,58331,1,TH,1,100,28.791
