LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707823977.311075,370288.667,56773,3,MX,1,100,-25
1707823977.350937,370327.333,56773,3,MX,1,100,-24
1707823977.390798,370366.000,56773,3,MX,1,100,-25
1707823977.431004,370405.000,56789,2,MX,1,100,-25
1707823977.471209,370444.000,56789,2,MX,1,100,-24
1707823977.511070,370482.667,56805,3,MX,1,100,-24
1707823977.550932,370521.333,56805,3,MX,1,100,-24
1707823977.590793,370560.000,56805,3,MX,1,100,-25
1707823977.629968,370598.000,56822,2,MX,1,100,-24
1707823977.669142,370636.000,56822,2,MX,1,100,-25
1707823977.709003,370674.667,56838,3,MX,1,100,-24
1707823977.748865,370713.333,56838,3,MX,1,100,-25
1707823977.788727,370752.000,56838,3,MX,1,100,-24
1707823977.827901,370790.000,56856,3,MX,1,100,-24
1707823977.867075,370828.000,56856,3,MX,1,100,-25
1707823977.906249,370866.000,56856,3,MX,1,100,-24
1707823977.946455,370905.000,56870,2,MX,1,100,-24
1707823977.986660,370944.000,56870,2,MX,1,100,-24
1707823978.026521,370982.667,56889,3,MX,1,100,-25
1707823978.066383,371021.333,56889,3,MX,1,100,-24
1707823978.106244,371060.000,56889,3,MX,1,100,-24
1707823978.145934,371098.500,56905,2,MX,1,100,-24
1707823978.185624,371137.000,56905,2,MX,1,100,-24
1707823978.225485,371175.667,56925,3,MX,1,100,-24
1707823978.265347,371214.333,56925,3,MX,1,100,-25
1707823978.305209,371253.000,56925,3,MX,1,100,-25
1707823978.346445,371293.000,56941,3,MX,1,100,-25
1707823978.387681,371333.000,56941,3,MX,1,100,-25
1707823978.428917,371373.000,56941,3,MX,1,100,-25
1707823978.468607,371411.500,56956,2,MX,1,100,-24
1707823978.508296,371450.000,56956,2,MX,1,100,-24
1707823978.548158,371488.667,56973,3,MX,1,100,-24
1707823978.588019,371527.333,56973,3,MX,1,100,-25
1707823978.627881,371566.000,56973,3,MX,1,100,-25
1707823978.667055,371604.000,56990,2,MX,1,100,-24
1707823978.706229,371642.000,56990,2,MX,1,100,-24
1707823978.746091,371680.667,57008,3,MX,1,100,-24
1707823978.785953,371719.333,57008,3,MX,1,100,-24
1707823978.825814,371758.000,57008,3,MX,1,100,-24
1707823978.865676,371796.667,57024,3,MX,1,100,-24
1707823978.905537,371835.333,57024,3,MX,1,100,-24
1707823978.945399,371874.000,57024,3,MX,1,100,-24
1707823978.986119,371913.500,57040,2,MX,1,100,-24
1707823979.026840,371953.000,57040,2,MX,1,100,-23
1707823979.067045,371992.000,57057,3,MX,1,100,-24
1707823979.107250,372031.000,57057,3,MX,1,100,-24
1707823979.147456,372070.000,57057,3,MX,1,100,-24
1707823979.187661,372109.000,57074,2,MX,1,100,-24
1707823979.227866,372148.000,57074,2,MX,1,100,-23
1707823979.267384,372186.333,57091,3,MX,1,100,-21
1707823979.306902,372224.667,57091,3,MX,1,100,-21
1707823979.346420,372263.000,57091,3,MX,1,100,-24
1707823979.385938,372301.333,57105,3,MX,1,100,-22
1707823979.425456,372339.667,57105,3,MX,1,100,-22
