EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707823977.35094,ACC,0.211,-0.911,0.446,1.03602992234781
1707823977.3908,ACC,0.211,-0.926,0.445,1.04881933620619
1707823977.431,ACC,0.224,-0.922,0.445,1.0479909350753
1707823977.47121,ACC,0.216,-0.917,0.446,1.04233439931722
1707823977.51107,ACC,0.216,-0.898,0.444,1.02479071034041
1707823977.55093,ACC,0.218,-0.895,0.453,1.02652715502319
1707823977.59079,ACC,0.228,-0.9,0.459,1.03569541854736
1707823977.62997,ACC,0.236,-0.911,0.456,1.04573084491183
1707823977.66914,ACC,0.24,-0.915,0.44,1.04327609001644
1707823977.709,ACC,0.226,-0.917,0.445,1.04402586174864
1707823977.74887,ACC,0.219,-0.898,0.459,1.03201065885968
1707823977.78873,ACC,0.238,-0.887,0.455,1.02490877642842
1707823977.8279,ACC,0.239,-0.898,0.457,1.03555492370033
1707823977.86708,ACC,0.218,-0.913,0.441,1.03709883810561
1707823977.90625,ACC,0.215,-0.915,0.45,1.0420892476175
1707823977.94646,ACC,0.226,-0.898,0.456,1.03218990500779
1707823977.98666,ACC,0.224,-0.892,0.466,1.03101697367211
1707823978.02652,ACC,0.219,-0.901,0.444,1.02805544597556
1707823978.06638,ACC,0.216,-0.913,0.445,1.03838817404668
1707823978.10624,ACC,0.218,-0.906,0.447,1.03352261707231
1707823978.14593,ACC,0.22,-0.903,0.462,1.03790799206866
1707823978.18562,ACC,0.222,-0.907,0.456,1.03916745522558
1707823978.22549,ACC,0.224,-0.916,0.445,1.04271616463926
1707823978.26535,ACC,0.212,-0.911,0.455,1.0401394137326
1707823978.30521,ACC,0.224,-0.896,0.459,1.03134523802653
1707823978.34645,ACC,0.218,-0.897,0.457,1.0300398050561
1707823978.38768,ACC,0.223,-0.897,0.455,1.03022473276465
1707823978.42892,ACC,0.213,-0.902,0.458,1.03379736892681
1707823978.46861,ACC,0.235,-0.903,0.458,1.03942195474215
1707823978.5083,ACC,0.246,-0.903,0.444,1.03588657680269
1707823978.54816,ACC,0.211,-0.912,0.455,1.0408121828649
1707823978.58802,ACC,0.219,-0.903,0.46,1.03680760028078
1707823978.62788,ACC,0.228,-0.89,0.456,1.02568026207001
1707823978.66706,ACC,0.227,-0.895,0.468,1.03517051735451
1707823978.70623,ACC,0.213,-0.902,0.459,1.03424078434376
1707823978.74609,ACC,0.214,-0.903,0.466,1.03844162089161
1707823978.78595,ACC,0.231,-0.891,0.465,1.03124536362594
1707823978.82581,ACC,0.237,-0.891,0.454,1.02769937238475
1707823978.86568,ACC,0.215,-0.903,0.461,1.03641449237262
1707823978.90554,ACC,0.224,-0.906,0.463,1.04181620260006
1707823978.9454,ACC,0.224,-0.906,0.459,1.04004471057739
1707823978.98612,ACC,0.222,-0.911,0.453,1.04135200580783
1707823979.02684,ACC,0.217,-0.901,0.469,1.03867752454744
1707823979.06705,ACC,0.224,-0.886,0.483,1.03366387186551
1707823979.10725,ACC,0.224,-0.894,0.472,1.03546897587518
1707823979.14746,ACC,0.232,-0.898,0.441,1.0269902628555
1707823979.18766,ACC,0.283,-0.905,0.51,1.0766680082551
1707823979.22787,ACC,0.26,-0.931,0.544,1.1091875404998
1707823979.26738,ACC,0.214,-0.82,0.491,0.979426873227399
1707823979.3069,ACC,0.292,-0.821,0.499,1.0041444119249
1707823979.34642,ACC,0.22,-0.835,0.551,1.02431733364227
1707823979.38594,ACC,0.193,-0.848,0.538,1.02264216615588
1707823979.42546,ACC,0.22,-0.851,0.524,1.02331666653094
1707823979.46497,ACC,0.225,-0.85,0.47,0.997008024039927
1707823979.50544,ACC,0.228,-0.877,0.506,1.03785789007937
1707823979.5459,ACC,0.286,-0.912,0.591,1.12375308675883
1707823979.58636,ACC,0.251,-0.862,0.483,1.01947731706007
1707823979.62683,ACC,0.278,-0.859,0.48,1.02252872820278
1707823979.66737,ACC,0.259,-0.884,0.493,1.04478993103877
1707823979.70792,ACC,0.227,-0.885,0.482,1.03299467568812
1707823979.74847,ACC,0.214,-0.892,0.479,1.03484346642379
1707823979.78387,ACC,0.219,-0.89,0.483,1.03602606144826
1707823979.81926,ACC,0.232,-0.894,0.49,1.04554292116584
1707823979.85465,ACC,0.227,-0.897,0.476,1.04053543908893
1707823979.89434,ACC,0.222,-0.891,0.49,1.04080017294388
1707823979.93403,ACC,0.22,-0.87,0.494,1.02437102653287
1707823979.97424,ACC,0.249,-0.845,0.505,1.01540681502539
1707823980.01444,ACC,0.238,-0.845,0.507,1.01376427240261
1707823980.05465,ACC,0.21,-0.874,0.489,1.02327757719985
1707823980.09537,ACC,0.218,-0.897,0.489,1.04463103534214
1707823980.13609,ACC,0.215,-0.907,0.494,1.05494549622244
1707823980.17595,ACC,0.219,-0.908,0.473,1.04697373415
1707823980.21581,ACC,0.231,-0.892,0.483,1.04034321259861
1707823980.25568,ACC,0.24,-0.869,0.506,1.03382638774603
1707823980.29554,ACC,0.232,-0.855,0.51,1.02222746979329
1707823980.3354,ACC,0.233,-0.876,0.51,1.04007932389794
