LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1707823979.187661,372109.000,57068,2,AX,1,100,0.283
1707823979.227866,372148.000,57068,2,AX,1,100,0.260
1707823979.267384,372186.333,57085,3,AX,1,100,0.214
1707823979.306902,372224.667,57085,3,AX,1,100,0.292
1707823979.346420,372263.000,57085,3,AX,1,100,0.220
1707823979.385938,372301.333,57099,3,AX,1,100,0.193
1707823979.425456,372339.667,57099,3,AX,1,100,0.220
1707823979.464973,372378.000,57099,3,AX,1,100,0.225
1707823979.505436,372417.250,57124,4,AX,1,100,0.228
1707823979.545899,372456.500,57124,4,AX,1,100,0.286
1707823979.586362,372495.750,57124,4,AX,1,100,0.251
1707823979.626825,372535.000,57124,4,AX,1,100,0.278
1707823979.667374,372574.333,57138,3,AX,1,100,0.259
1707823979.707923,372613.667,57138,3,AX,1,100,0.227
1707823979.748472,372653.000,57138,3,AX,1,100,0.214
1707823979.783866,372687.333,57157,3,AX,1,100,0.219
1707823979.819260,372721.667,57157,3,AX,1,100,0.232
1707823979.854654,372756.000,57157,3,AX,1,100,0.227
1707823979.894344,372794.500,57174,2,AX,1,100,0.222
1707823979.934034,372833.000,57174,2,AX,1,100,0.220
1707823979.974239,372872.000,57191,3,AX,1,100,0.249
1707823980.014444,372911.000,57191,3,AX,1,100,0.238
1707823980.054649,372950.000,57191,3,AX,1,100,0.210
1707823980.095370,372989.500,57207,2,AX,1,100,0.218
1707823980.136091,373029.000,57207,2,AX,1,100,0.215
1707823980.175952,373067.667,57223,3,AX,1,100,0.219
1707823980.215814,373106.333,57223,3,AX,1,100,0.231
1707823980.255675,373145.000,57223,3,AX,1,100,0.240
1707823980.295537,373183.667,57239,3,AX,1,100,0.232
1707823980.335399,373222.333,57239,3,AX,1,100,0.233
1707823980.375260,373261.000,57239,3,AX,1,100,0.261
1707823980.414950,373299.500,57258,2,AX,1,100,0.241
1707823980.454640,373338.000,57258,2,AX,1,100,0.190
1707823980.494157,373376.333,57275,3,AX,1,100,0.175
1707823980.533675,373414.667,57275,3,AX,1,100,0.221
1707823980.573193,373453.000,57275,3,AX,1,100,0.198
1707823980.613398,373492.000,57290,2,AX,1,100,0.223
1707823980.653604,373531.000,57290,2,AX,1,100,0.277
1707823980.694152,373570.333,57306,3,AX,1,100,0.282
1707823980.734701,373609.667,57306,3,AX,1,100,0.255
1707823980.775250,373649.000,57306,3,AX,1,100,0.228
1707823980.815112,373687.667,57324,3,AX,1,100,0.174
1707823980.854973,373726.333,57324,3,AX,1,100,0.148
1707823980.894835,373765.000,57324,3,AX,1,100,0.175
1707823980.934009,373803.000,57340,2,AX,1,100,0.234
1707823980.973183,373841.000,57340,2,AX,1,100,0.286
1707823981.013389,373880.000,57357,3,AX,1,100,0.291
1707823981.053594,373919.000,57357,3,AX,1,100,0.272
1707823981.093799,373958.000,57357,3,AX,1,100,0.241
1707823981.133489,373996.500,57371,2,AX,1,100,0.214
1707823981.173178,374035.000,57371,2,AX,1,100,0.205
1707823981.213384,374074.000,57391,3,AX,1,100,0.222
1707823981.253589,374113.000,57391,3,AX,1,100,0.235
1707823981.293794,374152.000,57391,3,AX,1,100,0.243
1707823981.334343,374191.333,57407,3,AX,1,100,0.242
1707823981.374892,374230.667,57407,3,AX,1,100,0.242
1707823981.415440,374270.000,57407,3,AX,1,100,0.244
1707823981.455646,374309.000,57424,2,AX,1,100,0.233
1707823981.495851,374348.000,57424,2,AX,1,100,0.224
1707823981.535712,374386.667,57440,3,AX,1,100,0.234
1707823981.575574,374425.333,57440,3,AX,1,100,0.241
1707823981.615435,374464.000,57440,3,AX,1,100,0.241
1707823981.655125,374502.500,57456,2,AX,1,100,0.232
1707823981.694815,374541.000,57456,2,AX,1,100,0.232
1707823981.734333,374579.333,57472,3,AX,1,100,0.229
1707823981.773851,374617.667,57472,3,AX,1,100,0.236
1707823981.813369,374656.000,57472,3,AX,1,100,0.240
1707823981.853574,374695.000,57490,3,AX,1,100,0.239
1707823981.893779,374734.000,57490,3,AX,1,100,0.237
1707823981.933984,374773.000,57490,3,AX,1,100,0.229
1707823981.974705,374812.500,57508,2,AX,1,100,0.233
1707823982.015425,374852.000,57508,2,AX,1,100,0.242
1707823982.055287,374890.667,57523,3,AX,1,100,0.240
1707823982.095148,374929.333,57523,3,AX,1,100,0.232
1707823982.135010,374968.000,57523,3,AX,1,100,0.237
1707823982.174700,375006.500,57540,2,AX,1,100,0.229
1707823982.214390,375045.000,57540,2,AX,1,100,0.234
1707823982.254251,375083.667,57557,3,AX,1,100,0.233
1707823982.294113,375122.333,57557,3,AX,1,100,0.241
1707823982.333974,375161.000,57557,3,AX,1,100,0.236
1707823982.373836,375199.667,57573,3,AX,1,100,0.229
1707823982.413697,375238.333,57573,3,AX,1,100,0.243
1707823982.453559,375277.000,57573,3,AX,1,100,0.230
1707823982.488953,375311.333,57591,3,AX,1,100,0.232
1707823982.524347,375345.667,57591,3,AX,1,100,0.236
1707823982.559742,375380.000,57591,3,AX,1,100,0.227
1707823982.599431,375418.500,57605,2,AX,1,100,0.232
1707823982.639121,375457.000,57605,2,AX,1,100,0.242
1707823982.678295,375495.000,57624,3,AX,1,100,0.236
1707823982.717470,375533.000,57624,3,AX,1,100,0.229
1707823982.756644,375571.000,57624,3,AX,1,100,0.238
1707823982.796506,375609.667,57640,3,AX,1,100,0.238
1707823982.836367,375648.333,57640,3,AX,1,100,0.230
1707823982.876229,375687.000,57640,3,AX,1,100,0.234
1707823982.917465,375727.000,57658,2,AX,1,100,0.237
1707823982.958701,375767.000,57658,2,AX,1,100,0.234
