LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1707823978.746091,371680.667,57005,3,GX,1,100,1.099
1707823978.785953,371719.333,57005,3,GX,1,100,2.106
1707823978.825814,371758.000,57005,3,GX,1,100,3.815
1707823978.865676,371796.667,57021,3,GX,1,100,2.625
1707823978.905537,371835.333,57021,3,GX,1,100,2.350
1707823978.945399,371874.000,57021,3,GX,1,100,1.404
1707823978.986119,371913.500,57037,2,GX,1,100,0.214
1707823979.026840,371953.000,57037,2,GX,1,100,-1.740
1707823979.067045,371992.000,57054,3,GX,1,100,-1.709
1707823979.107250,372031.000,57054,3,GX,1,100,-0.397
1707823979.147456,372070.000,57054,3,GX,1,100,1.465
1707823979.187661,372109.000,57071,2,GX,1,100,0.732
1707823979.227866,372148.000,57071,2,GX,1,100,9.399
1707823979.267384,372186.333,57088,3,GX,1,100,42.786
1707823979.306902,372224.667,57088,3,GX,1,100,46.112
1707823979.346420,372263.000,57088,3,GX,1,100,17.242
1707823979.385938,372301.333,57102,3,GX,1,100,7.751
1707823979.425456,372339.667,57102,3,GX,1,100,1.465
1707823979.464973,372378.000,57102,3,GX,1,100,-11.353
1707823979.505436,372417.250,57127,4,GX,1,100,-33.234
1707823979.545899,372456.500,57127,4,GX,1,100,-52.002
1707823979.586362,372495.750,57127,4,GX,1,100,-19.714
1707823979.626825,372535.000,57127,4,GX,1,100,9.674
1707823979.667374,372574.333,57141,3,GX,1,100,0.824
1707823979.707923,372613.667,57141,3,GX,1,100,4.730
1707823979.748472,372653.000,57141,3,GX,1,100,5.341
1707823979.783866,372687.333,57160,3,GX,1,100,2.930
1707823979.819260,372721.667,57160,3,GX,1,100,-0.061
1707823979.854654,372756.000,57160,3,GX,1,100,-3.143
1707823979.894344,372794.500,57177,2,GX,1,100,-3.967
1707823979.934034,372833.000,57177,2,GX,1,100,-3.601
1707823979.974239,372872.000,57194,3,GX,1,100,-0.244
1707823980.014444,372911.000,57194,3,GX,1,100,0.946
