LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707824180.251725,567146.000,22618,2,AK,1,100,RD
1707824180.263580,567157.500,22621,2,AK,1,100,22619
1707824180.275436,567169.000,22621,2,AK,1,100,RD
1707824182.923308,569737.500,23474,2,AK,1,100,22619
1707824185.571180,572306.000,23474,2,AK,1,100,RD
1707824185.583551,572318.000,23477,2,AK,1,100,23475
1707824185.595922,572330.000,23477,2,AK,1,100,RD
1707824188.222660,574878.000,24295,2,AK,1,100,23475
1707824190.849399,577426.000,24295,2,AK,1,100,RD
1707824190.863316,577439.500,24298,2,AK,1,100,24296
1707824190.877233,577453.000,24298,2,AK,1,100,RD
1707824193.523559,580020.000,25045,2,AK,1,100,24296
1707824196.169885,582587.000,25045,2,AK,1,100,RD
1707824196.180710,582597.500,25048,2,AK,1,100,25046
1707824196.191534,582608.000,25048,2,AK,1,100,RD
1707824198.834252,585171.500,25900,2,AK,1,100,25046
1707824201.476969,587735.000,25900,2,AK,1,100,RD
1707824201.491402,587749.000,25903,2,AK,1,100,25901
1707824201.505835,587763.000,25903,2,AK,1,100,RD
1707824204.123811,590302.500,26740,2,AK,1,100,25901
1707824206.741787,592842.000,26740,2,AK,1,100,RD
1707824206.756735,592856.500,26743,2,AK,1,100,26741
1707824206.771683,592871.000,26743,2,AK,1,100,RD
1707824209.390690,595411.500,27574,2,AK,1,100,26741
1707824212.009697,597952.000,27574,2,AK,1,100,RD
1707824214.650868,600514.000,28422,2,AK,1,100,27575
1707824217.292039,603076.000,28422,2,AK,1,100,RD
1707824217.297709,603081.500,28424,2,AK,1,100,27575
1707824217.303379,603087.000,28424,2,AK,1,100,RD
