LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707823976.968128,369956.000,56702,3,AZ,1,100,0.451
1707823977.003523,369990.333,56717,3,AZ,1,100,0.453
1707823977.038917,370024.667,56717,3,AZ,1,100,0.453
1707823977.074311,370059.000,56717,3,AZ,1,100,0.450
1707823977.114001,370097.500,56733,2,AZ,1,100,0.435
1707823977.153691,370136.000,56733,2,AZ,1,100,0.454
1707823977.192865,370174.000,56753,3,AZ,1,100,0.461
1707823977.232039,370212.000,56753,3,AZ,1,100,0.479
1707823977.271214,370250.000,56753,3,AZ,1,100,0.468
1707823977.311075,370288.667,56769,3,AZ,1,100,0.457
1707823977.350937,370327.333,56769,3,AZ,1,100,0.446
1707823977.390798,370366.000,56769,3,AZ,1,100,0.445
1707823977.431004,370405.000,56785,2,AZ,1,100,0.445
1707823977.471209,370444.000,56785,2,AZ,1,100,0.446
1707823977.511070,370482.667,56801,3,AZ,1,100,0.444
1707823977.550932,370521.333,56801,3,AZ,1,100,0.453
1707823977.590793,370560.000,56801,3,AZ,1,100,0.459
1707823977.629968,370598.000,56818,2,AZ,1,100,0.456
1707823977.669142,370636.000,56818,2,AZ,1,100,0.440
1707823977.709003,370674.667,56834,3,AZ,1,100,0.445
1707823977.748865,370713.333,56834,3,AZ,1,100,0.459
1707823977.788727,370752.000,56834,3,AZ,1,100,0.455
1707823977.827901,370790.000,56852,3,AZ,1,100,0.457
1707823977.867075,370828.000,56852,3,AZ,1,100,0.441
1707823977.906249,370866.000,56852,3,AZ,1,100,0.450
1707823977.946455,370905.000,56866,2,AZ,1,100,0.456
1707823977.986660,370944.000,56866,2,AZ,1,100,0.466
1707823978.026521,370982.667,56885,3,AZ,1,100,0.444
1707823978.066383,371021.333,56885,3,AZ,1,100,0.445
1707823978.106244,371060.000,56885,3,AZ,1,100,0.447
1707823978.145934,371098.500,56901,2,AZ,1,100,0.462
1707823978.185624,371137.000,56901,2,AZ,1,100,0.456
1707823978.225485,371175.667,56921,3,AZ,1,100,0.445
1707823978.265347,371214.333,56921,3,AZ,1,100,0.455
1707823978.305209,371253.000,56921,3,AZ,1,100,0.459
1707823978.346445,371293.000,56937,3,AZ,1,100,0.457
1707823978.387681,371333.000,56937,3,AZ,1,100,0.455
1707823978.428917,371373.000,56937,3,AZ,1,100,0.458
1707823978.468607,371411.500,56952,2,AZ,1,100,0.458
1707823978.508296,371450.000,56952,2,AZ,1,100,0.444
1707823978.548158,371488.667,56969,3,AZ,1,100,0.455
1707823978.588019,371527.333,56969,3,AZ,1,100,0.460
1707823978.627881,371566.000,56969,3,AZ,1,100,0.456
1707823978.667055,371604.000,56986,2,AZ,1,100,0.468
1707823978.706229,371642.000,56986,2,AZ,1,100,0.459
1707823978.746091,371680.667,57004,3,AZ,1,100,0.466
1707823978.785953,371719.333,57004,3,AZ,1,100,0.465
1707823978.825814,371758.000,57004,3,AZ,1,100,0.454
1707823978.865676,371796.667,57020,3,AZ,1,100,0.461
1707823978.905537,371835.333,57020,3,AZ,1,100,0.463
1707823978.945399,371874.000,57020,3,AZ,1,100,0.459
1707823978.986119,371913.500,57036,2,AZ,1,100,0.453
1707823979.026840,371953.000,57036,2,AZ,1,100,0.469
1707823979.067045,371992.000,57053,3,AZ,1,100,0.483
1707823979.107250,372031.000,57053,3,AZ,1,100,0.472
1707823979.147456,372070.000,57053,3,AZ,1,100,0.441
1707823979.187661,372109.000,57070,2,AZ,1,100,0.510
1707823979.227866,372148.000,57070,2,AZ,1,100,0.544
1707823979.267384,372186.333,57087,3,AZ,1,100,0.491
1707823979.306902,372224.667,57087,3,AZ,1,100,0.499
1707823979.346420,372263.000,57087,3,AZ,1,100,0.551
1707823979.385938,372301.333,57101,3,AZ,1,100,0.538
1707823979.425456,372339.667,57101,3,AZ,1,100,0.524
1707823979.464973,372378.000,57101,3,AZ,1,100,0.470
1707823979.505436,372417.250,57126,4,AZ,1,100,0.506
1707823979.545899,372456.500,57126,4,AZ,1,100,0.591
