LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823976.645456,369643.000,56655,3,GZ,1,100,-0.092
1707823976.686177,369682.500,56671,2,GZ,1,100,0.671
1707823976.726897,369722.000,56671,2,GZ,1,100,-1.526
1707823976.767103,369761.000,56688,3,GZ,1,100,-1.404
1707823976.807308,369800.000,56688,3,GZ,1,100,0.702
1707823976.847513,369839.000,56688,3,GZ,1,100,0.763
1707823976.887718,369878.000,56705,3,GZ,1,100,2.197
1707823976.927923,369917.000,56705,3,GZ,1,100,2.441
1707823976.968128,369956.000,56705,3,GZ,1,100,0.305
1707823977.003523,369990.333,56720,3,GZ,1,100,-1.221
1707823977.038917,370024.667,56720,3,GZ,1,100,-0.427
1707823977.074311,370059.000,56720,3,GZ,1,100,0.214
1707823977.114001,370097.500,56736,2,GZ,1,100,-0.214
1707823977.153691,370136.000,56736,2,GZ,1,100,-1.038
1707823977.192865,370174.000,56756,3,GZ,1,100,-0.549
1707823977.232039,370212.000,56756,3,GZ,1,100,-1.221
1707823977.271214,370250.000,56756,3,GZ,1,100,-2.167
1707823977.311075,370288.667,56772,3,GZ,1,100,-2.472
1707823977.350937,370327.333,56772,3,GZ,1,100,-2.625
1707823977.390798,370366.000,56772,3,GZ,1,100,-0.641
1707823977.431004,370405.000,56788,2,GZ,1,100,1.801
1707823977.471209,370444.000,56788,2,GZ,1,100,1.404
1707823977.511070,370482.667,56804,3,GZ,1,100,-2.136
1707823977.550932,370521.333,56804,3,GZ,1,100,-3.601
1707823977.590793,370560.000,56804,3,GZ,1,100,-3.357
1707823977.629968,370598.000,56821,2,GZ,1,100,-2.289
1707823977.669142,370636.000,56821,2,GZ,1,100,-1.099
1707823977.709003,370674.667,56837,3,GZ,1,100,-1.007
1707823977.748865,370713.333,56837,3,GZ,1,100,-0.305
1707823977.788727,370752.000,56837,3,GZ,1,100,1.740
1707823977.827901,370790.000,56855,3,GZ,1,100,2.533
1707823977.867075,370828.000,56855,3,GZ,1,100,1.160
1707823977.906249,370866.000,56855,3,GZ,1,100,0.183
1707823977.946455,370905.000,56869,2,GZ,1,100,0.885
1707823977.986660,370944.000,56869,2,GZ,1,100,1.648
1707823978.026521,370982.667,56888,3,GZ,1,100,1.434
1707823978.066383,371021.333,56888,3,GZ,1,100,1.404
1707823978.106244,371060.000,56888,3,GZ,1,100,0.977
1707823978.145934,371098.500,56904,2,GZ,1,100,0.488
1707823978.185624,371137.000,56904,2,GZ,1,100,0.183
1707823978.225485,371175.667,56924,3,GZ,1,100,-1.282
1707823978.265347,371214.333,56924,3,GZ,1,100,-2.502
1707823978.305209,371253.000,56924,3,GZ,1,100,-2.319
1707823978.346445,371293.000,56940,3,GZ,1,100,-1.526
1707823978.387681,371333.000,56940,3,GZ,1,100,-1.129
1707823978.428917,371373.000,56940,3,GZ,1,100,-1.190
1707823978.468607,371411.500,56955,2,GZ,1,100,-1.160
1707823978.508296,371450.000,56955,2,GZ,1,100,-1.373
1707823978.548158,371488.667,56972,3,GZ,1,100,-3.540
1707823978.588019,371527.333,56972,3,GZ,1,100,-2.991
1707823978.627881,371566.000,56972,3,GZ,1,100,-0.183
1707823978.667055,371604.000,56989,2,GZ,1,100,0.031
1707823978.706229,371642.000,56989,2,GZ,1,100,-1.068
1707823978.746091,371680.667,57007,3,GZ,1,100,-1.068
1707823978.785953,371719.333,57007,3,GZ,1,100,0.488
1707823978.825814,371758.000,57007,3,GZ,1,100,0.916
1707823978.865676,371796.667,57023,3,GZ,1,100,-0.793
1707823978.905537,371835.333,57023,3,GZ,1,100,-0.885
1707823978.945399,371874.000,57023,3,GZ,1,100,0.671
1707823978.986119,371913.500,57039,2,GZ,1,100,0.519
1707823979.026840,371953.000,57039,2,GZ,1,100,0.977
1707823979.067045,371992.000,57056,3,GZ,1,100,1.099
1707823979.107250,372031.000,57056,3,GZ,1,100,-0.183
1707823979.147456,372070.000,57056,3,GZ,1,100,-1.862
1707823979.187661,372109.000,57073,2,GZ,1,100,-3.174
1707823979.227866,372148.000,57073,2,GZ,1,100,-9.430
1707823979.267384,372186.333,57090,3,GZ,1,100,-25.696
1707823979.306902,372224.667,57090,3,GZ,1,100,-26.276
1707823979.346420,372263.000,57090,3,GZ,1,100,-21.301
1707823979.385938,372301.333,57104,3,GZ,1,100,-20.721
1707823979.425456,372339.667,57104,3,GZ,1,100,-5.798
1707823979.464973,372378.000,57104,3,GZ,1,100,8.911
1707823979.505436,372417.250,57129,4,GZ,1,100,18.951
1707823979.545899,372456.500,57129,4,GZ,1,100,27.100
1707823979.586362,372495.750,57129,4,GZ,1,100,20.966
1707823979.626825,372535.000,57129,4,GZ,1,100,10.101
1707823979.667374,372574.333,57143,3,GZ,1,100,4.974
1707823979.707923,372613.667,57143,3,GZ,1,100,-2.258
1707823979.748472,372653.000,57143,3,GZ,1,100,-3.632
1707823979.783866,372687.333,57162,3,GZ,1,100,-1.434
1707823979.819260,372721.667,57162,3,GZ,1,100,1.251
1707823979.854654,372756.000,57162,3,GZ,1,100,1.190
1707823979.894344,372794.500,57179,2,GZ,1,100,-0.061
1707823979.934034,372833.000,57179,2,GZ,1,100,-0.702
1707823979.974239,372872.000,57196,3,GZ,1,100,0.458
1707823980.014444,372911.000,57196,3,GZ,1,100,1.343
1707823980.054649,372950.000,57196,3,GZ,1,100,-0.916
1707823980.095370,372989.500,57212,2,GZ,1,100,-1.251
