LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707823978.693859,371630.000,56980,1,EA,1,100,4.440162
1707823978.759836,371694.000,56998,2,EA,1,100,4.448735
1707823978.825814,371758.000,56998,2,EA,1,100,4.394967
1707823978.890761,371821.000,57016,1,EA,1,100,4.423096
1707823978.958801,371887.000,57030,2,EA,1,100,4.445887
1707823979.026840,371953.000,57030,2,EA,1,100,4.408996
1707823979.094880,372019.000,57047,1,EA,1,100,4.428776
1707823979.161373,372083.500,57064,2,EA,1,100,4.437305
1707823979.227866,372148.000,57064,2,EA,1,100,4.431623
1707823979.293328,372211.500,57081,2,EA,1,100,4.443003
1707823979.358791,372275.000,57081,2,EA,1,100,4.437305
1707823979.424768,372339.000,57097,1,EA,1,100,4.414621
1707823979.492121,372404.333,57120,3,EA,1,100,4.428776
1707823979.559473,372469.667,57120,3,EA,1,100,4.440162
1707823979.626825,372535.000,57120,3,EA,1,100,4.414621
1707823979.693834,372600.000,57136,1,EA,1,100,4.425954
1707823979.760327,372664.500,57153,2,EA,1,100,4.423096
1707823979.826820,372729.000,57153,2,EA,1,100,4.406179
1707823979.894860,372795.000,57170,1,EA,1,100,4.431623
1707823979.961353,372859.500,57187,2,EA,1,100,4.428776
1707823980.027846,372924.000,57187,2,EA,1,100,4.400576
1707823980.095370,372989.500,57203,2,EA,1,100,4.428776
1707823980.162894,373055.000,57203,2,EA,1,100,4.440162
1707823980.228872,373119.000,57221,1,EA,1,100,4.414621
1707823980.295365,373183.500,57235,2,EA,1,100,4.431623
1707823980.361858,373248.000,57235,2,EA,1,100,4.443003
1707823980.427836,373312.000,57254,1,EA,1,100,4.428776
1707823980.494329,373376.500,57271,2,EA,1,100,4.423096
1707823980.560822,373441.000,57271,2,EA,1,100,4.394967
1707823980.625769,373504.000,57288,1,EA,1,100,4.358932
1707823980.693809,373570.000,57302,2,EA,1,100,4.392187
1707823980.761848,373636.000,57302,2,EA,1,100,4.428776
1707823980.828342,373700.500,57320,2,EA,1,100,4.411817
1707823980.894835,373765.000,57320,2,EA,1,100,4.417469
1707823980.961843,373830.000,57336,1,EA,1,100,4.425954
1707823981.027821,373894.000,57353,2,EA,1,100,4.403385
1707823981.093799,373958.000,57353,2,EA,1,100,4.420280
1707823981.159777,374022.000,57369,1,EA,1,100,4.443003
1707823981.226785,374087.000,57387,2,EA,1,100,4.417469
1707823981.293794,374152.000,57387,2,EA,1,100,4.417469
1707823981.361833,374218.000,57403,1,EA,1,100,4.408996
1707823981.428842,374283.000,57420,2,EA,1,100,4.381027
1707823981.495851,374348.000,57420,2,EA,1,100,4.392187
1707823981.561828,374412.000,57437,1,EA,1,100,4.408996
1707823981.628322,374476.500,57453,2,EA,1,100,4.400576
1707823981.694815,374541.000,57453,2,EA,1,100,4.406179
1707823981.760277,374604.500,57468,2,EA,1,100,4.414621
1707823981.825739,374668.000,57468,2,EA,1,100,4.392187
1707823981.893779,374734.000,57486,1,EA,1,100,4.417469
1707823981.961303,374799.500,57504,2,EA,1,100,4.425954
1707823982.028827,374865.000,57504,2,EA,1,100,4.406179
1707823982.094805,374929.000,57521,1,EA,1,100,4.397789
1707823982.160783,374993.000,57536,2,EA,1,100,4.408996
1707823982.226760,375057.000,57536,2,EA,1,100,4.378264
1707823982.294800,375123.000,57553,1,EA,1,100,4.389411
1707823982.360778,375187.000,57569,2,EA,1,100,4.392187
1707823982.426755,375251.000,57569,2,EA,1,100,4.389411
1707823982.493249,375315.500,57587,2,EA,1,100,4.408996
1707823982.559742,375380.000,57587,2,EA,1,100,4.406179
1707823982.625719,375444.000,57603,1,EA,1,100,4.389411
1707823982.691182,375507.500,57620,2,EA,1,100,4.406179
1707823982.756644,375571.000,57620,2,EA,1,100,4.414621
1707823982.823653,375636.000,57636,1,EA,1,100,4.389411
