LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707823982.958701,375767.000,57655,2,EL,1,100,-19212.199219
1707823983.025710,375832.000,57671,1,EL,1,100,-19210.199219
1707823983.092718,375897.000,57687,2,EL,1,100,-19211.000000
1707823983.159727,375962.000,57687,2,EL,1,100,-19211.400391
1707823983.225705,376026.000,57705,2,EL,1,100,-19210.000000
1707823983.291682,376090.000,57705,2,EL,1,100,-19211.000000
1707823983.358691,376155.000,57722,1,EL,1,100,-19212.599609
1707823983.424669,376219.000,57738,2,EL,1,100,-19211.000000
1707823983.490646,376283.000,57738,2,EL,1,100,-19212.400391
1707823983.558686,376349.000,57756,1,EL,1,100,-19213.000000
1707823983.626210,376414.500,57772,2,EL,1,100,-19210.400391
1707823983.693734,376480.000,57772,2,EL,1,100,-19211.800781
1707823983.760743,376545.000,57789,1,EL,1,100,-19211.800781
1707823983.826720,376609.000,57806,2,EL,1,100,-19210.800781
1707823983.892698,376673.000,57806,2,EL,1,100,-19211.599609
1707823983.958676,376737.000,57823,2,EL,1,100,-19212.599609
1707823984.024654,376801.000,57823,2,EL,1,100,-19211.000000
1707823984.089601,376864.000,57838,1,EL,1,100,-19212.800781
1707823984.157640,376930.000,57855,3,EL,1,100,-19213.599609
1707823984.225680,376996.000,57855,3,EL,1,100,-19211.599609
1707823984.293719,377062.000,57855,3,EL,1,100,-19212.199219
1707823984.359697,377126.000,57871,2,EL,1,100,-19213.400391
1707823984.425675,377190.000,57871,2,EL,1,100,-19211.199219
1707823984.491652,377254.000,57891,2,EL,1,100,-19211.199219
1707823984.557630,377318.000,57891,2,EL,1,100,-19213.000000
1707823984.623608,377382.000,57907,1,EL,1,100,-19211.000000
1707823984.690101,377446.500,57922,2,EL,1,100,-19212.000000
1707823984.756594,377511.000,57922,2,EL,1,100,-19213.199219
1707823984.824118,377576.500,57944,2,EL,1,100,-19210.599609
1707823984.891642,377642.000,57944,2,EL,1,100,-19211.400391
1707823984.958651,377707.000,57961,3,EL,1,100,-19212.199219
1707823985.025660,377772.000,57961,3,EL,1,100,-19210.199219
1707823985.092668,377837.000,57961,3,EL,1,100,-19210.599609
1707823985.157615,377900.000,57977,1,EL,1,100,-19212.800781
1707823985.224624,377965.000,57993,2,EL,1,100,-19210.599609
1707823985.291632,378030.000,57993,2,EL,1,100,-19211.599609
1707823985.359672,378096.000,58009,1,EL,1,100,-19212.800781
1707823985.426165,378160.500,58026,2,EL,1,100,-19210.000000
1707823985.492658,378225.000,58026,2,EL,1,100,-19211.599609
1707823985.559152,378289.500,58045,2,EL,1,100,-19213.199219
1707823985.625645,378354.000,58045,2,EL,1,100,-19209.599609
1707823985.691622,378418.000,58061,2,EL,1,100,-19210.400391
1707823985.757600,378482.000,58061,2,EL,1,100,-19211.800781
1707823985.824093,378546.500,58078,2,EL,1,100,-19209.400391
1707823985.890587,378611.000,58078,2,EL,1,100,-19210.800781
1707823985.958626,378677.000,58095,1,EL,1,100,-19211.400391
1707823986.025119,378741.500,58109,2,EL,1,100,-19209.599609
1707823986.091613,378806.000,58109,2,EL,1,100,-19210.199219
1707823986.158621,378871.000,58126,1,EL,1,100,-19211.400391
1707823986.225114,378935.500,58143,2,EL,1,100,-19210.000000
1707823986.291608,379000.000,58143,2,EL,1,100,-19210.000000
1707823986.358101,379064.500,58160,2,EL,1,100,-19211.599609
1707823986.424594,379129.000,58160,2,EL,1,100,-19209.199219
1707823986.490572,379193.000,58179,2,EL,1,100,-19210.000000
1707823986.556549,379257.000,58179,2,EL,1,100,-19211.400391
1707823986.622527,379321.000,58196,1,EL,1,100,-19209.199219
1707823986.688505,379385.000,58210,2,EL,1,100,-19210.800781
1707823986.754483,379449.000,58210,2,EL,1,100,-19212.400391
1707823986.821491,379514.000,58227,1,EL,1,100,-19209.000000
1707823986.887469,379578.000,58244,2,EL,1,100,-19209.400391
1707823986.953447,379642.000,58244,2,EL,1,100,-19210.599609
1707823987.019940,379706.500,58261,2,EL,1,100,-19208.199219
1707823987.086433,379771.000,58261,2,EL,1,100,-19209.000000
1707823987.152926,379835.500,58278,2,EL,1,100,-19211.000000
1707823987.219419,379900.000,58278,2,EL,1,100,-19208.800781
1707823987.284366,379963.000,58295,1,EL,1,100,-19209.599609
1707823987.350860,380027.500,58310,2,EL,1,100,-19210.599609
1707823987.417353,380092.000,58310,2,EL,1,100,-19209.199219
1707823987.483330,380156.000,58329,2,EL,1,100,-19210.800781
1707823987.549308,380220.000,58329,2,EL,1,100,-19211.400391
1707823987.617348,380286.000,58345,1,EL,1,100,-19208.400391
1707823987.682810,380349.500,58362,2,EL,1,100,-19209.000000
1707823987.748272,380413.000,58362,2,EL,1,100,-19210.800781
1707823987.814250,380477.000,58379,2,EL,1,100,-19209.400391
1707823987.880228,380541.000,58379,2,EL,1,100,-19210.199219
1707823987.946206,380605.000,58396,1,EL,1,100,-19211.000000
1707823988.012699,380669.500,58411,2,EL,1,100,-19209.000000
1707823988.079192,380734.000,58411,2,EL,1,100,-19208.599609
1707823988.146716,380799.500,58428,2,EL,1,100,-19209.599609
1707823988.214240,380865.000,58428,2,EL,1,100,-19207.800781
1707823988.282280,380931.000,58446,1,EL,1,100,-19209.400391
1707823988.348773,380995.500,58465,2,EL,1,100,-19209.800781
1707823988.415266,381060.000,58465,2,EL,1,100,-19208.599609
1707823988.480728,381123.500,58482,2,EL,1,100,-19209.599609
1707823988.546191,381187.000,58482,2,EL,1,100,-19211.199219
1707823988.611137,381250.000,58499,1,EL,1,100,-19209.199219
1707823988.678146,381315.000,58513,2,EL,1,100,-19209.000000
1707823988.745155,381380.000,58513,2,EL,1,100,-19210.599609
1707823988.814225,381447.000,58530,1,EL,1,100,-19208.599609
1707823988.881234,381512.000,58547,2,EL,1,100,-19209.400391
1707823988.948242,381577.000,58547,2,EL,1,100,-19209.800781
1707823989.013962,381640.750,58565,4,EL,1,100,-19207.199219
1707823989.079682,381704.500,58565,4,EL,1,100,-19208.199219
1707823989.145402,381768.250,58565,4,EL,1,100,-19209.800781
1707823989.211122,381832.000,58565,4,EL,1,100,-19207.599609
1707823989.278647,381897.500,58584,4,EL,1,100,-19208.400391
1707823989.346171,381963.000,58584,4,EL,1,100,-19208.400391
1707823989.413695,382028.500,58584,4,EL,1,100,-19206.800781
1707823989.481219,382094.000,58584,4,EL,1,100,-19208.000000
1707823989.547540,382158.333,58602,3,EL,1,100,-19207.599609
1707823989.613862,382222.667,58602,3,EL,1,100,-19206.400391
1707823989.680183,382287.000,58602,3,EL,1,100,-19208.400391
1707823989.745645,382350.500,58618,2,EL,1,100,-19208.199219
1707823989.811108,382414.000,58618,2,EL,1,100,-19206.800781
1707823989.877601,382478.500,58635,2,EL,1,100,-19208.000000
1707823989.944094,382543.000,58635,2,EL,1,100,-19209.000000
1707823990.013164,382610.000,58651,1,EL,1,100,-19208.199219
1707823990.080173,382675.000,58674,3,EL,1,100,-19209.000000
1707823990.147182,382740.000,58674,3,EL,1,100,-19208.400391
1707823990.214190,382805.000,58674,3,EL,1,100,-19205.599609
1707823990.281199,382870.000,58690,1,EL,1,100,-19207.199219
1707823990.347177,382934.000,58707,2,EL,1,100,-19208.000000
1707823990.413154,382998.000,58707,2,EL,1,100,-19206.199219
1707823990.479648,383062.500,58724,2,EL,1,100,-19206.599609
1707823990.546141,383127.000,58724,2,EL,1,100,-19208.400391
1707823990.611088,383190.000,58741,1,EL,1,100,-19206.400391
1707823990.677581,383254.500,58755,2,EL,1,100,-19207.599609
1707823990.744074,383319.000,58755,2,EL,1,100,-19207.800781
1707823990.811083,383384.000,58772,1,EL,1,100,-19205.599609
1707823990.877576,383448.500,58789,2,EL,1,100,-19206.800781
1707823990.944069,383513.000,58789,2,EL,1,100,-19208.400391
1707823991.009531,383576.500,58806,2,EL,1,100,-19206.000000
1707823991.074994,383640.000,58806,2,EL,1,100,-19206.199219
1707823991.142002,383705.000,58824,1,EL,1,100,-19207.199219
1707823991.207464,383768.500,58840,2,EL,1,100,-19205.199219
1707823991.272927,383832.000,58840,2,EL,1,100,-19206.800781
1707823991.339935,383897.000,58856,1,EL,1,100,-19207.599609
1707823991.405913,383961.000,58873,2,EL,1,100,-19205.800781
1707823991.471891,384025.000,58873,2,EL,1,100,-19206.199219
1707823991.538900,384090.000,58890,1,EL,1,100,-19206.199219
1707823991.604877,384154.000,58906,2,EL,1,100,-19205.000000
1707823991.670855,384218.000,58906,2,EL,1,100,-19205.400391
1707823991.736833,384282.000,58921,2,EL,1,100,-19205.800781
1707823991.802810,384346.000,58921,2,EL,1,100,-19205.000000
